logA n_s H0 omega_b omega_cdm m_ncdm w0_fld Omega_EDE tau_reio
2.977229535312914344e+00 9.151183780955388647e-01 7.110545534131900069e+01 2.220113433987858098e-02 1.125084636760140533e-01 7.552380483275188128e-02 -7.605167036559019600e-01 5.545354558509155846e-02 1.591498285166483354e-02
2.821823203396806257e+00 9.183748891268048720e-01 7.346210652812683861e+01 2.216088527070951900e-02 1.238393074509915870e-01 8.100272372851478886e-02 -8.419682247595046132e-01 4.987250994810581844e-02 1.879836654003705365e-02
3.160439275674233439e+00 9.696874402807719173e-01 7.550162273048663053e+01 2.246154633012426016e-02 1.229600706887520878e-01 8.268687708723485019e-02 -8.617470849699473412e-01 8.598740255044884373e-02 6.005199955282505830e-02
2.877471310820710837e+00 9.159155268012183493e-01 7.564540066712356747e+01 2.215967932015188921e-02 1.294914132361264791e-01 8.277834251034549284e-02 -8.990552275098702140e-01 8.384698510922139469e-02 7.213451699559837726e-02
3.019167163851308899e+00 9.746542240495449372e-01 7.314323182505565057e+01 2.217807763262493598e-02 1.263763620594645365e-01 1.209865505086116233e-02 -8.459188347647230710e-01 2.417074095729753944e-02 5.724248284641055701e-02
3.011726171310058930e+00 9.461543940299970146e-01 7.461757897788841376e+01 2.222524477712513324e-02 1.152439330177686960e-01 8.126945816249764309e-02 -8.449295005156549632e-01 9.357787394969130368e-02 4.730613057707134389e-02
3.121369788955151492e+00 9.561509704245282348e-01 7.406595851397565866e+01 2.208184545636649246e-02 1.211355690739430446e-01 4.946021812851231908e-02 -8.353634555033446762e-01 7.600405289667300224e-02 3.656810862339553159e-02
2.809768182305266926e+00 9.183826515213380226e-01 7.744595549363259579e+01 2.202388791273536192e-02 1.252138064963367325e-01 2.903839842444146113e-02 -9.063687720798996317e-01 9.754881762363203090e-02 6.491257851383465394e-02
3.140780950325675835e+00 9.775499148571169528e-01 7.288958086254680779e+01 2.207008521096117878e-02 1.233198940557854034e-01 5.718295500568274653e-02 -8.285544588129074572e-01 3.028647550992218454e-02 4.566945297908297369e-02
3.009554991858820916e+00 9.680872028198006518e-01 7.502543719059832483e+01 2.234628101795169824e-02 1.294436197688904056e-01 3.300350957232583288e-02 -8.765427451126694969e-01 3.744694370002459721e-02 3.823960753901749221e-02
3.113811242969264370e+00 9.107253851259370370e-01 7.596494966323626841e+01 2.231612226708655153e-02 1.297519176686531828e-01 9.013192213789740503e-02 -8.677787041894970965e-01 8.777275706302729852e-02 2.625522167369857135e-02
2.952025279800229995e+00 9.273898035691235942e-01 7.385065854122279916e+01 2.244295782334159925e-02 1.261123653139268608e-01 4.597555410019871225e-02 -8.673194054076502901e-01 4.656082343100331864e-04 7.480086317648718119e-02
3.121020434208155336e+00 9.867316483452747145e-01 7.237749764019707754e+01 2.233425310888260268e-02 1.240064279600662650e-01 4.749207521801989546e-02 -8.273898805135255774e-01 2.343359461961277632e-02 7.290605799408091114e-02
3.171056137420039889e+00 9.859409499788205355e-01 7.274281607457780296e+01 2.202458996243483735e-02 1.257949390436350900e-01 5.060512219756929664e-02 -7.784005930773563176e-01 7.254163790619287677e-02 5.577248685366878456e-02
2.853120576673080500e+00 9.524581890440301235e-01 7.461974381668403566e+01 2.219224167616117016e-02 1.297337481719846031e-01 5.094328244105050807e-02 -8.741387123876378507e-01 4.183831765616467108e-02 5.006076237694427611e-02
3.015125045871441589e+00 9.085480644222223567e-01 7.211360156465359239e+01 2.214741911371867142e-02 1.219463801353181803e-01 1.607409283438315795e-02 -8.293234856393512100e-01 7.386952291468129594e-03 5.394998305318737114e-02
3.074870510128066670e+00 9.897851410391753646e-01 7.316715894659967034e+01 2.238951335363474279e-02 1.267753082194270908e-01 1.834085803238738599e-02 -8.315599595305975811e-01 2.084251970756213074e-02 7.246710660665885151e-02
3.001480286785166207e+00 9.652618334940473721e-01 7.581115846607551134e+01 2.221830092557412761e-02 1.289928367072569748e-01 6.663970435102528622e-03 -8.597913915985886391e-01 9.101737325101506848e-02 4.175100831390535228e-02
2.862646451318701768e+00 9.091539079635703180e-01 7.367614280979340435e+01 2.238580296324910873e-02 1.276349564194085850e-01 9.790883787222420809e-02 -8.401229210085472410e-01 3.387538554936182084e-02 5.243991433301210814e-02
2.812252352097271757e+00 9.627235194690535458e-01 7.513418511105787445e+01 2.201863914805417960e-02 1.268994769208711682e-01 7.181248416704613668e-02 -9.002271636408096800e-01 5.398529442775330811e-02 1.115719871445458936e-02
2.893037821302496759e+00 9.631950947137742913e-01 7.452268113084682000e+01 2.210491802988244492e-02 1.194243709118394114e-01 1.822669975976668952e-02 -8.327074529749998177e-01 8.981590123101171330e-02 1.753309585294701711e-02
2.982498959119136650e+00 9.553841096489154028e-01 7.663863050184151859e+01 2.254019172689362624e-02 1.298466236449426492e-01 9.031748294431218849e-02 -8.827844117633065757e-01 9.620445645499864362e-02 1.487338550797358966e-02
2.975932075310288472e+00 9.863211544336139003e-01 7.660727465786568757e+01 2.241424300225013100e-02 1.279305281409408024e-01 7.071617869597414396e-02 -8.895064043634925977e-01 7.839185946793206239e-02 3.289111247615666977e-02
