# z	 a	 Omega_ede	 w_ede
7.054802e+00	 1.241495e-01	 5.403248e-02	 -7.775857e-02
8.111308e+00	 1.097537e-01	 5.278988e-02	 -5.473345e-02
9.326033e+00	 9.684261e-02	 5.191841e-02	 -3.788311e-02
1.072267e+01	 8.530478e-02	 5.131205e-02	 -2.576921e-02
1.232847e+01	 7.502738e-02	 5.089308e-02	 -1.716945e-02
1.417474e+01	 6.589898e-02	 5.060534e-02	 -1.111022e-02
1.629751e+01	 5.781179e-02	 5.040880e-02	 -6.849168e-03
1.873817e+01	 5.066325e-02	 5.027517e-02	 -3.837326e-03
2.154435e+01	 4.435702e-02	 5.018469e-02	 -1.678319e-03
2.477076e+01	 3.880366e-02	 5.012366e-02	 -8.924016e-05
2.848036e+01	 3.392089e-02	 5.008261e-02	 1.129236e-03
3.274549e+01	 2.963359e-02	 5.005508e-02	 2.117585e-03
3.764936e+01	 2.587365e-02	 5.003666e-02	 2.975377e-03
4.328761e+01	 2.257968e-02	 5.002437e-02	 3.773430e-03
4.977024e+01	 1.969658e-02	 5.001617e-02	 4.563768e-03
5.722368e+01	 1.717514e-02	 5.001072e-02	 5.386468e-03
6.579332e+01	 1.497156e-02	 5.000710e-02	 6.272611e-03
7.564633e+01	 1.304694e-02	 5.000470e-02	 7.249738e-03
8.697490e+01	 1.136688e-02	 5.000311e-02	 8.342003e-03
1.000000e+02	 9.900990e-03	 5.000205e-02	 9.572982e-03
1.149757e+02	 8.622496e-03	 5.000136e-02	 1.096660e-02
1.321941e+02	 7.507839e-03	 5.000090e-02	 1.254712e-02
1.519911e+02	 6.536328e-03	 5.000059e-02	 1.434080e-02
1.747528e+02	 5.689808e-03	 5.000039e-02	 1.637550e-02
2.009233e+02	 4.952375e-03	 5.000026e-02	 1.868116e-02
2.310130e+02	 4.310104e-03	 5.000017e-02	 2.128975e-02
2.656088e+02	 3.750814e-03	 5.000011e-02	 2.423505e-02
3.053856e+02	 3.263861e-03	 5.000007e-02	 2.755319e-02
3.511192e+02	 2.839948e-03	 5.000005e-02	 3.128087e-02
4.037017e+02	 2.470956e-03	 5.000003e-02	 3.545566e-02
4.641589e+02	 2.149803e-03	 5.000002e-02	 4.011508e-02
5.336699e+02	 1.870313e-03	 5.000001e-02	 4.529531e-02
6.135907e+02	 1.627099e-03	 5.000001e-02	 5.102960e-02
7.054802e+02	 1.415468e-03	 5.000001e-02	 5.734662e-02
8.111308e+02	 1.231329e-03	 5.000000e-02	 6.426920e-02
9.326033e+02	 1.071119e-03	 5.000000e-02	 7.181117e-02
1.072267e+03	 9.317344e-04	 5.000000e-02	 7.997638e-02
1.232847e+03	 8.104734e-04	 5.000000e-02	 8.875612e-02
1.417474e+03	 7.049829e-04	 5.000000e-02	 9.812748e-02
1.629751e+03	 6.132145e-04	 5.000000e-02	 1.080522e-01
1.873817e+03	 5.333853e-04	 5.000000e-02	 1.184760e-01
2.154435e+03	 4.639435e-04	 5.000000e-02	 1.293289e-01
2.477076e+03	 4.035388e-04	 5.000000e-02	 1.405265e-01
2.848036e+03	 3.509959e-04	 5.000000e-02	 1.519720e-01
3.274549e+03	 3.052923e-04	 5.000000e-02	 1.635594e-01
3.764936e+03	 2.655382e-04	 5.000000e-02	 1.751777e-01
4.328761e+03	 2.309596e-04	 5.000000e-02	 1.867139e-01
4.977024e+03	 2.008829e-04	 5.000000e-02	 1.980588e-01
5.722368e+03	 1.747223e-04	 5.000000e-02	 2.091102e-01
6.579332e+03	 1.519680e-04	 5.000000e-02	 2.197767e-01
7.564633e+03	 1.321766e-04	 5.000000e-02	 2.299801e-01
8.697490e+03	 1.149625e-04	 5.000000e-02	 2.396577e-01
1.000000e+04	 9.999000e-05	 5.000000e-02	 2.487625e-01
