# z	 a	 Omega_ede	 w_ede
1.519911e+00	 3.968394e-01	 1.349342e-01	 -9.341450e-01
1.747528e+00	 3.639635e-01	 1.092660e-01	 -9.167309e-01
2.009233e+00	 3.323106e-01	 8.742070e-02	 -8.937665e-01
2.310130e+00	 3.021030e-01	 6.933005e-02	 -8.637185e-01
2.656088e+00	 2.735164e-01	 5.472691e-02	 -8.249113e-01
3.053856e+00	 2.466787e-01	 4.321303e-02	 -7.757739e-01
3.511192e+00	 2.216709e-01	 3.432665e-02	 -7.152761e-01
4.037017e+00	 1.985302e-01	 2.759836e-02	 -6.435286e-01
4.641589e+00	 1.772550e-01	 2.259025e-02	 -5.623594e-01
5.336699e+00	 1.578109e-01	 1.891845e-02	 -4.755275e-01
6.135907e+00	 1.401364e-01	 1.626200e-02	 -3.882440e-01
7.054802e+00	 1.241495e-01	 1.436254e-02	 -3.060153e-01
8.111308e+00	 1.097537e-01	 1.301827e-02	 -2.332950e-01
9.326033e+00	 9.684261e-02	 1.207547e-02	 -1.725994e-01
1.072267e+01	 8.530478e-02	 1.141948e-02	 -1.244123e-01
1.232847e+01	 7.502738e-02	 1.096620e-02	 -8.769519e-02
1.417474e+01	 6.589898e-02	 1.065491e-02	 -6.060505e-02
1.629751e+01	 5.781179e-02	 1.044227e-02	 -4.109451e-02
1.873817e+01	 5.066325e-02	 1.029770e-02	 -2.727749e-02
2.154435e+01	 4.435702e-02	 1.019982e-02	 -1.759257e-02
2.477076e+01	 3.880366e-02	 1.013378e-02	 -1.082740e-02
2.848036e+01	 3.392089e-02	 1.008937e-02	 -6.082099e-03
3.274549e+01	 2.963359e-02	 1.005959e-02	 -2.707285e-03
3.764936e+01	 2.587365e-02	 1.003966e-02	 -2.441186e-04
4.328761e+01	 2.257968e-02	 1.002636e-02	 1.630160e-03
4.977024e+01	 1.969658e-02	 1.001750e-02	 3.139816e-03
5.722368e+01	 1.717514e-02	 1.001160e-02	 4.441603e-03
6.579332e+01	 1.497156e-02	 1.000768e-02	 5.646459e-03
7.564633e+01	 1.304694e-02	 1.000509e-02	 6.835213e-03
8.697490e+01	 1.136688e-02	 1.000336e-02	 8.068025e-03
1.000000e+02	 9.900990e-03	 1.000222e-02	 9.392012e-03
1.149757e+02	 8.622496e-03	 1.000147e-02	 1.084679e-02
1.321941e+02	 7.507839e-03	 1.000097e-02	 1.246819e-02
1.519911e+02	 6.536328e-03	 1.000064e-02	 1.428867e-02
1.747528e+02	 5.689808e-03	 1.000042e-02	 1.634100e-02
2.009233e+02	 4.952375e-03	 1.000028e-02	 1.865851e-02
2.310130e+02	 4.310104e-03	 1.000018e-02	 2.127479e-02
2.656088e+02	 3.750814e-03	 1.000012e-02	 2.422528e-02
3.053856e+02	 3.263861e-03	 1.000008e-02	 2.754667e-02
3.511192e+02	 2.839948e-03	 1.000005e-02	 3.127672e-02
4.037017e+02	 2.470956e-03	 1.000003e-02	 3.545299e-02
4.641589e+02	 2.149803e-03	 1.000002e-02	 4.011345e-02
5.336699e+02	 1.870313e-03	 1.000001e-02	 4.529412e-02
6.135907e+02	 1.627099e-03	 1.000001e-02	 5.102856e-02
7.054802e+02	 1.415468e-03	 1.000001e-02	 5.734618e-02
8.111308e+02	 1.231329e-03	 1.000000e-02	 6.426860e-02
9.326033e+02	 1.071119e-03	 1.000000e-02	 7.181087e-02
1.072267e+03	 9.317344e-04	 1.000000e-02	 7.997609e-02
1.232847e+03	 8.104734e-04	 1.000000e-02	 8.875612e-02
1.417474e+03	 7.049829e-04	 1.000000e-02	 9.812748e-02
1.629751e+03	 6.132145e-04	 1.000000e-02	 1.080522e-01
1.873817e+03	 5.333853e-04	 1.000000e-02	 1.184760e-01
2.154435e+03	 4.639435e-04	 1.000000e-02	 1.293289e-01
2.477076e+03	 4.035388e-04	 1.000000e-02	 1.405265e-01
2.848036e+03	 3.509959e-04	 1.000000e-02	 1.519720e-01
3.274549e+03	 3.052923e-04	 1.000000e-02	 1.635595e-01
3.764936e+03	 2.655382e-04	 1.000000e-02	 1.751777e-01
4.328761e+03	 2.309596e-04	 1.000000e-02	 1.867139e-01
4.977024e+03	 2.008829e-04	 1.000000e-02	 1.980588e-01
5.722368e+03	 1.747223e-04	 1.000000e-02	 2.091102e-01
6.579332e+03	 1.519680e-04	 1.000000e-02	 2.197767e-01
7.564633e+03	 1.321766e-04	 1.000000e-02	 2.299801e-01
8.697490e+03	 1.149625e-04	 1.000000e-02	 2.396577e-01
1.000000e+04	 9.999000e-05	 1.000000e-02	 2.487625e-01
