# Matter power spectrum P(k) at redshift z=0
# for k=1.0474e-05 to 5.33843 h/Mpc,
# number of wavenumbers equal to 556
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       4.635076008360e-02       1.258731285015e+04 
       4.665735416583e-02       1.251338348243e+04 
       4.697211769687e-02       1.243910531878e+04 
       4.729563226577e-02       1.236455631577e+04 
       4.762853964011e-02       1.228910896961e+04 
       4.797155004166e-02       1.221321603760e+04 
       4.832545184151e-02       1.213694806330e+04 
       4.869112296589e-02       1.206009902074e+04 
       4.906954437209e-02       1.198239118350e+04 
       4.946181604150e-02       1.190397877066e+04 
       4.986917604657e-02       1.182515024078e+04 
       5.029302338927e-02       1.174472205282e+04 
       5.073494548741e-02       1.166370211974e+04 
       5.119675141300e-02       1.158145256120e+04 
       5.168051227732e-02       1.149799565452e+04 
       5.218861052537e-02       1.141312991340e+04 
       5.272380036435e-02       1.132663076669e+04 
       5.328928212303e-02       1.123839904403e+04 
       5.388879402583e-02       1.114803620162e+04 
       5.452672564971e-02       1.105535238735e+04 
       5.520825813727e-02       1.096000473501e+04 
       5.593953686750e-02       1.086114618868e+04 
       5.672788228729e-02       1.075846334555e+04 
       5.758204304480e-02       1.065150101215e+04 
       5.851249058419e-02       1.053803945770e+04 
       5.953174247886e-02       1.041779664958e+04 
       6.065467690925e-02       1.028859990643e+04 
       6.189875334984e-02       1.014796163057e+04 
       6.328397324653e-02       9.992967943106e+03 
       6.483229503510e-02       9.818251833523e+03 
       6.656609166002e-02       9.619295254280e+03 
       6.850522860433e-02       9.389166598492e+03 
       7.066270377256e-02       9.121470271098e+03 
       7.303977469626e-02       8.809964868764e+03 
       7.562279086753e-02       8.452512578386e+03 
       7.838419058473e-02       8.053290156567e+03 
       8.128805339894e-02       7.621384615315e+03 
       8.429754016889e-02       7.171846766053e+03 
       8.738066967248e-02       6.722871188569e+03 
       9.051281099865e-02       6.291269865528e+03 
       9.367651953395e-02       5.891654558997e+03 
       9.686011928358e-02       5.534254808922e+03 
       1.000560781128e-01       5.224490027522e+03 
       1.032596495907e-01       4.963653898602e+03 
       1.064678861146e-01       4.748934627058e+03 
       1.096789735490e-01       4.574795267281e+03 
       1.128918014135e-01       4.433487673156e+03 
       1.161056921248e-01       4.316153190826e+03 
       1.193202329720e-01       4.213436015522e+03 
       1.225351727791e-01       4.116487172965e+03 
       1.257503586933e-01       4.017897212873e+03 
       1.289656976459e-01       3.911535639563e+03 
       1.321811328988e-01       3.794030495815e+03 
       1.353966297907e-01       3.664225241890e+03 
       1.386121670777e-01       3.523217313405e+03 
       1.418277316753e-01       3.373812170317e+03 
       1.450433154658e-01       3.220497643038e+03 
       1.482589133599e-01       3.067527556981e+03 
       1.514745221185e-01       2.919747282093e+03 
       1.546901396369e-01       2.781155430027e+03 
       1.579057645101e-01       2.654800735511e+03 
       1.611213957669e-01       2.542937220354e+03 
       1.643370327084e-01       2.445816822582e+03 
       1.675526748093e-01       2.363345240482e+03 
       1.707683216567e-01       2.294138037361e+03 
       1.739839729127e-01       2.236074438090e+03 
       1.771996282914e-01       2.186565867888e+03 
       1.804152875435e-01       2.142860239172e+03 
       1.836309504475e-01       2.102251159516e+03 
       1.868466168035e-01       2.062457661651e+03 
       1.900622864287e-01       2.020918458067e+03 
       1.932779591549e-01       1.976104799827e+03 
       1.964936348265e-01       1.927202285412e+03 
       1.997093132987e-01       1.874046267578e+03 
       2.029249944365e-01       1.817362648067e+03 
       2.061406781136e-01       1.758362726744e+03 
       2.093563642120e-01       1.698291643292e+03 
       2.125720526206e-01       1.638867061422e+03 
       2.157877432353e-01       1.581312101423e+03 
       2.190034359582e-01       1.526974502097e+03 
       2.222191306970e-01       1.476559685472e+03 
       2.254348273649e-01       1.430663088892e+03 
       2.286505258798e-01       1.389529713593e+03 
       2.318662261645e-01       1.353096667869e+03 
       2.350819281457e-01       1.320982264944e+03 
       2.382976317543e-01       1.292648526559e+03 
       2.415133369249e-01       1.267206196010e+03 
       2.447290435956e-01       1.243864688953e+03 
       2.479447517075e-01       1.221627122729e+03 
       2.511604612049e-01       1.199749497137e+03 
       2.543761720350e-01       1.177582289212e+03 
       2.575918841476e-01       1.154599629735e+03 
       2.608075974950e-01       1.130575432349e+03 
       2.640233120316e-01       1.105473327962e+03 
       2.672390277144e-01       1.079471998271e+03 
       2.704547445023e-01       1.052702147813e+03 
       2.736704623560e-01       1.025639584686e+03 
       2.768861812382e-01       9.986972277710e+02 
       2.801019011133e-01       9.723483817013e+02 
       2.833176219472e-01       9.469988437057e+02 
       2.865333437076e-01       9.230328037976e+02 
       2.897490663633e-01       9.006675136342e+02 
       2.929647898848e-01       8.799739424778e+02 
       2.961805142437e-01       8.609653133684e+02 
