# Table of selected background quantities
# All densities are multiplied by (8piG/3) (below, shortcut notation (.) for this factor) 
# Densities are in units [Mpc^-2] while all distances are in [Mpc]. 
#    1:z                      2:proper time [Gyr]      3:conf. time [Mpc]       4:H [1/Mpc]              5:comov. dist.           6:ang.diam.dist.         7:lum. dist.             8:comov.snd.hrz.         9:(.)rho_g              10:(.)rho_b              11:(.)rho_cdm            12:(.)rho_fld            13:(.)w_fld              14:(.)rho_ur             15:(.)rho_crit           16:(.)rho_tot            17:(.)p_tot              18:(.)p_tot_prime        19:gr.fac. D             20:gr.fac. f          
       2.184531367851e+06       1.535025068317e-10       2.056527287714e-01       1.062657133574e+07       1.405970457125e+04       6.436024834494e-03       3.071387971832e+10       1.187244371316e-01       6.266326329609e+13       2.596261660911e+10       1.393170190672e+11       6.775441924393e+12       3.328143135429e-01       4.332003349733e+13       1.129240183535e+14       1.129240183535e+14       3.758272965082e+13      -7.312446507222e+14       2.543508592752e-04       5.705412621297e-02 
       2.182771508007e+06       1.537500649785e-10       2.058184716188e-01       1.060946335447e+07       1.405970440550e+04       6.441213802139e-03       3.068913624704e+10       1.188201139383e-01       6.246158100781e+13       2.589992067200e+10       1.389805887607e+11       6.753643580741e+12       3.328138957354e-01       4.318060757176e+13       1.125607126697e+14       1.125607126697e+14       3.746176929037e+13      -7.283043679743e+14       2.543625548470e-04       5.705323709950e-02 
       2.181013065906e+06       1.539980223180e-10       2.059843479910e-01       1.059238292111e+07       1.405970423963e+04       6.446406953266e-03       3.066441270911e+10       1.189158678123e-01       6.226054783582e+13       2.583737613646e+10       1.386449708843e+11       6.731915374784e+12       3.328134775921e-01       4.304163038981e+13       1.121985759474e+14       1.121985759474e+14       3.734119824195e+13      -7.253759082389e+14       2.543742507744e-04       5.705234946435e-02 
       2.179256040407e+06       1.542463794936e-10       2.061503579953e-01       1.057532999131e+07       1.405970407362e+04       6.451604291247e-03       3.063970908847e+10       1.190116988156e-01       6.206016169095e+13       2.577498263685e+10       1.383101634762e+11       6.710257080859e+12       3.328130591127e-01       4.290310050720e+13       1.118376044251e+14       1.118376044251e+14       3.722101525256e+13      -7.224592239742e+14       2.543859470578e-04       5.705146330852e-02 
       2.177500430368e+06       1.544951371500e-10       2.063165017425e-01       1.055830452077e+07       1.405970390747e+04       6.456805819458e-03       3.061502536907e+10       1.191076070103e-01       6.186042049072e+13       2.571273980846e+10       1.379761645793e+11       6.688668473979e+12       3.328126402970e-01       4.276501648429e+13       1.114777943534e+14       1.114777943534e+14       3.710121907323e+13      -7.195542678292e+14       2.543976436974e-04       5.705057863299e-02 
       2.175746234648e+06       1.547442959330e-10       2.064827793383e-01       1.054130646528e+07       1.405970374120e+04       6.462011541277e-03       3.059036153488e+10       1.192035924585e-01       6.166132215938e+13       2.565064728743e+10       1.376429722410e+11       6.667149329901e+12       3.328122211447e-01       4.262737688608e+13       1.111191419949e+14       1.111191419949e+14       3.698180845901e+13      -7.166609926435e+14       2.544093406937e-04       5.704969543874e-02 
       2.173993452109e+06       1.549938564891e-10       2.066491908899e-01       1.052433578067e+07       1.405970357479e+04       6.467221460084e-03       3.056571756989e+10       1.192996552223e-01       6.146286462785e+13       2.558870471079e+10       1.373105845136e+11       6.645699425107e+12       3.328118016554e-01       4.249018028217e+13       1.107616436244e+14       1.107616436244e+14       3.686278216894e+13      -7.137793514462e+14       2.544210380468e-04       5.704881372677e-02 
       2.172242081613e+06       1.552438194661e-10       2.068157365065e-01       1.050739242288e+07       1.405970340824e+04       6.472435579264e-03       3.054109345808e+10       1.193957953640e-01       6.126504583370e+13       2.552691171646e+10       1.369789994542e+11       6.624318536795e+12       3.328113818290e-01       4.235342524680e+13       1.104052955285e+14       1.104052955285e+14       3.674413896607e+13      -7.109092974556e+14       2.544327357571e-04       5.704793349806e-02 
       2.170492122020e+06       1.554941855128e-10       2.069824162936e-01       1.049047634790e+07       1.405970324156e+04       6.477653902203e-03       3.051648918346e+10       1.194920129458e-01       6.106786372116e+13       2.546526794320e+10       1.366482151245e+11       6.603006442880e+12       3.328109616652e-01       4.221711035876e+13       1.100500940059e+14       1.100500940059e+14       3.662587761744e+13      -7.080507840777e+14       2.544444338248e-04       5.704705475360e-02 
       2.168743572196e+06       1.557449552790e-10       2.071492303621e-01       1.047358751179e+07       1.405970307475e+04       6.482876432289e-03       3.049190473005e+10       1.195883080301e-01       6.087131624106e+13       2.540377303068e+10       1.363182295907e+11       6.581762921991e+12       3.328105411637e-01       4.208123420144e+13       1.096960353671e+14       1.096960353671e+14       3.650799689405e+13      -7.052037649061e+14       2.544561322504e-04       5.704617749439e-02 
       2.166996431004e+06       1.559961294157e-10       2.073161788194e-01       1.045672587068e+07       1.405970290780e+04       6.488103172916e-03       3.046734008188e+10       1.196846806793e-01       6.067540135083e+13       2.534242661941e+10       1.359890409239e+11       6.560587753494e+12       3.328101203243e-01       4.194579536278e+13       1.093431159346e+14       1.093431159346e+14       3.639049557084e+13      -7.023681937212e+14       2.544678310341e-04       5.704530172141e-02 
       2.165250697309e+06       1.562477085746e-10       2.074832617727e-01       1.043989138079e+07       1.405970274071e+04       6.493334127476e-03       3.044279522300e+10       1.197811309556e-01       6.048011701447e+13       2.528122835079e+10       1.356606471997e+11       6.539480717460e+12       3.328096991466e-01       4.181079243527e+13       1.089913320428e+14       1.089913320428e+14       3.627337242673e+13      -6.995440244893e+14       2.544795301761e-04       5.704442743564e-02 
       2.163506369978e+06       1.564996934089e-10       2.076504793295e-01       1.042308399839e+07       1.405970257350e+04       6.498569299368e-03       3.041827013746e+10       1.198776589217e-01       6.028546120254e+13       2.522017786707e+10       1.353330464986e+11       6.518441594631e+12       3.328092776304e-01       4.167622401592e+13       1.086406800375e+14       1.086406800375e+14       3.615662624454e+13      -6.967312113614e+14       2.544912296769e-04       5.704355463809e-02 
       2.161763447878e+06       1.567520845725e-10       2.078178316006e-01       1.040630367982e+07       1.405970240614e+04       6.503808691992e-03       3.039376480934e+10       1.199742646401e-01       6.009143189213e+13       2.515927481138e+10       1.350062369055e+11       6.497470166475e+12       3.328088557754e-01       4.154208870626e+13       1.082911562766e+14       1.082911562766e+14       3.604025581100e+13      -6.939297086729e+14       2.545029295366e-04       5.704268332974e-02 
       2.160021929875e+06       1.570048827206e-10       2.079853186933e-01       1.038955038150e+07       1.405970223866e+04       6.509052308750e-03       3.036927922272e+10       1.200709481732e-01       5.989802706684e+13       2.509851882769e+10       1.346802165099e+11       6.476566215162e+12       3.328084335813e-01       4.140838511233e+13       1.079427571297e+14       1.079427571297e+14       3.592425991678e+13      -6.911394709431e+14       2.545146297557e-04       5.704181351160e-02 
       2.158281814841e+06       1.572580885092e-10       2.081529407169e-01       1.037282405991e+07       1.405970207104e+04       6.514300153047e-03       3.034481336170e+10       1.201677095838e-01       5.970524471675e+13       2.503790956086e+10       1.343549834060e+11       6.455729523561e+12       3.328080110480e-01       4.127511184464e+13       1.075954789779e+14       1.075954789779e+14       3.580863735640e+13      -6.883604528739e+14       2.545263303344e-04       5.704094518465e-02 
       2.156543101643e+06       1.575117025955e-10       2.083206977786e-01       1.035612467162e+07       1.405970190328e+04       6.519552228293e-03       3.032036721037e+10       1.202645489345e-01       5.951308283843e+13       2.497744665657e+10       1.340305356928e+11       6.434959875242e+12       3.328075881750e-01       4.114226751818e+13       1.072493182142e+14       1.072493182142e+14       3.569338692829e+13      -6.855926093495e+14       2.545380312730e-04       5.704007834990e-02 
       2.154805789153e+06       1.577657256379e-10       2.084885899858e-01       1.033945217325e+07       1.405970173539e+04       6.524808537898e-03       3.029594075288e+10       1.203614662880e-01       5.932153943488e+13       2.491712976140e+10       1.337068714735e+11       6.414257054468e+12       3.328071649622e-01       4.100985075242e+13       1.069042712430e+14       1.069042712430e+14       3.557850743473e+13      -6.828358954357e+14       2.545497325719e-04       5.703921300834e-02 
       2.153069876243e+06       1.580201582955e-10       2.086566174512e-01       1.032280652150e+07       1.405970156736e+04       6.530069085275e-03       3.027153397334e+10       1.204584617071e-01       5.913061251553e+13       2.485695852273e+10       1.333839888561e+11       6.393620846229e+12       3.328067414093e-01       4.087786017123e+13       1.065603344804e+14       1.065603344804e+14       3.546399768189e+13      -6.800902663788e+14       2.545614342313e-04       5.703834916095e-02 
       2.151335361784e+06       1.582750012289e-10       2.088247802822e-01       1.030618767313e+07       1.405970139920e+04       6.535333873842e-03       3.024714685592e+10       1.205555352545e-01       5.894030009622e+13       2.479693258885e+10       1.330618859533e+11       6.373051036184e+12       3.328063175159e-01       4.074629440293e+13       1.062175043539e+14       1.062175043539e+14       3.534985647974e+13      -6.773556776053e+14       2.545731362515e-04       5.703748680875e-02 
       2.149602244651e+06       1.585302550995e-10       2.089930785860e-01       1.028959558499e+07       1.405970123090e+04       6.540602907018e-03       3.022277938476e+10       1.206526869933e-01       5.875060019918e+13       2.473705160885e+10       1.327405608820e+11       6.352547410659e+12       3.328058932819e-01       4.061515208027e+13       1.058757773026e+14       1.058757773026e+14       3.523608264210e+13      -6.746320847206e+14       2.545848386329e-04       5.703662595273e-02 
