# Matter power spectrum P(k) at redshift z=0
# for k=1.04887e-05 to 4.87874 h/Mpc,
# number of wavenumbers equal to 551
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       2.072231850261e-02       1.691305292864e+04 
       2.085763494720e-02       1.687398810351e+04 
       2.099302343631e-02       1.683434055133e+04 
       2.112848533671e-02       1.679411877355e+04 
       2.126402204895e-02       1.675334057861e+04 
       2.139963500809e-02       1.671205216419e+04 
       2.153532568438e-02       1.667020531219e+04 
       2.167109558409e-02       1.662785584754e+04 
       2.180694625022e-02       1.658499140064e+04 
       2.194287926336e-02       1.654162803643e+04 
       2.207889624247e-02       1.649776962545e+04 
       2.221499884577e-02       1.645357456829e+04 
       2.235118877162e-02       1.640870636720e+04 
       2.248746775941e-02       1.636345992579e+04 
       2.262383759050e-02       1.631796975281e+04 
       2.276030008924e-02       1.627184956972e+04 
       2.289685712387e-02       1.622527321070e+04 
       2.303351060765e-02       1.617827065468e+04 
       2.317026249986e-02       1.613098443252e+04 
       2.330711480690e-02       1.608333283844e+04 
       2.344406958346e-02       1.603523493201e+04 
       2.358112893362e-02       1.598679794559e+04 
       2.371829501209e-02       1.593809835002e+04 
       2.385557002545e-02       1.588882243196e+04 
       2.399295623341e-02       1.583948091275e+04 
       2.413045595013e-02       1.578951923360e+04 
       2.426807154557e-02       1.573953293168e+04 
       2.440580544693e-02       1.568899141969e+04 
       2.454366014003e-02       1.563836794402e+04 
       2.468163817085e-02       1.558714095435e+04 
       2.481974214706e-02       1.553585198604e+04 
       2.495797473958e-02       1.548424860430e+04 
       2.509633868427e-02       1.543239159685e+04 
       2.523483678357e-02       1.538029503303e+04 
       2.537347190827e-02       1.532795813520e+04 
       2.551224699932e-02       1.527545154439e+04 
       2.565116506967e-02       1.522262143717e+04 
       2.579022920623e-02       1.516947982993e+04 
       2.592944257180e-02       1.511622063336e+04 
       2.606880840719e-02       1.506285422739e+04 
       2.620833003329e-02       1.500905751168e+04 
       2.634801085328e-02       1.495524944687e+04 
       2.648785435491e-02       1.490114202662e+04 
       2.662786411284e-02       1.484702903824e+04 
       2.676804379102e-02       1.479252225365e+04 
       2.690839714528e-02       1.473801565121e+04 
       2.704892802584e-02       1.468331379456e+04 
       2.718964038004e-02       1.462846862582e+04 
       2.733053825514e-02       1.457349220323e+04 
       2.747162580112e-02       1.451838780986e+04 
       2.761290727373e-02       1.446315568136e+04 
       2.775438703754e-02       1.440775667702e+04 
       2.789606956915e-02       1.435229107872e+04 
       2.803795946047e-02       1.429674967910e+04 
       2.818006142221e-02       1.424104954521e+04 
       2.832238028735e-02       1.418527093322e+04 
       2.846492101493e-02       1.412945812632e+04 
       2.860768869379e-02       1.407358113489e+04 
       2.875068854658e-02       1.401755443061e+04 
       2.889392593386e-02       1.396149302985e+04 
       2.903740635839e-02       1.390531717183e+04 
       2.918113546958e-02       1.384913929841e+04 
       2.932511906804e-02       1.379288773540e+04 
       2.946936311045e-02       1.373667740816e+04 
       2.961387371448e-02       1.368032091041e+04 
       2.975865716396e-02       1.362392221599e+04 
       2.990371991430e-02       1.356760862237e+04 
       3.004906859806e-02       1.351116659185e+04 
       3.019471003075e-02       1.345475368782e+04 
       3.034065121694e-02       1.339829166970e+04 
       3.048689935649e-02       1.334186329273e+04 
       3.063346185121e-02       1.328539466487e+04 
       3.078034631162e-02       1.322887854838e+04 
       3.092756056412e-02       1.317246463423e+04 
       3.107511265841e-02       1.311605248673e+04 
       3.122301087527e-02       1.305960706272e+04 
       3.137126373459e-02       1.300317578661e+04 
       3.151988000385e-02       1.294675831448e+04 
       3.166886870695e-02       1.289041454609e+04 
       3.181823913333e-02       1.283409362870e+04 
       3.196800084767e-02       1.277773108949e+04 
       3.211816369987e-02       1.272142813750e+04 
       3.226873783561e-02       1.266517857696e+04 
       3.241973370728e-02       1.260895957831e+04 
       3.257116208552e-02       1.255280701692e+04 
       3.272303407123e-02       1.249674845049e+04 
       3.287536110819e-02       1.244061762864e+04 
       3.302815499626e-02       1.238464536245e+04 
       3.318142790521e-02       1.232869509147e+04 
       3.333519238927e-02       1.227276294349e+04 
       3.348946140231e-02       1.221697954337e+04 
       3.364424831386e-02       1.216125050779e+04 
       3.379956692590e-02       1.210557921124e+04 
       3.395543149048e-02       1.204992433014e+04 
       3.411185672826e-02       1.199445927657e+04 
       3.426885784799e-02       1.193898430590e+04 
       3.442645056706e-02       1.188361921351e+04 
       3.458465113307e-02       1.182830958341e+04 
       3.474347634659e-02       1.177305996526e+04 
       3.490294358510e-02       1.171792878147e+04 
