# Table of selected background quantities
# All densities are multiplied by (8piG/3) (below, shortcut notation (.) for this factor) 
# Densities are in units [Mpc^-2] while all distances are in [Mpc]. 
#    1:z                      2:proper time [Gyr]      3:conf. time [Mpc]       4:H [1/Mpc]              5:comov. dist.           6:ang.diam.dist.         7:lum. dist.             8:comov.snd.hrz.         9:(.)rho_g              10:(.)rho_b              11:(.)rho_cdm            12:(.)rho_fld            13:(.)w_fld              14:(.)rho_ur             15:(.)rho_crit           16:(.)rho_tot            17:(.)p_tot              18:(.)p_tot_prime        19:gr.fac. D             20:gr.fac. f          
       1.755420272576e+11       2.445823452453e-20       2.632754330989e-06       6.667619002459e+16       1.407971273277e+04       8.020707606410e-08       2.471581316330e+15       1.520021420700e-06       2.612784012788e+33       1.347151183076e+25       7.228897221137e+25       2.667428711115e+31       3.333333268643e-01       1.806255930535e+33       4.445714316195e+33       4.445714316195e+33       1.481904743306e+33      -2.251489601671e+39       7.710587615912e-05       1.460910558140e-01 
       1.754006105547e+11       2.449768931538e-20       2.634877091623e-06       6.656880458531e+16       1.407971273277e+04       8.027174300115e-08       2.469590209777e+15       1.521246937622e-06       2.604374743453e+33       1.343898009210e+25       7.211440487391e+25       2.658843567375e+31       3.333333268591e-01       1.800442479238e+33       4.431405743918e+33       4.431405743918e+33       1.477135219283e+33      -2.242435198857e+39       7.711495448346e-05       1.460738573304e-01 
       1.752593077772e+11       2.453720775272e-20       2.637001671246e-06       6.646159209583e+16       1.407971273277e+04       8.033646207591e-08       2.467600707261e+15       1.522473442616e-06       2.595992539428e+33       1.340652691285e+25       7.194025909114e+25       2.650286054994e+31       3.333333268539e-01       1.794647738587e+33       4.417143223912e+33       4.417143223912e+33       1.472381046017e+33      -2.233417208475e+39       7.712403280781e-05       1.460566628958e-01 
       1.751181188332e+11       2.457678993920e-20       2.639128069859e-06       6.635455227757e+16       1.407971273277e+04       8.040123333040e-08       2.465612807488e+15       1.523700936480e-06       2.587637313604e+33       1.337415210330e+25       7.176653384507e+25       2.641756085040e+31       3.333333268487e-01       1.788871648363e+33       4.402926607957e+33       4.402926607957e+33       1.467642174101e+33      -2.224435484090e+39       7.713311113215e-05       1.460394725086e-01 
       1.749770436310e+11       2.461643597768e-20       2.641254468472e-06       6.624768485247e+16       1.407971273277e+04       8.046605680671e-08       2.463626509168e+15       1.524929420011e-06       2.579308979151e+33       1.334185547420e+25       7.159322812016e+25       2.633253568878e+31       3.333333268434e-01       1.783114148537e+33       4.388755748312e+33       4.388755748312e+33       1.462918554288e+33      -2.215489879860e+39       7.714218945650e-05       1.460222861674e-01 
       1.748360820791e+11       2.465614597114e-20       2.643384505063e-06       6.614098954285e+16       1.407971273276e+04       8.053093254693e-08       2.461641811010e+15       1.526158894006e-06       2.571007449519e+33       1.330963683676e+25       7.142034090333e+25       2.624778418150e+31       3.333333268382e-01       1.777375179278e+33       4.374630497708e+33       4.374630497708e+33       1.458210137489e+33      -2.206580250525e+39       7.715126778085e-05       1.460051038709e-01 
       1.746952340859e+11       2.469592002277e-20       2.645516360644e-06       6.603446607154e+16       1.407971273276e+04       8.059586059320e-08       2.459658711726e+15       1.527389359265e-06       2.562732638436e+33       1.327749600263e+25       7.124787118394e+25       2.616330544771e+31       3.333333268330e-01       1.771654680944e+33       4.360550709353e+33       4.360550709353e+33       1.453516874772e+33      -2.197706451413e+39       7.716034610520e-05       1.459879256176e-01 
       1.745544995598e+11       2.473575823589e-20       2.647648216225e-06       6.592811416176e+16       1.407971273276e+04       8.066084098769e-08       2.457677210027e+15       1.528620816585e-06       2.554484459908e+33       1.324543278393e+25       7.107581795380e+25       2.607909860951e+31       3.333333268277e-01       1.765952594086e+33       4.346516236926e+33       4.346516236926e+33       1.448838717365e+33      -2.188868338431e+39       7.716942442955e-05       1.459707514061e-01 
       1.744138784095e+11       2.477566071400e-20       2.649783709785e-06       6.582193353721e+16       1.407971273276e+04       8.072587377261e-08       2.455697304626e+15       1.529853266768e-06       2.546262828219e+33       1.321344699324e+25       7.090418020715e+25       2.599516279177e+31       3.333333268225e-01       1.760268859448e+33       4.332526934576e+33       4.332526934576e+33       1.444175616650e+33      -2.180065768067e+39       7.717850275390e-05       1.459535812349e-01 
       1.742733705436e+11       2.481562756078e-20       2.651919203345e-06       6.571592392202e+16       1.407971273276e+04       8.079095899020e-08       2.453718994238e+15       1.531086710614e-06       2.538067657928e+33       1.318153844357e+25       7.073295694066e+25       2.591149712221e+31       3.333333268172e-01       1.754603417961e+33       4.318582656925e+33       4.318582656925e+33       1.439527524168e+33      -2.171298597386e+39       7.718758107826e-05       1.459364151026e-01 
