# logA n_s H0 omega_b omega_cdm m_ncdm w0_fld wa_fld tau_reio weight loglikelihood
3.66972806e+00 8.17997695e-01 6.19536655e+01 1.14657889e-02 2.87293135e-01 4.17300163e-01 -1.51263248e+00 -1.04118169e+00 7.52296591e-01 0.00000000e+00 -1.00000000e+300
3.85796957e+00 1.08241433e+00 2.30689084e+01 1.34624421e-02 2.53175440e-01 1.32506774e+00 -1.32969564e+00 -1.84470141e+00 7.50717893e-01 0.00000000e+00 -1.00000000e+300
2.15621083e+00 9.33483600e-01 8.52397234e+01 4.81994996e-02 9.86973583e-01 8.61160888e-01 -4.86091355e-01 -1.18592413e+00 2.23541597e-01 0.00000000e+00 -1.00000000e+300
1.82252527e+00 8.95198739e-01 9.32301008e+01 7.02854050e-02 5.18168237e-01 3.38174387e-01 -3.64465064e-01 -4.48128197e-01 2.36166195e-01 0.00000000e+00 -1.00000000e+300
3.39400836e+00 1.08234927e+00 2.20496603e+01 6.28452100e-03 3.23574869e-01 3.99698222e-01 -1.93432324e+00 -3.24697502e-01 6.62390827e-01 0.00000000e+00 -1.00000000e+300
3.23573540e+00 8.97127724e-01 4.26083628e+01 7.74311167e-02 8.79415472e-01 4.31519054e-01 -1.51315259e-01 1.12103543e+00 2.27927088e-01 0.00000000e+00 -1.00000000e+300
3.29600440e+00 1.12695664e+00 4.56589555e+01 8.52707851e-02 3.64231211e-01 5.56976560e-01 -1.04845123e+00 -1.51947190e+00 6.54410488e-01 0.00000000e+00 -1.00000000e+300
3.70600363e+00 8.53424578e-01 4.22560894e+01 4.15764284e-02 5.16222719e-01 1.43196603e+00 -4.25504118e-01 -1.60770711e+00 7.72349056e-01 0.00000000e+00 -1.00000000e+300
3.82822053e+00 1.15580017e+00 4.25255631e+01 8.46391244e-02 3.77928930e-01 1.85758384e+00 -6.73180045e-01 1.64310829e+00 7.73416331e-01 0.00000000e+00 -1.00000000e+300
3.22829439e+00 1.18858878e+00 8.79486542e+01 7.13161507e-02 3.85452517e-01 3.76941281e-01 -1.85918540e+00 -1.86164200e+00 7.00679293e-01 0.00000000e+00 -1.00000000e+300
1.76470364e+00 8.25205181e-01 6.74695515e+01 9.28981483e-02 4.87770397e-01 1.31537686e+00 -1.35519659e+00 -1.57630096e+00 7.35421565e-01 0.00000000e+00 -1.00000000e+300
1.97361090e+00 1.00843108e+00 6.70368980e+01 7.54407222e-02 3.81153518e-01 9.73048343e-01 -4.71745817e-01 -1.77706143e+00 3.98847482e-01 0.00000000e+00 -1.00000000e+300
2.75882225e+00 1.19858486e+00 9.79948229e+01 6.25677824e-02 6.41217680e-01 2.83386048e-02 -1.67229982e-01 -1.00174042e+00 4.79565418e-01 0.00000000e+00 -1.00000000e+300
3.35115415e+00 1.03669715e+00 6.57455695e+01 4.85501184e-02 1.42117850e-01 6.17857177e-01 -8.94743527e-01 7.53158466e-01 3.86718322e-01 0.00000000e+00 -1.00000000e+300
3.14438731e+00 1.14312127e+00 5.33321011e+01 5.41639357e-02 2.61388869e-01 1.11276305e+00 -1.90832462e+00 1.30559368e-01 5.77902882e-01 0.00000000e+00 -1.00000000e+300
