# logA n_s H0 omega_b omega_cdm m_ncdm w0_fld wa_fld tau_reio
2.43730577e+00 8.37051873e-01 7.09978513e+01 2.40616313e-02 9.93791130e-02 5.63424382e-01 -8.71085892e-01 1.52821104e-01 5.12693602e-02
3.31282390e+00 1.12717723e+00 7.14744483e+01 2.22805649e-02 9.23073613e-02 1.41785437e+00 -9.05111042e-01 -3.05145176e-01 5.30945672e-01
1.82862611e+00 9.63482022e-01 8.23158314e+01 3.01207734e-02 1.62327624e-01 8.57332264e-01 -8.25277538e-01 -9.55320647e-01 2.32833566e-01
2.53025236e+00 1.03187572e+00 7.77583617e+01 2.88298915e-02 1.17667472e-01 1.30197827e+00 -8.35081817e-01 -6.35702691e-01 1.59931154e-01
2.46993620e+00 9.67816555e-01 7.35441707e+01 2.78027462e-02 7.18812782e-02 6.37307520e-01 -1.07407735e+00 1.04210461e+00 5.47770280e-01
3.50723301e+00 8.66707218e-01 7.20826539e+01 2.79525615e-02 1.14982370e-01 1.39854508e+00 -3.96691959e-01 -1.79686574e+00 7.00860138e-01
2.07812752e+00 1.03849690e+00 8.12340450e+01 3.13009023e-02 1.67006867e-01 6.36294896e-01 -6.39630654e-01 -1.35895715e+00 6.34264098e-01
3.12099808e+00 1.17152858e+00 7.56846394e+01 2.79294867e-02 1.44810943e-01 1.02494504e+00 -5.63282012e-01 -1.46064274e+00 7.20029624e-01
3.52518056e+00 9.65456976e-01 6.77419239e+01 2.00942925e-02 9.99273520e-02 9.87459707e-01 -6.38474045e-01 -1.14151522e+00 5.71647196e-01
3.71031061e+00 1.04485362e+00 6.74667913e+01 1.85683496e-02 9.78855888e-02 1.16470130e+00 -5.89000208e-01 -1.54796019e+00 4.95676209e-01
2.03470738e+00 9.06650882e-01 7.78735757e+01 3.10009292e-02 1.43248567e-01 1.24241459e+00 -6.27131839e-01 -1.25970685e+00 3.19153654e-01
2.45525060e+00 1.15424658e+00 7.17692556e+01 2.81033221e-02 8.14856147e-02 1.92023404e+00 -6.83073573e-01 -7.29836285e-01 2.74883661e-01
2.41185977e+00 1.08986199e+00 6.80925664e+01 2.48099878e-02 7.32250113e-02 1.69274576e+00 -6.06832121e-01 -7.15728136e-01 5.94371905e-01
3.86301385e+00 1.09240853e+00 7.21514077e+01 2.55826193e-02 1.18904951e-01 1.41385317e+00 -5.35110512e-01 -1.40031366e+00 6.69463573e-02
2.09056305e+00 1.17266555e+00 6.88601132e+01 1.93693105e-02 1.04331393e-01 4.77411667e-02 -9.78452353e-01 7.12764087e-01 5.69256496e-01
2.85142553e+00 8.62870473e-01 5.73535061e+01 9.46177540e-03 6.55074922e-02 1.26999756e+00 -5.89666361e-01 -1.23551927e+00 2.03550247e-01
3.03105854e+00 9.08363630e-01 6.41064610e+01 1.93879017e-02 6.56882283e-02 1.89272004e+00 -5.05059346e-01 -1.29647966e+00 2.72178861e-01
2.01188834e+00 1.16928747e+00 8.02064842e+01 3.04174627e-02 1.91357503e-01 7.76819896e-02 -6.67046588e-01 -7.93767643e-01 6.27764607e-01
