weight logl logA n_s H0 omega_b omega_cdm m_ncdm w0_fld Omega_EDE tau_reio
0.000000000000000000e+00 -3.661908248283330067e+03 9.058857965105688859e-01 9.233906519391410495e-01 9.865205187596925995e-04 9.145841376637852127e-01 4.625943613518255226e-01 1.221501284267899612e-01 4.346141421204382516e-01 7.487132320393141693e-01 7.657862380180363582e-01
0.000000000000000000e+00 -3.655972567098604031e+03 2.190629909157548738e-02 9.802481757123167050e-01 2.102329948674468429e-01 7.188282653208966089e-01 3.376914703780181659e-01 3.194219100625783625e-03 2.483946610957868950e-01 8.026485849967599506e-01 2.868588279609995961e-01
0.000000000000000000e+00 -3.651049051784601488e+03 3.047561009691357459e-01 8.731315229294887015e-01 2.131830244846314448e-01 1.088725163421144781e-02 1.125174054152743297e-01 7.801031124444242071e-01 1.724841473466440789e-01 3.885042597101255879e-01 8.888626716603535982e-01
0.000000000000000000e+00 -3.635187470693435444e+03 4.648020688730912786e-01 1.929434078810562392e-01 1.426307237309776266e-01 7.545563274486511984e-01 8.195804661402759095e-01 6.516760117836806199e-02 3.032045196891404171e-01 9.866137969060834179e-01 5.635782789458377851e-01
0.000000000000000000e+00 -3.619109990245369318e+03 4.275617158360376369e-01 7.777772565083981293e-01 2.886001271933298362e-01 8.694656342973074992e-01 4.823213973478086558e-01 1.016173271432563308e-02 1.600351011791381062e-01 6.030021304825184947e-01 6.612713642080514376e-01
0.000000000000000000e+00 -3.590339038545723724e+03 6.760556614018108368e-01 8.954573200872349981e-01 1.320352877570855066e-01 3.064778800885057386e-01 5.943733056242768154e-01 9.423662527905787289e-01 2.396499782526021471e-01 6.199171785159592885e-01 2.957385412511110978e-01
0.000000000000000000e+00 -3.586758135399585171e+03 6.288086624082790399e-01 1.044905280707727480e-01 9.934518366935585210e-02 3.911738727532277915e-01 4.568691566985916275e-02 2.116732203753581842e-01 3.362174922461073079e-01 5.111989046607166021e-01 5.621398479396253478e-01
0.000000000000000000e+00 -3.580672147811409559e+03 5.618955103806928530e-01 2.997461220036957696e-01 3.868930799241576679e-01 7.504834263525858029e-01 6.279185858995579572e-01 3.236946118577146425e-01 6.676190593500030968e-02 7.375807014213957569e-01 1.000270008716686032e-02
0.000000000000000000e+00 -3.563034201213159577e+03 1.385106087612277825e-01 2.936464990157952037e-01 3.683234834260405988e-01 1.260170631300383537e-02 2.052308543418578379e-01 9.973995298019284750e-01 4.435436431062078633e-02 2.820355289658037501e-01 5.559304665991563477e-01
0.000000000000000000e+00 -3.534984134493833608e+03 9.810119265606453975e-01 7.107803279605185987e-01 2.629792878845671478e-02 4.500239194078137217e-01 8.175995456947436901e-01 6.461846680930563025e-01 3.317631157530125385e-01 3.720601460364157953e-01 6.074474749657512440e-01
0.000000000000000000e+00 -3.511452621432164960e+03 1.316179345441358395e-01 7.920033636886736339e-01 3.490689367778757601e-01 9.778609817687010652e-01 7.618147494325466784e-02 5.944279979347746323e-01 1.502929457217744291e-01 5.618584441641891747e-01 8.392725213636972326e-01
0.000000000000000000e+00 -3.488477381448240067e+03 2.333853457225238959e-01 3.292548976822962103e-03 3.601276275995505260e-01 9.667071805499042325e-01 9.648498377251087943e-01 3.510335377601314644e-02 6.982126010363498558e-02 4.506939772585882853e-01 7.350681835318654267e-01
0.000000000000000000e+00 -3.473197715506799341e+03 3.691733270237623765e-01 6.731777908412943656e-01 5.884904538985603617e-01 3.932801426182176430e-01 1.373602866925864863e-01 5.232708425920656881e-01 3.177184103820507310e-03 8.578015906902278775e-01 4.254737187576962398e-02
0.000000000000000000e+00 -3.466708065556757902e+03 6.049632289310026279e-01 6.656107976189118425e-01 6.474904378042600772e-02 2.312009199520650427e-01 8.843340734138553927e-01 5.566907935667975149e-02 2.968537480083947022e-01 1.265427076273476503e-01 5.803249230351577026e-01
0.000000000000000000e+00 -3.421751226606018463e+03 5.655908676095100507e-01 9.985596904272744379e-01 2.903289011017790022e-01 3.879589347114640319e-01 8.340391316240753916e-01 7.527015566283066228e-01 8.366074528885336647e-02 2.231618695804877817e-01 9.546649733004975991e-01
0.000000000000000000e+00 -3.414513067596649762e+03 3.128584349771664774e-01 1.554678502505331128e-01 5.026104514221592101e-01 2.535343888916746780e-01 3.485533348311870006e-01 1.859100740920466288e-01 4.918757961054887051e-02 6.783387075312411474e-01 5.409176302283660309e-01
0.000000000000000000e+00 -3.412181320593739201e+03 7.511656351849637092e-01 1.053111031304553302e-01 5.546965984987423104e-01 1.494861132477132148e-02 1.832461819980123474e-01 4.874114151882043000e-01 1.499381762809837149e-02 6.724397731822664426e-01 7.161872579512659209e-01
0.000000000000000000e+00 -3.408772573851543257e+03 3.343607878336940509e-01 6.189316534986432083e-01 3.249843444274254090e-01 1.643174872116097696e-01 4.174555944094009430e-01 1.101732744438052025e-01 1.625769485811179305e-01 5.519965185844231126e-01 2.521978586192114014e-01
0.000000000000000000e+00 -3.402531533868586394e+03 7.661899771522162617e-02 8.405556529693111179e-01 9.509820450329287134e-02 3.320830536437979763e-01 9.459520423939868916e-01 7.198399334317328035e-01 2.593749244073983995e-01 2.243967767575265615e-01 6.349346704679825759e-01
0.000000000000000000e+00 -3.372672642118050135e+03 3.121424770312747343e-01 6.975160190813581851e-01 4.034229092733476740e-01 5.643968342453329345e-01 5.549510115850154746e-01 1.277889337399138459e-01 1.155993209456499526e-01 6.658314997752888820e-01 8.354508279506921431e-01
0.000000000000000000e+00 -3.366853451348791623e+03 5.655878865895724861e-02 9.290297208935575091e-01 9.773757292075635483e-02 2.404828720690290744e-01 6.573226554610828165e-01 9.778368024234243006e-01 3.470543571962326768e-01 7.801043406896640553e-01 9.213868400593039354e-02
0.000000000000000000e+00 -3.354109187109494997e+03 9.127722197963377138e-01 5.452835428799475137e-01 1.327707306500993667e-01 8.908817725576611002e-01 9.545612315040485907e-01 8.246574912868226415e-01 3.097968377175895904e-01 7.157556451961264443e-01 8.028580234548942096e-01
0.000000000000000000e+00 -3.349047158512257738e+03 7.865208243280746858e-01 5.689920035682095589e-01 4.916269169998357391e-01 2.248094008341184891e-01 1.992037933359457336e-01 1.859482388478181925e-01 8.855049575875983958e-02 6.662911210837259013e-01 3.455190087188765302e-01
0.000000000000000000e+00 -3.336584431549260898e+03 1.086235878535783961e-01 1.965151243938503267e-01 3.763611636099281066e-01 5.877234604491837766e-01 2.971393098661715415e-01 2.106970254311750779e-01 1.278336202951940725e-01 1.233107078343290697e-01 9.951265928602688327e-01
0.000000000000000000e+00 -3.301487550225767336e+03 9.208159785403152719e-01 3.846351695059129217e-01 3.784175791832334879e-01 9.421407772775424183e-01 6.876269640349694789e-01 3.279457482817480507e-01 8.710134946941505696e-02 2.551511269695405648e-02 4.169547681938803319e-01
0.000000000000000000e+00 -3.250902519726193987e+03 1.851576339393257165e-02 9.415273339825280807e-02 1.879261095778392843e-01 3.955321030692539042e-01 6.323262566385168260e-01 6.703327713482964967e-01 2.898786319887427521e-01 6.628669796341534193e-01 4.381147865490104820e-01
0.000000000000000000e+00 -3.237870533594679273e+03 9.101794887053845651e-01 8.525627554043917478e-01 1.113221900243617224e-01 1.427794854821332615e-01 5.020766653152550774e-01 2.477736275673543265e-01 4.252561433160148008e-01 9.827500804489263109e-01 9.966663649156703997e-02
0.000000000000000000e+00 -3.232848846719273752e+03 2.602017622576685563e-01 6.892939124954796659e-01 3.961682625537411573e-01 6.792923962671085780e-01 8.578655579841640844e-01 3.687278832762141967e-01 6.517260720190087842e-02 3.265081655768109492e-02 9.297560020658806046e-01
0.000000000000000000e+00 -3.219248124849763371e+03 5.402014451083324564e-01 5.822230938505823516e-01 4.174524323187689401e-01 7.901484664527398394e-01 7.903155700957142926e-01 5.294367372608762556e-01 1.083554812539460066e-01 6.910498673683885817e-01 6.498023832645399844e-01
0.000000000000000000e+00 -3.170989415976981945e+03 8.443447699238258997e-01 6.289188418179850748e-01 6.188265876767121698e-01 5.866803029981910722e-01 1.493835363602109556e-01 2.423590758396909628e-01 3.696951812210336197e-02 6.364132870706673550e-02 2.001904725106284921e-02
0.000000000000000000e+00 -3.161199870025477139e+03 1.545162135148799853e-01 7.190864715314867484e-01 5.281627865820152090e-01 6.058103191311321467e-01 4.167086022760743136e-01 1.171584754099798120e-01 1.140502311442775918e-01 8.924450220559256852e-01 9.019667975181403508e-01
