logA n_s H0 omega_b omega_cdm m_ncdm w0_fld Omega_EDE tau_reio
2.826108546481278960e+00 9.585362526088744284e-01 7.657208743732732614e+01 2.245725748964610621e-02 1.281148709649709283e-01 8.765156470267594646e-02 -9.145257571064695501e-01 5.568320770147296150e-02 7.913802599795198567e-02
3.189195837818545431e+00 9.620501554645690678e-01 7.601772058472049309e+01 2.250230101440502464e-02 1.254961252494871671e-01 9.157543635765606760e-02 -8.942860732959716508e-01 9.458228866737579399e-02 7.680108806841651203e-02
2.954102248814653553e+00 9.930437397609159778e-01 7.398440373263684933e+01 2.252096324907424535e-02 1.268097009827070520e-01 2.337673448239624072e-02 -8.602181156054837796e-01 4.032673181704481136e-02 7.275859135723194981e-02
3.040887330354853368e+00 9.029231354433807644e-01 7.594126022863923708e+01 2.237049615496884691e-02 1.296985886415674138e-01 9.540292005932471398e-02 -8.918070835386040507e-01 6.776807585885513685e-02 1.450567724083363583e-02
3.185346588798518841e+00 9.358272639437336116e-01 7.459324790079263323e+01 2.211575911616692897e-02 1.271993599013380716e-01 2.131320658646965877e-02 -8.958963096952736738e-01 3.933944973157192659e-02 2.394855971507027156e-02
2.839340663578274970e+00 9.931616946360926068e-01 7.366676595044255293e+01 2.211446305147366648e-02 1.296313943919345513e-01 8.929975717770123611e-02 -8.574952115943861308e-01 2.165346332734020829e-02 2.206026870226553138e-02
3.014749879773686025e+00 9.228270852032567362e-01 7.679464647513472642e+01 2.235781795169348649e-02 1.287333890206416864e-01 9.656978348429612335e-02 -8.663908597950078505e-01 9.527004880306280676e-02 2.886202394047416436e-02
3.194497759841149698e+00 9.520873891503365272e-01 7.230806751105924945e+01 2.227614455972798738e-02 1.277565471135595765e-01 6.593431210312843127e-02 -8.352800964722393307e-01 6.549651123322170268e-03 5.851193498337763782e-02
3.108954519800517069e+00 9.534163728651128267e-01 7.377090764559898162e+01 2.205397709334234665e-02 1.198410485146113036e-01 6.130895331093147438e-02 -8.529994805284570880e-01 4.824801376436645139e-02 2.367193396752398718e-02
3.189807338540120885e+00 9.116976054787719885e-01 7.530643918318187957e+01 2.225218924478306048e-02 1.245994929841387627e-01 4.041266545173304026e-02 -8.701865951488123585e-01 8.734998051481754344e-02 1.843625145060893977e-02
2.852519906976551223e+00 9.645872324759767746e-01 7.496927143129784099e+01 2.202266793713950760e-02 1.258676972431053420e-01 5.871323082702207402e-03 -8.684677931943718399e-01 6.073908871494140826e-02 6.206889618742648246e-02
2.859073318773690087e+00 9.332836988007410239e-01 7.451560713753944754e+01 2.225682085262743748e-02 1.236685577944674069e-01 9.222032371992618105e-02 -8.668926345096397146e-01 6.560829982151916706e-02 7.383476571580083192e-02
2.910135186235852878e+00 9.531909713297206377e-01 7.731180689853256638e+01 2.229298236046364790e-02 1.295777895155994230e-01 4.138166264611745082e-02 -9.119071875506559177e-01 9.959914053494714481e-02 4.413200901402607179e-02
2.996248289188436331e+00 9.109952663670879414e-01 7.744957337956276433e+01 2.245627933503837118e-02 1.293563453558612131e-01 6.264764593288837946e-02 -9.162774953662404798e-01 9.366584394997035101e-02 3.192171488880880814e-02
