logA n_s H0 omega_b omega_cdm m_ncdm w0_fld Omega_EDE tau_reio
3.132387108437935552e+00 9.004034207278626134e-01 7.460051269888028003e+01 2.200255330776665005e-02 1.257135737129964626e-01 5.203426121311158226e-02 -8.209584070959694557e-01 9.065727578809815168e-02 5.123055449070669509e-02
2.944547403948565734e+00 9.972195534122896277e-01 7.062198627019199648e+01 2.249980996420795562e-02 1.141793445795545453e-01 9.081454200091997053e-02 -7.810755418103076941e-01 2.161723675301287229e-02 5.670124111688862323e-02
2.962747711280393048e+00 9.982044960386794452e-01 7.294029422466863366e+01 2.238624839004953876e-02 1.163989250586615620e-01 8.064658806565934424e-02 -8.143376181658088520e-01 5.912001195880534077e-02 1.528396941756672046e-02
3.156979242697259380e+00 9.273355189485440464e-01 7.422249482108770735e+01 2.242085347739631446e-02 1.296523361578227063e-01 3.076741391349634494e-02 -8.616512094543158362e-01 5.039607588552509621e-02 1.046180771490103252e-02
3.190800741823659248e+00 9.849168734930960900e-01 7.316039985627844544e+01 2.259539367521851833e-02 1.267929366599387653e-01 9.616173622985857428e-02 -8.294475274579968804e-01 1.360180821940944022e-02 7.105451829243275563e-02
3.014752639408948554e+00 9.405993028795435196e-01 6.886846964543371996e+01 2.251143218566903012e-02 1.151591874944548205e-01 9.213411292105672459e-03 -6.951573248201490252e-01 7.382287915254615550e-03 4.252741640396844047e-02
3.153285036788139095e+00 9.929090091963281850e-01 7.472243061375749562e+01 2.238441037189961569e-02 1.295761125331167940e-01 5.444320688737373098e-02 -8.691546570919779224e-01 5.965899032425258514e-02 6.407077126983602711e-02
3.025878407561406469e+00 9.375808234779676731e-01 7.226165889732709502e+01 2.227555948400903110e-02 1.142511137783589342e-01 9.401269092828219709e-02 -7.920293528760613544e-01 6.353951717597434989e-02 1.991786862890952692e-02
3.142768244020198054e+00 9.560973647227007932e-01 7.402918262149042050e+01 2.224649793547863949e-02 1.194699301096485006e-01 4.437027157853774828e-02 -8.288368162012371698e-01 7.774440982648099518e-02 3.872559292910320028e-02
2.951242742425730814e+00 9.325176101121666061e-01 7.317094538326095687e+01 2.220587641813842605e-02 1.197633328489662863e-01 9.959213773816889825e-02 -8.025483354104305800e-01 8.166943105609138220e-02 1.802354149883609452e-02
2.850519088951783075e+00 9.103277975517114484e-01 7.476385809035951979e+01 2.240411881312162970e-02 1.299338159750192678e-01 9.725944332815442128e-02 -9.153153435825902573e-01 3.817101413207638766e-02 4.787303212381098516e-02
2.899091642137625158e+00 9.565397909778523555e-01 7.292081853696217308e+01 2.242663290427259620e-02 1.198011590292155509e-01 7.500720688180306794e-02 -8.188028465700516456e-01 2.615365197785820758e-02 7.895727744261434033e-02
2.825806056780312048e+00 9.777622951123847717e-01 7.280671615670776475e+01 2.216007789553825491e-02 1.169811815401459870e-01 8.152367895515716389e-02 -8.505952518972021981e-01 3.764825967925401751e-02 4.132259717008289479e-02
3.037951962573896658e+00 9.607710319164324275e-01 7.333646207185512367e+01 2.207722830321994650e-02 1.203052238785862621e-01 4.290574288715747614e-02 -8.122488102081677486e-01 6.097113091683547398e-02 4.347762949692238893e-02
2.963014091567721220e+00 9.334280514419662778e-01 7.350585481965325130e+01 2.256671004700664535e-02 1.233885673731795196e-01 4.696219307491694694e-02 -8.038052549143643866e-01 7.577265022298218522e-02 7.394676951482363758e-02
3.080740716751061203e+00 9.637196816790848386e-01 7.252666459085912720e+01 2.219433629794560422e-02 1.191536368133485901e-01 7.339583989980522083e-02 -7.958413195007627561e-01 5.004593424739156582e-02 6.480136060981367407e-02
3.086069296990815225e+00 9.469612066492345548e-01 7.077266682770579109e+01 2.230795105203485507e-02 1.182073174585101805e-01 5.611976498077131913e-03 -7.719549327828634233e-01 1.698568653560744712e-02 7.105530877081975283e-02
3.022285723135553326e+00 9.104285257154092204e-01 7.050225544468005978e+01 2.237478334430189481e-02 1.189928233551361403e-01 5.119748599055091998e-02 -7.546902759481568523e-01 1.981183832666829139e-02 1.752413188723406234e-02
2.910577814831138976e+00 9.294263199550163446e-01 7.330645348727063038e+01 2.226609909210284718e-02 1.268337454194759517e-01 6.849820974903481074e-02 -8.398042099400009342e-01 4.685045228725295829e-02 7.552163629060193450e-02
2.819845617204883137e+00 9.476581227814770969e-01 7.206228710400212378e+01 2.224646709742113954e-02 1.227949512266225257e-01 9.671622418625219764e-02 -8.389319530878001085e-01 6.386058984644649682e-03 6.421455774465825717e-02
3.170362210403321335e+00 9.617914422925286644e-01 7.252757336646533304e+01 2.220694872190059205e-02 1.128847480419728766e-01 5.361212820390262590e-02 -7.508156797878264843e-01 9.702122333536478127e-02 7.374482345921593018e-02
2.908418102157593665e+00 9.059592793589766879e-01 7.138819190471025422e+01 2.242047898872416914e-02 1.205574676630249420e-01 1.957434180251167027e-02 -7.500901042583121292e-01 2.566601529980643004e-02 5.872997914935339930e-02
2.910171110159911034e+00 9.737049112750597590e-01 7.585752405185178304e+01 2.241296858091005456e-02 1.241839719174233359e-01 4.574947567573570129e-02 -8.934928704979685499e-01 6.414014201711923380e-02 4.257120432882871564e-02
3.130941277165653958e+00 9.040824329348168265e-01 7.140206062107863261e+01 2.224717046286692201e-02 1.222147577899131421e-01 1.846592095760379512e-02 -7.739305336420834180e-01 2.733472969303205741e-02 5.190458223707162394e-02
3.104539428119418520e+00 9.819959611813259270e-01 7.352314022393051118e+01 2.201605641797614241e-02 1.270892473525907507e-01 9.252648671623775467e-02 -8.445670720092977035e-01 4.517922635818380495e-02 5.456604887995442077e-02
3.040379137080251315e+00 9.540476976860930991e-01 7.250272786119582236e+01 2.224082350191044707e-02 1.209401381840069095e-01 3.511372363526050339e-02 -7.960829173806418524e-01 4.924663727401429325e-02 4.923322019064808874e-02
2.846903570941618611e+00 9.316997825762077801e-01 7.268448165100458880e+01 2.240427697978505245e-02 1.292632813612773490e-01 4.415258351587439400e-02 -7.336820147542151282e-01 8.639833980924699341e-02 2.573664971479121960e-02
3.019097763340624851e+00 9.811120493902009132e-01 7.640397816647140417e+01 2.209156054811621528e-02 1.234825059442455353e-01 9.461884922471086590e-02 -9.104123134136983264e-01 9.065683576464639293e-02 3.014248821127375744e-02
2.994290781878441443e+00 9.854585191357957408e-01 7.381839713299072514e+01 2.230429415403969995e-02 1.245340111227299512e-01 2.035892116925161130e-02 -8.480816083076010425e-01 4.503140511699340459e-02 2.879193920959865344e-02
2.923688699327041896e+00 9.901184140852903326e-01 7.226124124944819016e+01 2.206719638400918629e-02 1.276446873122738246e-01 7.929141447291095102e-02 -8.049051836781051517e-01 4.190395969472152787e-02 4.906180684949848492e-02
