weight logl logA n_s H0 omega_b omega_cdm m_ncdm w0_fld Omega_EDE tau_reio
0.000000000000000000e+00 -2.538732064100297521e+03 9.273721392068035030e-01 9.016725504975164895e-02 4.802371942987920805e-01 3.977629662774206931e-02 3.382149287002615967e-01 6.009144246166725489e-01 7.428370905477443831e-02 9.653288687116081679e-01 5.112637184144113167e-01
0.000000000000000000e+00 -2.533787252837864344e+03 8.013135112880456212e-01 7.246967193434270538e-01 4.806312540223021124e-01 9.674913970626572990e-01 6.356168175515174434e-01 9.319395809572209588e-01 5.009045402742451358e-02 9.440407790743812200e-01 2.312681077615756919e-01
0.000000000000000000e+00 -2.523828847351489912e+03 3.708331857954938471e-01 4.934406626972924759e-01 2.368650586887131038e-01 8.779292927696967785e-01 1.334070867174540487e-01 1.367410670884882107e-01 3.449885358427737803e-01 9.612996538486319187e-01 8.076874159553123489e-01
0.000000000000000000e+00 -2.496899551455514484e+03 8.039726142991299174e-01 2.645591126155459882e-01 1.770422578886805542e-01 4.402902445283419786e-01 8.045777366552164800e-01 8.183624668536300106e-01 2.560752344584713569e-01 3.836336018556507632e-01 3.278701346133657824e-01
0.000000000000000000e+00 -2.482727591084789310e+03 6.601820616693518939e-01 2.620628873128106884e-01 2.204704067949502244e-01 4.311954125078488742e-01 2.603606142803605028e-01 1.679200346069104066e-01 2.613719600129296161e-01 1.067224139902694935e-01 7.134235351481933440e-01
0.000000000000000000e+00 -2.473916828892679860e+03 2.417881064459276308e-01 5.910084809122491123e-01 2.269651743924853138e-01 7.419603239663642436e-01 2.367836022274835139e-01 4.475831808700296843e-01 2.828033116738838393e-01 4.085641487514380943e-01 4.806125843180505397e-01
0.000000000000000000e+00 -2.463365766798628556e+03 5.214628230244268137e-01 7.401979548445603019e-02 2.090938129554319458e-01 6.264359980400664440e-01 6.520006552515259513e-01 5.056051143796530534e-01 3.083477134205262482e-01 7.471964677965070578e-01 4.814177332693811984e-01
0.000000000000000000e+00 -2.428344867226468523e+03 7.886908874018375704e-01 9.898232211876957232e-01 5.008950162511990323e-01 7.495132621467245349e-01 1.810104104364147481e-01 2.189634691515252030e-02 1.306742465055875657e-01 7.787295394025597339e-01 4.932939404956324658e-01
0.000000000000000000e+00 -2.427847799831587963e+03 3.379090375832264348e-01 5.435315837968552888e-01 1.220639316246427963e-01 8.491973232979671549e-01 4.329088516735981607e-01 3.653102522052509293e-01 3.730785945111193547e-01 3.399999960407178445e-01 7.652288857932793009e-01
0.000000000000000000e+00 -2.424287783299548209e+03 2.995880693329999733e-02 1.420512894494517786e-01 4.522070494242149685e-01 5.727759567054582224e-01 8.138054209631206959e-03 7.724565087842680811e-01 8.273023934011092262e-02 4.758006562982253218e-02 6.182401286719039213e-01
0.000000000000000000e+00 -2.399807206690196381e+03 3.459522268627528430e-01 6.066252205672917341e-03 4.115590088004832392e-01 2.226380519873798480e-01 9.536038886072621956e-01 9.260858991830822617e-01 2.747394271590364312e-02 3.226215510732522995e-01 1.025629741472554590e-01
0.000000000000000000e+00 -2.386507508144573421e+03 5.714018255922663769e-01 2.624035505789070744e-01 1.506233689648016627e-01 9.461586018375860441e-01 4.463660989156533754e-01 1.244363613116690193e-01 3.884413367949419715e-01 5.242320843733352387e-01 3.435681708098936582e-02
0.000000000000000000e+00 -2.380056556962935247e+03 5.441674525775841431e-01 7.711147328370197007e-01 2.589697407293423126e-01 8.523798916989163699e-01 4.644966936267763691e-01 1.263746229973419233e-01 2.850190479556018452e-01 4.702763408308500148e-01 4.623224572662606446e-01
0.000000000000000000e+00 -2.375079653068151401e+03 4.950543156395972311e-01 7.244813402408745162e-02 2.833115513417846509e-01 7.172420493347007042e-01 6.676830690271260416e-01 4.149107810992378464e-01 1.962391622113349721e-01 1.061443868127710521e-01 3.892127075665818836e-02
0.000000000000000000e+00 -2.365888440566357076e+03 2.157569521385804823e-02 8.388634775699873591e-01 5.516142288246470571e-01 9.428070962508412478e-01 7.881027696389327764e-01 1.973591883676766301e-01 5.575352980426395710e-02 9.092555664209014399e-01 2.103402891406441766e-01
0.000000000000000000e+00 -2.357229219419387846e+03 1.545107579768693062e-01 4.233827410301849170e-02 2.471374954271334801e-01 7.614530053442467583e-01 8.148427959071857796e-01 3.278224329183608843e-01 2.184133890582142801e-01 2.244162800464444274e-02 1.088963262208640925e-01
