weight logl logA n_s H0 omega_b omega_cdm m_ncdm w0_fld Omega_EDE tau_reio
0.000000000000000000e+00 -2.481226170159602589e+03 4.579674681719900775e-01 6.971191306542844357e-01 2.619851087393935130e-01 9.332955469706952778e-01 6.213047220023398820e-01 2.779577787296960700e-02 2.102510463320981238e-01 4.739689823180770478e-02 8.165992500452101677e-01
0.000000000000000000e+00 -2.460008446113606624e+03 1.680529175887569560e-01 3.268031873656739306e-01 3.889145792073940289e-01 5.089784851604929328e-01 3.756610788856997729e-01 8.716111012227001353e-02 1.786377921139484792e-01 7.011975290445896514e-01 8.237595473803266399e-01
0.000000000000000000e+00 -2.453532826257758188e+03 1.710866189843620599e-01 7.281043211295094020e-01 2.521267077944624457e-01 3.305061421776294139e-01 5.979072238372392656e-01 8.852156123960381873e-01 2.062980242033464195e-01 3.910918310904821782e-01 4.807078986146744448e-01
0.000000000000000000e+00 -2.437730346667509821e+03 3.833202867027041272e-03 7.247512259185168171e-01 9.151888618324754976e-02 8.189553467820758215e-01 8.879049303209892718e-01 4.437682796067713431e-01 4.623051021335675692e-01 9.658917369859737478e-01 2.165558587931719625e-01
0.000000000000000000e+00 -2.437038979968452622e+03 1.642017824529409253e-01 2.813104829496978487e-01 4.008277861791215146e-01 9.497644369103210860e-01 1.080925543377878606e-01 4.498299318086869114e-01 1.478161417761366669e-01 2.193887737381060576e-01 5.565842950763612018e-01
0.000000000000000000e+00 -2.406846631852807150e+03 1.090852144281705405e-01 6.219644514239232036e-01 4.583933197130219961e-01 9.563082090325347728e-02 3.925018695628149645e-01 7.067380292009973752e-01 3.164469917740198035e-02 5.632404397399648488e-02 4.672787269477930439e-01
0.000000000000000000e+00 -2.401899798100158023e+03 9.617508553908672431e-01 3.917908958294539223e-01 1.086280589374124528e-01 9.811631459017107204e-01 8.612330444817370978e-01 1.958672117359236964e-01 4.572869321100304640e-01 9.099531575171213582e-01 6.064242435159304945e-01
0.000000000000000000e+00 -2.391359092159619195e+03 1.313284917954272712e-01 5.342347353872001214e-02 3.710156487720072116e-01 7.959527644371343635e-01 3.978036005852492174e-02 6.696543022614487306e-02 2.053130424023952294e-01 2.396989115942670390e-01 7.489206394026125535e-01
0.000000000000000000e+00 -2.359107960969925443e+03 3.854427790394014952e-01 3.560436604406571615e-01 4.149468887706957432e-01 4.260121011442832284e-01 7.010328826719138817e-01 6.749382590789748670e-01 1.092407695714534555e-01 5.674631640384103504e-01 2.148577042102317591e-01
0.000000000000000000e+00 -2.356553361250829767e+03 5.615482514180192286e-01 9.962125989806029924e-01 2.415828132101214276e-01 5.345399557588608186e-01 4.409878880364945797e-01 8.800128099094652878e-01 2.403169380828297230e-01 2.208103282856759275e-01 9.536051260631218662e-01
0.000000000000000000e+00 -2.317897115563856005e+03 2.715607560810965326e-01 4.531465193851480500e-01 2.977935555833320924e-01 6.253263194458306140e-01 2.874189750130947685e-01 9.797020206632155448e-01 1.986047402589596889e-01 8.423254716526318298e-02 3.798770376435449680e-01
0.000000000000000000e+00 -2.317038498112001889e+03 2.704456723243154892e-01 9.242145586143969416e-01 6.802846027403706142e-01 9.481543976834165832e-01 2.139325037573458488e-02 2.507220188742987910e-01 1.475161714429606974e-02 4.854920797596972148e-01 7.982887286995749010e-01
0.000000000000000000e+00 -2.311758511229747455e+03 5.375814739648163698e-01 6.016189322812900420e-01 4.311274415040354802e-01 8.707478567284752113e-01 4.414189968774472339e-01 8.536036195459811848e-01 1.658856554426958452e-01 8.493493505020665024e-01 5.696944793816389740e-01
0.000000000000000000e+00 -2.235102704017660926e+03 3.916025032515300097e-01 2.645357813381783441e-01 4.295816328263178940e-01 3.154299706956900096e-01 6.345863914523074412e-01 7.338405784048018798e-02 1.837343774280874031e-01 7.516589646294019600e-01 3.285465660803347232e-01
0.000000000000000000e+00 -2.188095103262285193e+03 3.038614269618492569e-01 2.738955473154519593e-01 5.346084725172629559e-01 6.689234649261447396e-01 8.321138661060708541e-01 5.192851000339033796e-01 5.162019088283675838e-02 4.843932718529271320e-01 2.510871004925236960e-01
0.000000000000000000e+00 -2.164668347437239845e+03 6.428551458895828130e-01 5.447228474236998075e-01 3.065011650602621485e-01 6.148378407814714119e-02 9.983592344562222110e-01 1.734701701902923165e-01 2.175759745543258683e-01 2.390283577885716770e-01 1.789927110643831920e-01
0.000000000000000000e+00 -2.161419479347453489e+03 5.633701098731771495e-01 9.779331930943768736e-02 6.301781024288714006e-01 6.567362104974380221e-01 6.132416740734865090e-01 5.049186585634188873e-01 1.814199847450681524e-03 4.280218311775703111e-01 4.577176146967216752e-01
0.000000000000000000e+00 -2.152610769892816279e+03 4.719671887626095685e-01 3.494011710067690402e-02 5.051452376577505454e-01 6.361022676830094813e-01 9.532184764179503222e-01 9.727120327505662800e-01 4.716759528924308054e-02 4.471420448030977157e-01 7.323863005815087757e-01
