weight logl logA n_s H0 omega_b omega_cdm m_ncdm tau_reio
0.000000000000000000e+00 -inf 9.326356709598883077e-01 3.464753161112088531e-01 7.794032267572716943e-01 5.109679119254283419e-01 7.949521836764791294e-01 4.223512431182607774e-02 9.677962176469376843e-01
0.000000000000000000e+00 -inf 8.658618270935803940e-01 6.267283093783344583e-01 4.914576548672736633e-01 6.954822848422105297e-01 4.826041454121586805e-01 6.831847926146239480e-01 9.009296950864981168e-01
0.000000000000000000e+00 -inf 2.137757940942985879e-02 8.656525916306634372e-02 5.473452917452202859e-01 9.837889379187706451e-01 6.469123522797913806e-01 3.605239875617560763e-03 9.293504870623793268e-01
0.000000000000000000e+00 -inf 5.923104593348368363e-01 6.980304546954544387e-01 3.849970894837888569e-01 2.620009948223299689e-01 8.698588423935392777e-01 5.755063395713289065e-01 9.318215906036924068e-01
0.000000000000000000e+00 -inf 8.187980735779197827e-01 7.034770203997011695e-01 6.851835338645971829e-01 4.803880741747421634e-01 1.325933896814671664e-01 1.431620011310497098e-02 9.298803814363082454e-01
0.000000000000000000e+00 -inf 7.961937418607138994e-01 5.149594824827925521e-01 4.782742709768316169e-01 4.907059025575328803e-01 8.403051694008460970e-01 6.560637901510244507e-01 9.731303659247543258e-01
0.000000000000000000e+00 -inf 1.740072272505903683e-01 5.390825844778924791e-01 9.018455133499115872e-01 9.839003699578194873e-01 1.234128295904649564e-01 6.948608026434844875e-01 9.515519571074922967e-01
0.000000000000000000e+00 -inf 9.384952999170349530e-01 9.053929125593140892e-01 4.376820688904691226e-01 7.205658938322871965e-01 4.768417841482054387e-01 9.020074327697884531e-01 9.786427603748141246e-01
0.000000000000000000e+00 -inf 6.854540008466303291e-01 2.571194145793298524e-01 8.963068680475982930e-01 7.495582758015345570e-01 7.241096981397302512e-01 8.489522765335849597e-01 9.332287223949161659e-01
0.000000000000000000e+00 -inf 1.726586442027565615e-01 3.944709641364149144e-01 8.986486222839632498e-01 6.829119554851197371e-01 9.501309949221287132e-01 9.600134967142003317e-01 8.969898701043963474e-01
