weight logl logA n_s H0 omega_b omega_cdm m_ncdm tau_reio
8.917806170574379059e-176 -1.108885070860875203e+03 3.160439307630166450e+00 9.542399361943767477e-01 7.920320236704104389e+01 2.219809340784095059e-02 1.274437085620805932e-01 8.289032980796422201e-02 5.539626756587456846e-02
3.774557984278571640e-174 -1.105137167360638614e+03 2.995924660101116022e+00 9.717804536271903437e-01 7.930175253167286087e+01 2.240419025489398530e-02 1.265245529682020587e-01 4.461974884345763087e-02 6.966490532219010712e-02
6.698546051696307168e-174 -1.104561060150588901e+03 3.045132816987041746e+00 9.390948519603912192e-01 7.896669170541656513e+01 2.205187107424204720e-02 1.251490217425732798e-01 2.134119269947350184e-02 1.502472943667367000e-02
1.051477484858715900e-172 -1.101805084156709881e+03 3.024436625469504758e+00 9.969079384409490485e-01 7.860291065966313795e+01 2.232811515351854070e-02 1.188741569196357650e-01 9.002715025135113458e-02 7.787829699940344852e-02
5.884462720965755807e-172 -1.100080465020046631e+03 2.985637493253159302e+00 9.530510300506982446e-01 7.899681744362285940e+01 2.248888339302469383e-02 1.223100389418532719e-01 5.300458966647392245e-02 4.138884345048426255e-02
6.215367631600991669e-172 -1.100023255584716253e+03 2.863215971964017559e+00 9.220468702906247094e-01 7.900980352674704932e+01 2.204133686487803542e-02 1.280943756844071801e-01 7.760240446039244622e-02 1.771154190501265588e-02
1.301410315941936397e-171 -1.099281746832393992e+03 2.942399074363104106e+00 9.673378198750126611e-01 7.868737141364371723e+01 2.233924688321066443e-02 1.201424926023582640e-01 7.582334460221787364e-02 5.344376042147255118e-02
1.362152871292251763e-171 -1.099233628925513131e+03 3.106270112436521291e+00 9.191766264827270216e-01 7.851332248770135891e+01 2.241113476606686541e-02 1.165420124663041068e-01 5.146659686293508090e-02 4.973814962066611806e-02
3.000042440844497658e-171 -1.098441568931728398e+03 3.141238764970013975e+00 9.346021369675199253e-01 7.867295030918432985e+01 2.228965757464865249e-02 1.197639675899695999e-01 2.986918874935710205e-02 7.443161248038943079e-02
4.095190410324340030e-171 -1.098127882152772827e+03 3.149146746046208811e+00 9.482885892685322116e-01 7.835323202170199863e+01 2.245996192781928025e-02 1.139344383627013679e-01 4.148218472366893561e-02 4.855583574203613251e-02
8.754121296065942532e-170 -1.095063085679504638e+03 2.940834440568755426e+00 9.233113269241619570e-01 6.032646092990563602e+01 2.212242576663988464e-02 1.286062209540708157e-01 8.348826479845569692e-02 7.177368561477054376e-02
4.198060867964599499e-169 -1.093492902460686309e+03 3.136466446346052095e+00 9.800933891732104275e-01 6.050253213267611585e+01 2.253144531323397759e-02 1.261332849211037610e-01 8.103422160735496149e-02 1.585030967552423023e-02
5.624184849968171468e-169 -1.093197949159228529e+03 3.032451048274150018e+00 9.367791689176925285e-01 6.036856303670185042e+01 2.257862717002875191e-02 1.223097411618958713e-01 9.570121566917845490e-02 3.711506373542255294e-02
9.440260469441698016e-169 -1.092677541609377840e+03 3.104045223835823819e+00 9.469435462574498086e-01 6.046601804501214161e+01 2.234687234639804940e-02 1.273957030388538914e-01 6.525854813832646095e-02 4.445239839697519291e-02
1.351871718167031552e-167 -1.090013364905162007e+03 2.815408706816536544e+00 9.504699777540398520e-01 7.847814430226253535e+01 2.225514660923559943e-02 1.186915244080141013e-01 1.468211084496029439e-02 3.293627158860908122e-02
2.504649587839804205e-167 -1.089394206155610391e+03 3.130715050733088312e+00 9.939254579250942356e-01 7.878028750202872743e+01 2.213701539118044168e-02 1.249795353543368126e-01 4.070626699293593970e-02 1.017546603074164641e-02
3.793727677275667141e-165 -1.084371335717550892e+03 3.096831699397009974e+00 9.963967430808542414e-01 7.835256510581908174e+01 2.205676316850046365e-02 1.207525810628195667e-01 4.385374149777653691e-02 3.423699474325558878e-02
2.268350674508523697e-164 -1.082580546723982934e+03 3.026086257023169690e+00 9.818965785913223998e-01 7.789592216801966629e+01 2.207446307648101499e-02 1.151887078448329133e-01 7.899388759001574334e-02 1.759327902446893022e-02
7.731637072535334896e-164 -1.081351779094410176e+03 3.146552719441316093e+00 9.866720053731982132e-01 7.874436204720917942e+01 2.202198394925852440e-02 1.270684095805364733e-01 2.077101542719307636e-02 5.106838554038482109e-02
2.303186335689260259e-163 -1.080257721095744500e+03 2.872922060930380272e+00 9.150708992171978640e-01 7.887018159689925767e+01 2.259930802988570700e-02 1.234384571625257859e-01 6.149948690409432622e-02 1.295311735258309477e-02
2.381346656151363094e-163 -1.080221848473713408e+03 2.917527785599548729e+00 9.542761853047466714e-01 7.824443623391169922e+01 2.252426848069333937e-02 1.152574355596420047e-01 4.655278792974076180e-02 6.309721894105128903e-02
3.441901946991375293e-163 -1.079850990413127874e+03 3.083211716639966404e+00 9.031527729047046371e-01 6.027875076306274593e+01 2.252850176036857999e-02 1.144559922815101133e-01 4.499830066357748959e-02 4.297029860796545975e-02
8.782461770415605657e-163 -1.078911757871071131e+03 3.141285581665058668e+00 9.750220151217494635e-01 7.905372047717736450e+01 2.252054327223876676e-02 1.270521015655350916e-01 4.631052651828267142e-02 6.814065860298580690e-02
1.580051058410049042e-160 -1.073716802182344054e+03 3.158743502181292406e+00 9.709102625123623431e-01 7.799855458391915874e+01 2.206573652916753517e-02 1.187301807858114899e-01 9.477484764027617470e-02 3.941261463238778656e-02
6.709677428115971626e-159 -1.069965623374794177e+03 3.095517352619326257e+00 9.720556875238817174e-01 7.854356490025249116e+01 2.212915107726920114e-02 1.261731688196448264e-01 6.185116788283821082e-02 5.981479646186482757e-02
8.300122811326418844e-159 -1.069750403940077604e+03 3.172402267430424860e+00 9.540635756193350803e-01 7.777728557393027131e+01 2.213827817251300470e-02 1.153553451106338890e-01 7.779183179773523082e-02 2.037416858501456957e-02
1.437622617393007305e-158 -1.069198598369214324e+03 3.170709326607954459e+00 9.086297457730521110e-01 7.885670075596675588e+01 2.257856544673969915e-02 1.265864854433040587e-01 9.789933773353831636e-02 6.351226102980365995e-02
5.184153656478235362e-158 -1.067913482559187059e+03 3.187466564516811651e+00 9.812513192757105207e-01 6.062860184169870337e+01 2.245913242029127371e-02 1.218767609552903614e-01 3.601525746631696612e-02 1.340085252899541474e-02
5.213822300025957707e-158 -1.067905275924706075e+03 2.862893193934906044e+00 9.979199255028997628e-01 6.052108651095873881e+01 2.242849744993194103e-02 1.214824391535701542e-01 8.637671269308851152e-02 6.978570685591994893e-02
4.689917391350833648e-157 -1.065706089096809364e+03 2.992490954814722048e+00 9.857252347085370126e-01 6.048277828792944888e+01 2.220455931175804171e-02 1.238315121760055759e-01 9.667059219550590277e-02 4.533502151271942560e-02
8.166759885459426355e-157 -1.065148931821964425e+03 3.149764656107826966e+00 9.337182914144568358e-01 7.775232703647500898e+01 2.235403413271430662e-02 1.135275984115754339e-01 6.527375243830872698e-02 4.487662082831495730e-02
1.528992383828742584e-156 -1.064519310026544872e+03 3.032388245800940574e+00 9.740902529360204731e-01 6.028166401829304277e+01 2.204923648589229151e-02 1.206224221872480434e-01 9.053588766829442913e-02 7.721600518211177433e-02
2.114917361110721716e-156 -1.064192403233359983e+03 2.829543024517267469e+00 9.274559183010467889e-01 6.061766832170255981e+01 2.243812082753720086e-02 1.197127196362220286e-01 1.035900471537776202e-02 1.595745054699890253e-02
1.657504191037509515e-155 -1.062131020907735774e+03 2.807938690997948683e+00 9.358225398986931287e-01 6.082640741766967096e+01 2.243108375278930755e-02 1.259478691904191705e-01 3.711701376091619542e-02 2.180324383582656067e-02
1.671743337612863354e-155 -1.062119966882672998e+03 3.117966249449829252e+00 9.186258171983614496e-01 7.827970536378167310e+01 2.203348730438535116e-02 1.239071453668818962e-01 1.338869752160373218e-02 1.406819173030549215e-02
2.133424534739715561e-155 -1.061873605427897019e+03 2.942988307363150646e+00 9.885160427538197681e-01 7.773071894555562267e+01 2.203833854920395421e-02 1.174608380541713182e-01 8.521542482784742745e-02 5.132178509590216986e-02
3.930942619577805568e-155 -1.061259954629908862e+03 3.121722502962951395e+00 9.122828751248133194e-01 7.839230394715839623e+01 2.216652566277009170e-02 1.259117309271090002e-01 8.926754103758423320e-02 4.417727560069089482e-02
5.554871459621796539e-155 -1.060911658596098050e+03 2.859262472254729737e+00 9.346766342397152538e-01 6.064739712667154947e+01 2.210550066460954463e-02 1.258814269721566514e-01 2.531152133625612713e-02 7.906289803138995265e-02
