logA n_s H0 omega_b omega_cdm m_ncdm tau_reio
3.119231328357532806e+00 9.977099611622644026e-01 6.890864356725241180e+01 2.223945954703070854e-02 1.258002354337316442e-01 8.569152709733691975e-02 3.573980491702970913e-02
3.108330774935411878e+00 9.810704178898506100e-01 6.905436396273366029e+01 2.225775463824720968e-02 1.274525943309766096e-01 1.556004896224120852e-02 3.363735162694366648e-02
2.958409691213154780e+00 9.917859540232607518e-01 6.843784861340741088e+01 2.205541806356774853e-02 1.194646244338264662e-01 8.292772490847022393e-02 5.572314611338029244e-02
3.156466780598358390e+00 9.632063563784827309e-01 6.863460315724900340e+01 2.215152748213985306e-02 1.230763407373233892e-01 8.835384775144417002e-02 1.797628274868234149e-02
3.053138646414715662e+00 9.262307843117338901e-01 6.818542305504075784e+01 2.244017714996116020e-02 1.101782223940239308e-01 8.950618502242350949e-02 4.881806345825358967e-02
2.894988058738826808e+00 9.263092855330375963e-01 6.861187324463332970e+01 2.247478026325956668e-02 1.182284777271197102e-01 7.618373608088564730e-02 3.439173484947026516e-02
2.840569340053691771e+00 9.253021568704490329e-01 6.860693069018687140e+01 2.239214333895133205e-02 1.204919624626078212e-01 7.965661594938207302e-02 6.599541130713122705e-02
2.942593065686009091e+00 9.634582045696035157e-01 6.917490262490908037e+01 2.242533959922134862e-02 1.267865291210615863e-01 2.864268910183501854e-02 5.177451146029083545e-02
3.146946880661079415e+00 9.180005391482471966e-01 6.887164499732701017e+01 2.227339839775117555e-02 1.172802423855388021e-01 5.719156541122231291e-02 7.901237365776231369e-02
3.159175332045565110e+00 9.764288355482805271e-01 6.925696327650008755e+01 2.253950592535787847e-02 1.194615115775476133e-01 7.106054971567545009e-02 7.073197349114460075e-02
2.965138339968989900e+00 9.870689805572749886e-01 6.890205451178387364e+01 2.230855635292004757e-02 1.213431123186607952e-01 9.330122837527975166e-02 2.937557657059369776e-02
2.802613022439908619e+00 9.140882050343308585e-01 6.984227984440694570e+01 2.228576693210889206e-02 1.295867378904058675e-01 3.308291516149807626e-02 3.167189355911419202e-02
2.803986938611406465e+00 9.747697922915953272e-01 6.918687139553763643e+01 2.254448125073462567e-02 1.255533525965857045e-01 5.335852445878176697e-02 1.569012981008975974e-02
3.155286632384174172e+00 9.332827505919891742e-01 6.873782886038941342e+01 2.213610453476430942e-02 1.162806079301895584e-01 2.403733697463770330e-02 7.242679464290741054e-02
2.808384707110992196e+00 9.129684336331344019e-01 6.879886854876345126e+01 2.230922479996830937e-02 1.250135802597686918e-01 8.074036871125252202e-02 6.410586155366757022e-02
2.908051994506881233e+00 9.643866127721033576e-01 6.922558994092052842e+01 2.235391679003661744e-02 1.190851053554919381e-01 1.863346569024775315e-02 3.498056152908089050e-02
3.066113097116809794e+00 9.390517142349675828e-01 6.802666615666819894e+01 2.249371210184289080e-02 1.164552988986176929e-01 6.625417174528369819e-03 4.631289528866662508e-02
2.917716383834044080e+00 9.553414719895387819e-01 6.955635204941808070e+01 2.245617256271635609e-02 1.279593570206971065e-01 4.489798815955528544e-02 4.880493092010841638e-02
3.194547235161007137e+00 9.637427212741935811e-01 6.783332403919186504e+01 2.223986480381515835e-02 1.171059590614669382e-01 3.036762599356828199e-02 2.933768321021490433e-02
2.925942496808740856e+00 9.384193268219241935e-01 6.893168615814792588e+01 2.223102979675906435e-02 1.200951509182799082e-01 3.744034602832729819e-02 3.447525187892409859e-02
2.974922262821872554e+00 9.912737435354185278e-01 6.911024815760890760e+01 2.245226368851381549e-02 1.211337479588262822e-01 6.455502751513063353e-02 1.399082602233686634e-02
2.857356782551990104e+00 9.224058694278803872e-01 6.860835534577924477e+01 2.211041256380541498e-02 1.204346980216413482e-01 5.705782949047121660e-02 6.205863266918926896e-02
2.892476416492038904e+00 9.844178440405183528e-01 6.916840518466742083e+01 2.258111772116837279e-02 1.245574889186780443e-01 4.222862137898553136e-02 4.857158475623127997e-02
2.891697748798859990e+00 9.997053673672720020e-01 6.844519112869733135e+01 2.250261675955403731e-02 1.192368711365437706e-01 6.844466942049039215e-02 3.040371791895474241e-02
3.104488944397225225e+00 9.102426039931595936e-01 6.982629273787019031e+01 2.253370343432632705e-02 1.245145409767062228e-01 5.743299895247164222e-02 6.052030685289660344e-02
3.039262323633226348e+00 9.426816047607355920e-01 6.850807140602678658e+01 2.222196570452023012e-02 1.201452206424894198e-01 6.648025439718646679e-02 2.646431828112273676e-02
2.822232897119762107e+00 9.260315683403440579e-01 6.888395362859947113e+01 2.219116467564538966e-02 1.208007704296647222e-01 9.997358108484230566e-02 1.014853721332606255e-02
3.039364501961400844e+00 9.346855785531060778e-01 6.879514863227599619e+01 2.231801697393498082e-02 1.227155046643428477e-01 7.654019464139610873e-02 3.305402566253408392e-02
2.895766773625555235e+00 9.592992567873193099e-01 6.829598431722807561e+01 2.211187656702452362e-02 1.204651238811774716e-01 9.206358079743404144e-02 2.250533519298289487e-02
2.808441454231008994e+00 9.628716839816504613e-01 6.936915175960947977e+01 2.232799044578234401e-02 1.239923523897477481e-01 4.129599345669923705e-02 3.910589199752457362e-02
3.168692980700573703e+00 9.062381901128661044e-01 6.882919881464640355e+01 2.244603013434411792e-02 1.216243177201814657e-01 9.866921223627762860e-03 6.078703666689097562e-02
3.141791451150264258e+00 9.457219611467762022e-01 6.847183132783352733e+01 2.223602091750167403e-02 1.153330952375514196e-01 4.437421364168916971e-02 4.410546382130869220e-02
3.010162415088383892e+00 9.062374757958029381e-01 6.824338254573706308e+01 2.207157314814401500e-02 1.163161977382643070e-01 5.371195951901041460e-02 1.008897587354656497e-02
3.024038276403812731e+00 9.319599037026906618e-01 6.932377465375651582e+01 2.256582745498302012e-02 1.231094689529184660e-01 7.869185800613598750e-03 3.158830519202573267e-02
3.190102614614429122e+00 9.117020111945536298e-01 6.891812645118301361e+01 2.252291566964771327e-02 1.205685376756801541e-01 8.447300732506947407e-02 7.162590057489681694e-02
2.976417509606695155e+00 9.465812038359839864e-01 6.899253141794544320e+01 2.217543669991901487e-02 1.195291181921426527e-01 1.732222484905004967e-02 5.709694113742546512e-02
2.934006362844168603e+00 9.486770318713965144e-01 6.801300119575991232e+01 2.212459730278689210e-02 1.206356590796755085e-01 9.415813892781728367e-02 6.614163742934263401e-02
2.922781040620957782e+00 9.876588226123932390e-01 6.884310769713776779e+01 2.239011995849956790e-02 1.230734868599194370e-01 7.513839309480484230e-02 3.126402237146611029e-02
2.902359435114734154e+00 9.362883654308322701e-01 6.904024705293754494e+01 2.220368905721170280e-02 1.176022996029349732e-01 5.840049611179726208e-02 6.595919833494238993e-02
2.982456614377535953e+00 9.913765286526103893e-01 6.842548799792075442e+01 2.219197944484222959e-02 1.255581258281228685e-01 8.856957484048981477e-02 2.616382440181848346e-02
3.070741492280241847e+00 9.695566656863974231e-01 6.834390122958616587e+01 2.225765838764945034e-02 1.184559144518088081e-01 3.258773036894425934e-02 5.867294817157159975e-02
2.950344585802032071e+00 9.775056884284021308e-01 6.878691032254019433e+01 2.248653508524286679e-02 1.176257644902214405e-01 4.113596563386860000e-02 5.916366033217412834e-02
3.166553680602457010e+00 9.395677709276364364e-01 6.842181575335192178e+01 2.222713618079576181e-02 1.217135927933000461e-01 8.042758482553946653e-02 7.281429466516874116e-02
2.829674037216867166e+00 9.722301859418063241e-01 6.893355468523522234e+01 2.247931928232048404e-02 1.195516180676909068e-01 6.422795027161105202e-03 5.289680320247104606e-02
3.127307454459188563e+00 9.820074517318332363e-01 6.849557468372809410e+01 2.216825058534963033e-02 1.184208177800730455e-01 7.577704301331136816e-02 1.528655398076277788e-02
2.914463847991470402e+00 9.411788767326287886e-01 6.812410216031058496e+01 2.223220302930564024e-02 1.226664956959685193e-01 1.071724235406066456e-02 7.581718975289623852e-02
2.939196026525506156e+00 9.268643964205045549e-01 6.804330706560604369e+01 2.209006487278110734e-02 1.159118209927766097e-01 6.945120174638375748e-03 1.271249058015455104e-02
3.018802798006612775e+00 9.402718582545079862e-01 6.871971590601265234e+01 2.247484988925594826e-02 1.209543136951250347e-01 7.104420194352942253e-02 7.995847397154350056e-02
2.943822456311733671e+00 9.192445616585460666e-01 6.867876539704542438e+01 2.246184990147659030e-02 1.209179475061686326e-01 8.712693953377340095e-02 7.376231172726875618e-02
3.009552056103840023e+00 9.169588511799281472e-01 6.908086177800593930e+01 2.236080213469132313e-02 1.282542032005173915e-01 1.173849208569855557e-02 5.610347666830046293e-02
2.928454057370290631e+00 9.556728281158898275e-01 6.837848029159123087e+01 2.217389173166138885e-02 1.176785020011751060e-01 7.319071507735960824e-02 1.206656455932168109e-02
3.075850880142458443e+00 9.316537609722017610e-01 6.821793516455727513e+01 2.201426338219356418e-02 1.147589911500096760e-01 8.002883120804134276e-02 4.359082999282737347e-02
2.848615170081615577e+00 9.030065159926367047e-01 6.968955565218642789e+01 2.231855069328496713e-02 1.268944124913766736e-01 6.057380793319408485e-02 4.209924182122556924e-02
2.823808420992685697e+00 9.103518711036802102e-01 6.810992257173060693e+01 2.206946240309571802e-02 1.160435762633802992e-01 7.359351806395605933e-02 1.546979105701576374e-02
