weight logl logA n_s H0 omega_b omega_cdm m_ncdm tau_reio
1.580051058410049042e-160 -1.073716802182344054e+03 8.968587554532309047e-01 7.091026251236232092e-01 8.999277291959580927e-01 1.095608819458968597e-01 4.365090392905743855e-01 9.477484764027617192e-01 4.201802090341112406e-01
6.709677428115971626e-159 -1.069965623374794177e+03 7.387933815483154198e-01 7.205568752388173959e-01 9.271782450126244690e-01 2.152517954486734553e-01 8.086584409822412667e-01 6.185116788283820943e-01 7.116399494552116956e-01
8.300122811326418844e-159 -1.069750403940077604e+03 9.310056685760615958e-01 5.406357561933503586e-01 8.888642786965131881e-01 2.304636208550090437e-01 2.677672555316944480e-01 7.779183179773522250e-01 1.482024083573509898e-01
1.437622617393007305e-158 -1.069198598369214324e+03 9.267733165198862588e-01 8.629745773052044377e-02 9.428350377983375497e-01 9.642757445661672699e-01 8.293242721652032134e-01 9.789933773353830526e-01 7.644608718543378645e-01
5.184153656478235362e-158 -1.067913482559187059e+03 9.686664112920284619e-01 8.125131927571053181e-01 3.143009208493530160e-02 7.652207004854584271e-01 5.938380477645180955e-01 3.601525746631696334e-01 4.858360755707735734e-02
5.213822300025957707e-158 -1.067905275924706075e+03 1.572329848372655547e-01 9.791992550289976283e-01 2.605432554793696287e-02 7.141624165532378665e-01 5.741219576785072665e-01 8.637671269308850874e-01 8.540815265131420642e-01
4.689917391350833648e-157 -1.065706089096809364e+03 4.812273870368055650e-01 8.572523470853705696e-01 2.413891439647253279e-02 3.409321862634063782e-01 6.915756088002787960e-01 9.667059219550589999e-01 5.047860216102774134e-01
8.166759885459426355e-157 -1.065148931821964425e+03 8.744116402695670809e-01 3.371829141445676914e-01 8.876163518237508709e-01 5.900568878571817999e-01 1.763799205787713875e-01 6.527375243830871865e-01 4.982374404044993543e-01
1.528992383828742584e-156 -1.064519310026544872e+03 5.809706145023512125e-01 7.409025293602048423e-01 1.408320091465198320e-02 8.206080982048924444e-02 5.311211093624021995e-01 9.053588766829442358e-01 9.602286454587395381e-01
2.114917361110721716e-156 -1.064192403233359983e+03 7.385756129316889407e-02 2.745591830104673337e-01 3.088341608512790160e-02 7.302013792286685678e-01 4.856359818111012361e-01 1.035900471537776202e-01 8.510643638569859171e-02
1.657504191037509515e-155 -1.062131020907735774e+03 1.984672749487181864e-02 3.582253989869310651e-01 4.132037088348339271e-02 7.184729213155128802e-01 7.973934595209577481e-01 3.711701376091619542e-01 1.686177690832365572e-01
1.671743337612863354e-155 -1.062119966882672998e+03 7.949156236245731311e-01 1.862581719836143845e-01 9.139852681890837660e-01 5.581217397558579929e-02 6.953572683440945035e-01 1.338869752160373183e-01 5.811702471864987896e-02
