14:48:36 [ultranest] [DEBUG] ReactiveNestedSampler: dims=7+0, resume=False, log_dir=lcdm_output/lcdm_real_run/run1, backend=hdf5, vectorized=False, nbootstraps=30, ndraw=128..65536
14:48:36 [ultranest] [INFO] Sampling 400 live points from prior ...
14:48:48 [ultranest] [DEBUG] run_iter dlogz=0.5, dKL=0.5, frac_remain=0.01, Lepsilon=0.0010, min_ess=400
14:48:48 [ultranest] [DEBUG] max_iters=-1, max_ncalls=1000000, max_num_improvement_loops=-1, min_num_live_points=400, cluster_num_live_points=40
14:48:48 [ultranest] [DEBUG] minimal_widths_sequence: [(-inf, 400.0), (inf, 400.0)]
14:48:58 [ultranest] [DEBUG] iteration=231, ncalls=701, regioncalls=12040, ndraw=40, logz=-173.09, remainder_fraction=100.0000%, Lmin=-165.01, Lmax=-5.18
14:48:58 [ultranest] [DEBUG] iteration=234, ncalls=707, regioncalls=12280, ndraw=40, logz=-168.56, remainder_fraction=100.0000%, Lmin=-161.93, Lmax=-5.18
14:48:58 [ultranest] [DEBUG] iteration=238, ncalls=711, regioncalls=12440, ndraw=40, logz=-166.75, remainder_fraction=100.0000%, Lmin=-160.95, Lmax=-5.18
14:48:58 [ultranest] [DEBUG] iteration=240, ncalls=714, regioncalls=12560, ndraw=40, logz=-165.95, remainder_fraction=100.0000%, Lmin=-160.27, Lmax=-5.18
14:48:58 [ultranest] [DEBUG] iteration=243, ncalls=721, regioncalls=12840, ndraw=40, logz=-165.13, remainder_fraction=100.0000%, Lmin=-160.03, Lmax=-5.18
14:48:58 [ultranest] [DEBUG] iteration=246, ncalls=726, regioncalls=13040, ndraw=40, logz=-164.28, remainder_fraction=100.0000%, Lmin=-157.93, Lmax=-5.18
14:48:58 [ultranest] [DEBUG] iteration=250, ncalls=730, regioncalls=13200, ndraw=40, logz=-162.27, remainder_fraction=100.0000%, Lmin=-156.55, Lmax=-5.18
14:48:59 [ultranest] [DEBUG] iteration=252, ncalls=734, regioncalls=13360, ndraw=40, logz=-161.65, remainder_fraction=100.0000%, Lmin=-156.25, Lmax=-5.18
14:48:59 [ultranest] [DEBUG] iteration=254, ncalls=740, regioncalls=13600, ndraw=40, logz=-160.97, remainder_fraction=100.0000%, Lmin=-154.71, Lmax=-5.18
14:48:59 [ultranest] [DEBUG] iteration=256, ncalls=745, regioncalls=13800, ndraw=40, logz=-159.74, remainder_fraction=100.0000%, Lmin=-153.36, Lmax=-5.18
14:48:59 [ultranest] [DEBUG] iteration=260, ncalls=749, regioncalls=13960, ndraw=40, logz=-156.43, remainder_fraction=100.0000%, Lmin=-149.58, Lmax=-5.18
14:48:59 [ultranest] [DEBUG] iteration=262, ncalls=753, regioncalls=14120, ndraw=40, logz=-154.86, remainder_fraction=100.0000%, Lmin=-148.49, Lmax=-5.18
14:48:59 [ultranest] [DEBUG] iteration=265, ncalls=757, regioncalls=14280, ndraw=40, logz=-152.70, remainder_fraction=100.0000%, Lmin=-145.79, Lmax=-5.18
14:48:59 [ultranest] [DEBUG] iteration=268, ncalls=761, regioncalls=14440, ndraw=40, logz=-150.10, remainder_fraction=100.0000%, Lmin=-143.62, Lmax=-5.18
14:48:59 [ultranest] [DEBUG] iteration=271, ncalls=764, regioncalls=14560, ndraw=40, logz=-148.35, remainder_fraction=100.0000%, Lmin=-141.39, Lmax=-5.18
14:49:00 [ultranest] [DEBUG] iteration=272, ncalls=767, regioncalls=14680, ndraw=40, logz=-147.50, remainder_fraction=100.0000%, Lmin=-141.28, Lmax=-5.18
14:49:00 [ultranest] [DEBUG] iteration=275, ncalls=770, regioncalls=14800, ndraw=40, logz=-146.04, remainder_fraction=100.0000%, Lmin=-137.95, Lmax=-5.18
14:49:00 [ultranest] [DEBUG] iteration=278, ncalls=775, regioncalls=15000, ndraw=40, logz=-142.56, remainder_fraction=100.0000%, Lmin=-136.26, Lmax=-5.18
14:49:00 [ultranest] [DEBUG] iteration=280, ncalls=779, regioncalls=15160, ndraw=40, logz=-141.68, remainder_fraction=100.0000%, Lmin=-135.52, Lmax=-5.18
14:49:00 [ultranest] [DEBUG] iteration=283, ncalls=783, regioncalls=15320, ndraw=40, logz=-140.05, remainder_fraction=100.0000%, Lmin=-133.38, Lmax=-5.18
14:49:00 [ultranest] [DEBUG] iteration=284, ncalls=790, regioncalls=15600, ndraw=40, logz=-139.37, remainder_fraction=100.0000%, Lmin=-132.74, Lmax=-5.18
14:49:00 [ultranest] [DEBUG] iteration=286, ncalls=794, regioncalls=15760, ndraw=40, logz=-136.93, remainder_fraction=100.0000%, Lmin=-129.80, Lmax=-5.18
14:49:01 [ultranest] [DEBUG] iteration=288, ncalls=801, regioncalls=16040, ndraw=40, logz=-135.29, remainder_fraction=100.0000%, Lmin=-129.15, Lmax=-5.18
14:49:01 [ultranest] [DEBUG] iteration=291, ncalls=805, regioncalls=16200, ndraw=40, logz=-134.10, remainder_fraction=100.0000%, Lmin=-128.06, Lmax=-5.18
14:49:01 [ultranest] [DEBUG] iteration=294, ncalls=809, regioncalls=16360, ndraw=40, logz=-132.46, remainder_fraction=100.0000%, Lmin=-125.50, Lmax=-5.18
