logA n_s H0 omega_b omega_cdm m_ncdm tau_reio
2.833055316860299211e+00 9.524326475403301906e-01 6.854733238386663174e+01 2.214616411848816316e-02 1.131173547628356868e-01 3.436277373906718863e-02 2.287514095171568757e-02
2.995102712070467188e+00 9.353122086199692209e-01 6.901700764317358505e+01 2.236416952697172292e-02 1.244966326310461419e-01 7.304121804400659501e-02 6.827210186993344643e-02
3.018056525617888397e+00 9.708232302855002160e-01 6.821888842305304479e+01 2.202095817756981322e-02 1.123153358554831172e-01 3.722911524120076088e-02 2.746510801251827311e-02
2.857607093082720429e+00 9.005483524366691972e-01 6.844007938615061448e+01 2.246060003348315445e-02 1.119534983605201400e-01 4.341428324973095783e-03 2.904994891510871702e-02
3.149997405148500462e+00 9.841565504043594537e-01 6.911114662406708931e+01 2.220344902067290793e-02 1.194760008620944641e-01 2.193631165625835669e-02 3.756476340431925964e-02
2.947581143961574668e+00 9.545305188120347673e-01 6.913079674756863824e+01 2.242359978473507445e-02 1.216677982091697308e-01 5.898862308191585996e-02 7.474996834229082066e-02
3.177313891084617925e+00 9.253182554023117179e-01 6.910383244039950057e+01 2.255815202226243293e-02 1.154015849635094820e-01 6.151239737127170426e-02 7.100417912452995639e-02
2.861120825103947052e+00 9.285563233719492660e-01 6.853973242344267192e+01 2.232927328677540915e-02 1.134374538087577766e-01 6.852897319588975578e-02 3.199771540279227472e-02
2.874922770359542579e+00 9.672968178332100875e-01 6.807272663613656505e+01 2.202340316769097264e-02 1.145076712615610004e-01 3.864023763923465915e-02 3.380425107677630797e-02
3.187538174110345679e+00 9.820696292217496737e-01 6.852029520563409903e+01 2.253037342674165874e-02 1.171554801456212574e-01 3.940291735278948076e-02 7.869392309109084216e-02
2.895724073336566562e+00 9.206182988895393882e-01 6.871202271243690518e+01 2.241351046967551136e-02 1.156186305976088374e-01 7.799035642634206955e-02 4.995643393421157069e-02
3.074706363673681775e+00 9.532085092028017570e-01 6.867040796503719946e+01 2.208758962226386666e-02 1.247077463841857747e-01 6.195438643344983870e-02 3.598397132329238940e-02
3.116841735445097239e+00 9.654799638107607329e-01 6.891331096279586177e+01 2.230191816651121844e-02 1.120554686157607810e-01 3.303656211318509867e-02 7.816526979436042022e-02
2.957601613034936072e+00 9.454164202933676986e-01 6.868112704703135307e+01 2.233666639698607057e-02 1.126281411990779635e-01 9.832602070452491072e-02 5.805291278148873302e-02
2.834271158623391074e+00 9.561711043367159268e-01 6.936644085819358452e+01 2.223132768770981829e-02 1.240233150955195318e-01 5.402540491640807352e-02 2.025990505349992143e-02
3.107995056856364791e+00 9.754469431798273860e-01 6.915787322563710404e+01 2.235188137435180702e-02 1.228162772774495232e-01 3.300273311973522111e-02 3.099531293142598898e-02
3.051375526916582981e+00 9.454272975686021097e-01 6.819147862299023188e+01 2.219102845842816502e-02 1.200315117533322928e-01 8.813792639846207422e-02 4.515658773043045027e-02
2.830125669765614305e+00 9.062460467233088846e-01 6.834504399148006826e+01 2.202695105686339888e-02 1.159954212358086240e-01 9.208787357666597950e-02 3.202746842666898824e-02
3.029049218789204634e+00 9.053534535104511560e-01 6.893441427053159032e+01 2.242408207114748170e-02 1.149106368996107158e-01 1.749191851031105596e-02 2.563082048604091445e-02
3.122712782463562764e+00 9.325812152863881543e-01 6.850890120361238189e+01 2.248369550333153763e-02 1.212263488883216084e-01 3.981159379398435672e-02 1.222365684392886717e-02
2.935556676478961347e+00 9.214457727400229281e-01 6.934564813867329747e+01 2.244465768466025538e-02 1.172675950273915357e-01 1.220736743100298005e-02 6.255326462720929570e-02
3.097093683246935569e+00 9.030231965262364158e-01 6.885510225601387901e+01 2.223683821101917271e-02 1.204397946572850348e-01 4.080306457815483651e-02 5.580055394115351203e-02
2.829996364872705339e+00 9.834656224802528213e-01 6.847135372884363846e+01 2.218179937546720451e-02 1.126004992529972271e-01 6.713836700717631945e-02 4.657389915473446329e-02
2.856623076855885124e+00 9.123743994160739001e-01 6.902211102739684634e+01 2.248487278848507187e-02 1.136779079869142534e-01 3.845306715055092639e-02 7.620825835494435263e-02
2.808592991409391004e+00 9.176313041396748638e-01 6.842266977467980382e+01 2.222921952442815860e-02 1.177550349127631790e-01 8.883650018069452758e-02 4.466333594656021755e-02
2.851927654567908643e+00 9.686792823470411484e-01 6.814796681416814295e+01 2.235936924958748656e-02 1.159940093601203315e-01 2.245676353522259305e-02 4.750820136571779623e-02
3.109728828954261726e+00 9.730091601863557482e-01 6.830706508228932705e+01 2.238781983461647640e-02 1.161916495181057885e-01 2.592282664645450055e-02 2.205738541360673100e-02
3.193948828119763217e+00 9.774328492023336423e-01 6.877335181417380738e+01 2.209432375845209184e-02 1.216637430207563875e-01 7.329253562614101991e-03 7.129241355667428892e-02
3.125576722375855709e+00 9.660646754746383680e-01 6.880194521573794475e+01 2.208543801353870378e-02 1.208769805709217632e-01 5.155493604672357899e-02 2.133891128762191447e-02
2.831463283300156508e+00 9.669508849504174774e-01 6.904939131972221844e+01 2.245609744668806279e-02 1.260182583380944077e-01 3.962914592817780302e-02 1.879035111152595888e-02
2.959297894143459562e+00 9.944196411946958358e-01 6.882255799655662543e+01 2.250742097101370714e-02 1.166641999822310288e-01 9.412439245586352865e-02 1.131051032326218370e-02
2.847720805814747180e+00 9.755642149151209086e-01 6.941546943975545503e+01 2.240005193090185975e-02 1.235180303461749091e-01 3.538312541621210783e-02 5.001088575739708747e-02
3.169967181916222287e+00 9.844454107351822136e-01 6.802644599543543791e+01 2.214327991926004838e-02 1.120909778815056268e-01 9.749160249116242682e-02 3.291740251082277829e-02
3.195875549270195570e+00 9.405107131918992724e-01 6.945921965638379447e+01 2.259796845532617560e-02 1.160931723751904288e-01 1.642715603839627406e-02 2.065710184558210150e-02
2.866260382248370764e+00 9.364875961261077686e-01 6.883939288070767759e+01 2.210820512511415745e-02 1.243980599325318487e-01 2.258203116858274045e-02 5.831043489170763955e-02
2.872645172025504845e+00 9.681234126746790514e-01 6.822564323367288353e+01 2.204653120644103903e-02 1.159379054918446839e-01 3.389520314979738852e-02 1.139715264409167997e-02
3.015379269533751572e+00 9.334140536114327036e-01 6.858809480554180027e+01 2.243327964196485322e-02 1.211859672860087361e-01 8.193088381431633260e-02 4.903622714924844167e-02
2.932511802017839120e+00 9.028499960457242457e-01 6.845360857990971226e+01 2.200981472343251436e-02 1.109911453548071969e-01 3.644229599034130157e-02 1.198861194364274005e-02
3.008258445455294083e+00 9.133469374740853519e-01 6.831801417131421772e+01 2.237032419311818163e-02 1.132259668379025502e-01 8.906109989899374524e-02 5.422802130694275025e-02
2.841304323730749815e+00 9.521372927102554895e-01 6.824354032489509336e+01 2.228112575017085831e-02 1.180349264349458416e-01 9.987060628076499524e-02 4.984970481641200907e-02
3.100467364052735597e+00 9.719101913764470746e-01 6.859384165130890665e+01 2.251780433073988577e-02 1.141211603685829967e-01 7.609046997098603549e-02 6.667079347138699097e-02
2.958025912137943525e+00 9.933773351587802392e-01 6.901960648696851308e+01 2.254759688741275053e-02 1.150727941627842504e-01 1.164502469613210066e-03 7.875134066544810241e-02
3.185612595273755954e+00 9.761973688069642829e-01 6.816089164107189902e+01 2.207832948139158355e-02 1.116678692464763006e-01 8.521752093936968420e-02 7.585067517086319100e-02
3.067580373498465018e+00 9.889516175836934320e-01 6.921987249460002545e+01 2.208504319127200730e-02 1.155748718094986027e-01 8.753962378375845788e-02 3.906732286232310336e-02
2.971204660117166441e+00 9.539292097197779041e-01 6.852568009629329993e+01 2.211425049961494166e-02 1.286641060516327262e-01 3.894757426412268769e-02 4.071686569274069606e-02
3.123843898019223353e+00 9.776393466883206429e-01 6.842782853763006301e+01 2.211659150701331816e-02 1.183109540237846369e-01 5.177248179543099404e-02 1.206078948340355908e-02
3.055797728282279024e+00 9.262444771818345579e-01 6.852617039604278659e+01 2.218437236150245032e-02 1.145684328204294999e-01 5.844286107076045872e-02 7.358752496660145304e-02
2.886829133588595830e+00 9.041204979106811646e-01 6.857596957210445510e+01 2.239400086089094605e-02 1.192637670210191653e-01 3.401759127163136304e-02 4.666630877864349353e-02
3.106846915500316886e+00 9.064840802167315470e-01 6.855459909470721414e+01 2.208361148022902620e-02 1.182617425901416330e-01 8.679591214397384957e-02 3.867508680450571640e-02
2.864380630449584686e+00 9.164507132740896678e-01 6.829028966032402082e+01 2.250713438173177275e-02 1.144043981490639322e-01 5.732878766061680342e-02 6.064193181613605765e-02
2.880163121294144535e+00 9.968665178975875119e-01 6.901027410770736026e+01 2.259735977561105891e-02 1.204455956109630743e-01 6.433487579723994043e-02 4.910201755233212922e-02
2.865832075884272800e+00 9.762054914260250849e-01 6.814006808056275588e+01 2.212474786101751439e-02 1.212285379582298400e-01 2.781568670576126806e-02 3.968010715276076850e-02
3.078713135438150506e+00 9.859880329500299023e-01 6.865037547129972495e+01 2.211624495606126853e-02 1.217322845015315763e-01 3.889030519697289634e-02 4.977816245273077728e-02
3.145091552169916316e+00 9.558783817409807204e-01 6.925157740565326492e+01 2.229357797250888784e-02 1.203729733271774599e-01 5.780684866468994119e-03 2.549084572317907721e-02
2.936920968730391657e+00 9.353052315754831758e-01 6.866149582566463039e+01 2.217478107219628125e-02 1.190966379568552669e-01 6.966073206679272711e-02 4.642995562451049385e-02
3.056479285837706339e+00 9.123188237910151432e-01 6.833646281099230180e+01 2.209227021409434707e-02 1.158589291012117051e-01 6.255186720572898651e-02 2.755770315983067931e-02
3.075626044737314935e+00 9.338010079133236552e-01 6.781828261882827746e+01 2.251052391078615239e-02 1.166861500101899901e-01 7.031477426432317102e-02 4.096591724040839211e-02
3.164012715136728104e+00 9.666405009530006920e-01 6.831910675899220564e+01 2.246616154287930239e-02 1.148150201492692674e-01 7.252295797557653523e-02 4.893930154133785404e-02
2.961289282873252660e+00 9.216527680955292068e-01 6.899325412490462384e+01 2.225931103463786240e-02 1.196417671764082036e-01 1.329965620424980455e-02 2.698495756042020022e-02
3.173682900959682751e+00 9.562996116140630720e-01 6.861499697929777142e+01 2.212251777383262771e-02 1.210043854904854638e-01 9.028182865709936944e-02 4.455333448965618365e-02
3.186493743331641593e+00 9.473085990033565107e-01 6.889315288462563558e+01 2.245434034165507894e-02 1.226210153550097437e-01 1.180170621156872990e-02 6.808615825524094722e-02
3.065674568023339930e+00 9.442967269380393436e-01 6.842434443341490180e+01 2.218110854827629735e-02 1.168929801409484270e-01 7.865286815575998902e-02 5.778051632768112927e-02
2.977288014526065396e+00 9.830333660511604288e-01 6.825521672864908851e+01 2.201605149499669470e-02 1.202362001644886463e-01 8.673877428311148330e-02 5.285026645627295683e-02
3.150335022348607517e+00 9.722919523217022908e-01 6.881539576490838783e+01 2.234229531839111021e-02 1.134496308716807095e-01 2.087645689790478334e-02 1.333339561237127831e-02
2.965253418430060073e+00 9.834020742151419192e-01 6.982636464415486444e+01 2.254455896899697567e-02 1.285081915954678078e-01 8.717188150783405920e-02 3.285373089580986838e-02
3.077379066365851568e+00 9.367866669966443682e-01 6.801395590837694272e+01 2.214267001626294903e-02 1.154371568822604860e-01 7.783528258476977990e-02 4.640436390857991672e-02
3.044877231925682270e+00 9.098770735925408859e-01 6.923300389539572564e+01 2.237098548937064418e-02 1.194071557136882483e-01 3.852710481231772649e-02 1.640136091758873788e-02
3.166888437724455940e+00 9.537456740261217591e-01 6.834059573093256290e+01 2.210192446691875909e-02 1.163325470829555536e-01 3.799993752734155683e-02 6.199672828427565952e-02
2.948925514908058876e+00 9.950378258049690228e-01 6.834924906116897603e+01 2.239911883873384885e-02 1.127089973368496506e-01 7.631410165790442068e-03 4.639269982878158061e-02
2.910941573291314199e+00 9.216209902043149826e-01 6.869763136773299550e+01 2.228900938484889432e-02 1.198473875334963856e-01 5.291763210648782467e-02 5.535409231698291271e-02
3.122237574354414402e+00 9.434432745588215985e-01 6.949160903991977989e+01 2.231793728807594454e-02 1.236912653124059430e-01 1.223926784819713391e-02 1.891566299053113603e-02
2.894316241381126087e+00 9.789337184493033250e-01 6.839361115546920189e+01 2.238308521345020591e-02 1.169141782392928985e-01 7.431512480261066866e-02 7.311020634697400211e-02
2.819150515774604404e+00 9.671123425128389517e-01 6.862303534123986992e+01 2.248250711310837910e-02 1.130048927322002822e-01 6.124113507802389500e-02 7.727169505642265956e-02
3.053661627856296690e+00 9.013061603517011910e-01 6.899784101882595166e+01 2.240186920355029254e-02 1.194503676541049386e-01 1.848214170309873602e-02 5.604695699573122164e-02
3.161098610489303962e+00 9.273114681292935479e-01 6.876934859769819752e+01 2.227648258646846777e-02 1.149730304312808205e-01 8.917628989915729609e-02 1.769815389812632797e-02
3.070993998682419956e+00 9.410943547313016522e-01 6.810942502825018607e+01 2.202317391696215557e-02 1.180779543738687543e-01 7.237115641750127559e-02 6.025832483544144025e-02
3.006284882078184673e+00 9.043596261663172653e-01 6.915309238716034201e+01 2.218803143525829163e-02 1.160614889027325042e-01 9.597966580733038877e-02 2.896999291249768155e-02
2.879570222041050176e+00 9.708133369104208210e-01 6.835813608486675719e+01 2.236008628412384375e-02 1.172656130723594009e-01 2.776537635526240763e-02 6.586403270498447649e-02
3.139005740010912593e+00 9.697378217454909466e-01 6.772473228592879479e+01 2.200532132504668531e-02 1.179396236332132530e-01 9.482733206506258061e-02 2.814585272751547740e-02
2.956903161391895463e+00 9.537115270076287343e-01 6.898954075887910165e+01 2.219636978096718380e-02 1.231083929859973225e-01 4.653574452719470150e-02 3.323311812162584034e-02
