weight logl logA n_s H0 omega_b omega_cdm m_ncdm tau_reio
2.282799745156470634e-132 -3.058356949483273866e+02 7.805441276637686832e-01 5.147827782798636287e-01 8.983920914378334954e-01 8.907945800224067456e-01 7.242651942913380658e-01 9.291516521603985224e-01 1.980343375309684406e-01
2.455218031665216724e-132 -3.057603820277994942e+02 4.796347562563300082e-01 9.874341580149396114e-01 8.933403960189549853e-01 9.003810867966953735e-01 5.784844415014390728e-01 4.325271034387944136e-01 5.723321169090894722e-01
4.394740104867799100e-132 -3.051756892012563185e+02 5.825783351685467348e-01 6.954518587304506783e-01 5.307424752813860724e-02 7.014488105515258587e-01 4.558457547051000258e-01 9.786491581798634209e-01 5.494632725420609543e-01
8.112481915998031722e-132 -3.045601937434964839e+02 1.960720313509967117e-02 4.249746777998731906e-01 7.854975366851979501e-02 9.500726426593122387e-01 9.874629588500574151e-01 8.196106376492906520e-01 1.243885834077712582e-01
9.049598225907400141e-132 -3.044483772345724333e+02 7.308004460955064285e-02 4.322569352628446993e-02 9.014152707068222581e-01 6.572178115483449101e-01 8.812345187800388890e-01 8.706331976597658784e-01 4.607503078749721759e-01
5.209318896283851304e-130 -3.003929782932438570e+02 7.260641859353702543e-01 1.677872299126730304e-01 5.473349880457556438e-02 1.262461073398460920e-01 6.946113786950355307e-01 7.722898202972504622e-01 2.353846385850709710e-01
9.845049650914128171e-130 -2.997539586550429931e+02 4.670164867614506887e-01 2.950934071231129385e-01 5.176696402008240661e-02 8.977396608061769534e-01 1.418340063680429974e-01 7.801468888834445226e-01 6.958282555918141599e-01
2.014495749491311244e-127 -2.944303032157113194e+02 7.470141428093349800e-01 1.277596572945904896e-03 8.645408463510960706e-01 2.476982052140722645e-01 5.159975071990909878e-01 5.550144966872350150e-01 5.496101133887377754e-01
4.031136376438405015e-127 -2.937341238159261820e+02 4.958020444256608927e-01 4.056961510270132854e-01 8.766805068223465502e-01 1.316110469863527310e-01 8.155000282204862838e-01 8.490667974424692677e-01 9.786128534919787958e-01
5.397887703357702087e-127 -2.934396644204012432e+02 7.738901809717957381e-02 8.144710305093205704e-01 7.633978918684913850e-02 4.678761051459243703e-01 8.972578284048406960e-01 3.014320919068037563e-01 7.639471810029170307e-01
2.938185066526301637e-126 -2.917427949719904632e+02 1.145521979863632911e-01 8.686317386907987936e-01 8.721959717279004209e-01 1.429713583608414051e-01 6.566905209804321242e-01 9.115568739668156173e-02 6.255876291252511212e-01
