logA n_s H0 omega_b omega_cdm m_ncdm w0_fld wa_fld tau_reio
3.001937327379555764e+00 9.575162980962322878e-01 7.150091730447884686e+01 2.219762753713330761e-02 1.173562254580914899e-01 9.467486461393467834e-02 -8.639885175987660482e-01 8.247188915750695848e-02 5.019877856215605033e-02
2.968888234811645876e+00 9.082172808535294850e-01 7.122256719509817913e+01 2.252008415499344440e-02 1.208630737795985122e-01 2.873573579436711212e-02 -8.316421331618280011e-01 7.299031116778723072e-02 3.350663818516041309e-02
2.851971132284021770e+00 9.566916552405585472e-01 7.046359504340558999e+01 2.217883664611155353e-02 1.246363769533876953e-01 5.816567405363475690e-02 -7.812438202984450797e-01 9.429023241815033540e-02 3.845298357183039167e-02
3.063767644865891260e+00 9.247222380192727798e-01 7.362080492844700075e+01 2.207829626735003520e-02 1.292072854559920547e-01 2.900974283155142303e-02 -8.912271430293330354e-01 8.664391338861199970e-03 1.315293196271499765e-02
2.881124139080311508e+00 9.741027668505138903e-01 7.231906822162146398e+01 2.243799619206325938e-02 1.249671221603528976e-01 6.554059352015112472e-02 -8.678561746587443171e-01 8.768363601278333919e-02 2.864682634635182246e-02
2.986211398315005816e+00 9.172415028318906538e-01 7.040853532733855502e+01 2.216123446936170069e-02 1.280786239562902440e-01 1.286850519798678032e-02 -7.963127597988344242e-01 8.329892617334416771e-02 3.550482254243661484e-02
2.800013565059277010e+00 9.421929919687336286e-01 7.229096320017318078e+01 2.217404348236104092e-02 1.295038146087185704e-01 7.746663694120509147e-02 -8.786866283721586068e-01 9.670387544232841859e-02 4.963487694375912085e-02
3.152001869453416205e+00 9.736400286128763515e-01 7.123856723883227460e+01 2.242462021554703436e-02 1.151984193061086348e-01 9.274593927501320612e-02 -8.380842555154344176e-01 4.083752463825791879e-02 5.603654332278174000e-02
2.839516956659321689e+00 9.960279164601739676e-01 7.196153571073990918e+01 2.223854680401368342e-02 1.282401129045399879e-01 5.640798289606011040e-02 -8.343464501522359633e-01 8.184971617533576271e-02 2.848465416642859127e-02
3.183687293714247524e+00 9.077620283653341504e-01 7.088998901290219123e+01 2.231338501301440014e-02 1.254678547847499215e-01 6.399387975142965812e-02 -8.191188266947104779e-01 5.153842937960892434e-02 5.635231156191733426e-02
3.114788240580559364e+00 9.561613501968179163e-01 7.373157062963323938e+01 2.248398065756778211e-02 1.281966132659922430e-01 8.977573036057764910e-02 -8.973568248593699614e-01 6.336887079936562306e-02 5.560947185182493757e-02
3.164350874703232286e+00 9.800680920242853533e-01 7.171718557796199889e+01 2.208773523364452804e-02 1.207125047963552439e-01 9.165968952220381050e-02 -8.626171520503223000e-01 5.330610885889685430e-02 3.813896394374254040e-02
2.876844620691098253e+00 9.120762668230503190e-01 7.133975437770378392e+01 2.203693253247432371e-02 1.208531324124186984e-01 6.573981221639291217e-02 -8.292792557210617588e-01 4.195791390774032681e-02 7.806055164052332074e-02
2.908379606440814502e+00 9.800944461390267426e-01 7.036583234140528020e+01 2.226522440115154267e-02 1.147916459952541546e-01 1.300305593504824794e-03 -7.851850612177857514e-01 2.454672920585998681e-03 6.529284176513322491e-02
2.863547405575738392e+00 9.882823842195518349e-01 7.336343443134560971e+01 2.221419482848979027e-02 1.292478057390161472e-01 7.796587191949155837e-02 -8.701913533093561526e-01 1.249376338762894258e-02 5.854787314971358209e-02
2.833461998328527631e+00 9.274594453634407154e-01 6.877906255711570793e+01 2.245314254020742972e-02 1.164559435053003078e-01 7.392754613498261906e-02 -7.317137985987938187e-01 6.063078636300704011e-02 7.222773410442673292e-02
3.112153372887596081e+00 9.935706700539065350e-01 7.081714709886735193e+01 2.252981537333133971e-02 1.180255223190317948e-01 5.531027321568349198e-02 -8.092251361063946824e-01 3.981468399785866030e-02 3.011684806022647820e-02
3.117904466949013909e+00 9.113703013802754160e-01 7.117458710867961713e+01 2.243403298695925349e-02 1.186732763267322466e-01 5.191487164873851562e-02 -8.155359164503219738e-01 2.444049384525007196e-02 7.058219270618822094e-02
2.881613908783397182e+00 9.362500158426143582e-01 7.090880481215364739e+01 2.234466152013309462e-02 1.227312294132307663e-01 9.903220227101790230e-02 -7.959476038226618311e-01 2.236024849975885159e-02 4.181855784823371863e-02
2.906641848253019855e+00 9.933298266717296432e-01 7.387178882760909460e+01 2.247640929586230268e-02 1.298348436961684615e-01 9.214475183120558743e-02 -8.970612823365131661e-01 2.401849111712907325e-02 4.722287282206122372e-02
2.866509579736185920e+00 9.780071681803461647e-01 7.251704842368121717e+01 2.202488535329163652e-02 1.234612318491684763e-01 1.438100267472098431e-02 -8.581877587319528544e-01 6.690739698776808353e-02 2.789523249612103212e-02
