logA n_s H0 omega_b omega_cdm w0_fld wa_fld tau_reio
3.138376694444343418e+00 9.948586405648831565e-01 6.666230993161080676e+01 2.257442169214719449e-02 1.108491292520005222e-01 -9.258985946388349486e-01 5.480880073547034215e-02 4.904094169107034440e-02
2.824955128506928759e+00 9.808056901337691702e-01 6.835571369379897533e+01 2.201887028861891638e-02 1.256870945606630707e-01 -8.596880500492845023e-01 -5.999491700284165230e-01 6.741546144839714871e-02
2.870619030254894177e+00 9.035442990651226802e-01 6.594713383976056775e+01 2.222506943231716825e-02 1.115318406044615157e-01 -7.845435113007188654e-01 -5.082257326442081169e-01 1.443906348054340913e-02
3.038922273074327496e+00 9.345412587134537263e-01 6.813509625930885250e+01 2.210544648814884508e-02 1.270236920887072296e-01 -9.446435089517812855e-01 -2.808017442467629632e-01 2.669673702524906489e-02
3.123600468508647587e+00 9.894833945998113833e-01 6.823643575326394739e+01 2.223531039210561305e-02 1.249988319795912739e-01 -8.010392761025990627e-01 -9.369742531509364092e-01 2.570086667552255039e-02
2.862682017422986558e+00 9.181327577790749928e-01 6.697219730590207121e+01 2.239383372474674019e-02 1.187818328376557125e-01 -8.728299865177899797e-01 -3.403771656670557810e-01 2.076850890841859532e-02
3.056129211741682283e+00 9.537790502217525779e-01 6.633334875570832878e+01 2.254141879915462152e-02 1.115317561472280034e-01 -9.100437899092228555e-01 -2.962803261445823289e-02 4.944010698815110016e-02
2.844358990901973527e+00 9.273134401552803885e-01 6.753485795472164455e+01 2.241927310181656210e-02 1.136714706048322920e-01 -8.872805234342611147e-01 -2.898691366679342352e-01 7.931398035915948608e-02
2.904999349022952426e+00 9.743666698756012767e-01 6.668682856970831097e+01 2.223393230675628496e-02 1.131261017461283325e-01 -9.226656837741005202e-01 6.210604657868934453e-02 3.843271966950402574e-02
3.138183839363208438e+00 9.448658594396290855e-01 6.735657705187769295e+01 2.217532133734025079e-02 1.109867366894402713e-01 -8.404092362921198323e-01 -5.359547473732875211e-01 1.687749066829951489e-02
3.009245224229256888e+00 9.238275444872106057e-01 6.856060641120775756e+01 2.244094688648491653e-02 1.172028959283488853e-01 -9.266256233642824469e-01 -2.897403535991152079e-01 5.218672458242991363e-02
2.996537617472786241e+00 9.656183865637208985e-01 6.853628224334964614e+01 2.248268906552986987e-02 1.242518997326571839e-01 -8.975472233967329849e-01 -4.150372999010922825e-01 7.137769029485747929e-02
3.100108656511479488e+00 9.497686977025604493e-01 6.752021377105644717e+01 2.216063693758854938e-02 1.213893565354228071e-01 -8.351285483142021349e-01 -6.626680457829943194e-01 1.449863580987333610e-02
2.893294844949418909e+00 9.139751979868696585e-01 6.578968748186360926e+01 2.208041990357540243e-02 1.123540259609787095e-01 -8.267233545312229204e-01 -4.039092534855861505e-01 7.260226173408919348e-02
2.910618173819080834e+00 9.357658953052699902e-01 6.791810723165272634e+01 2.208272156552676044e-02 1.205190883078410546e-01 -8.120817488012781471e-01 -7.702121113053697066e-01 4.869753115492720524e-02
2.810009139521497890e+00 9.485911942223035354e-01 6.837392963247657462e+01 2.225360565488532574e-02 1.264642593733348308e-01 -8.869158799035412599e-01 -4.086143917266515935e-01 4.879591304252661743e-02
2.803393499034075198e+00 9.240100278871126172e-01 6.907985162939831980e+01 2.258416814479675266e-02 1.287078822047184878e-01 -8.794350312163023986e-01 -5.609062303431844310e-01 2.988913270464847033e-02
3.182846213059385754e+00 9.897793078154841773e-01 6.856089899515966124e+01 2.223495266128106343e-02 1.215960228324534931e-01 -9.103696857984973079e-01 -3.976840134226924395e-01 2.726785631323937892e-02
3.105155990420440659e+00 9.172216189992448143e-01 6.810595629193056766e+01 2.223919278462992491e-02 1.236188879998932622e-01 -9.030578810423042224e-01 -3.014741363319506373e-01 5.392787246050335243e-02
