weight logl logA n_s H0 omega_b omega_cdm w0_fld wa_fld tau_reio
0.000000000000000000e+00 -1.318164895687241515e+05 2.802387153149533905e+00 9.227060398165136679e-01 6.929828961203271831e+01 2.239584914844225047e-02 1.285252415351273714e-01 -6.175281611977183616e-01 7.926159953419880111e-01 1.101609571106166620e-02
0.000000000000000000e+00 -1.252263454293723626e+05 3.068121413302437706e+00 9.165542326894204894e-01 7.448406598714959159e+01 2.251329797319974457e-02 1.219718108579485455e-01 -8.003959111319582931e-01 9.896986019834308479e-01 2.694678609168351530e-02
0.000000000000000000e+00 -2.468725017159697745e+04 2.918293252527159432e+00 9.881388994413020654e-01 6.588228340914695025e+01 2.205703818937356647e-02 1.143739714029749499e-01 -1.607606321842473651e+00 1.846269008016355961e+00 7.908666602207167773e-02
0.000000000000000000e+00 -1.927424784155076486e+04 2.863653878649115025e+00 9.694871046830988437e-01 7.512456477853599779e+01 2.210087983790470431e-02 1.273883619841983394e-01 -9.330625098407372420e-01 1.085937898373929844e+00 6.762492722339698281e-02
0.000000000000000000e+00 -1.205860086428957766e+04 2.862954040941557032e+00 9.679330642509544891e-01 6.562599003039183287e+01 2.210126729809728727e-02 1.227484738376197482e-01 -1.582799332064053877e+00 1.798295047796607093e+00 3.931308166790877662e-02
0.000000000000000000e+00 -9.711797354222760987e+03 2.901832813822773804e+00 9.618360246035264627e-01 6.845197704900355973e+01 2.253896164018291681e-02 1.160673061470392370e-01 -9.563922289917914377e-01 1.093877431543453849e+00 5.089954010233949111e-02
0.000000000000000000e+00 -3.988761123284216410e+03 3.076582325297184006e+00 9.013489813058878086e-01 7.298208957043981115e+01 2.230336375207279606e-02 1.180608043746995406e-01 -1.598470898103227400e+00 1.775971578928284611e+00 4.775848370947295002e-02
0.000000000000000000e+00 -3.979136022837324163e+03 3.035308306100465092e+00 9.065568436729317670e-01 7.772448623981338756e+01 2.255221557395073462e-02 1.158933288910047599e-01 -5.046303301904073724e-01 3.342269971640261517e-01 5.734631925662590779e-02
0.000000000000000000e+00 -3.722731319690438340e+03 3.005516776136687440e+00 9.932724829263827049e-01 7.799069462321776314e+01 2.208432205825783951e-02 1.110694975484740332e-01 -5.754386568230245302e-01 3.839713183647437411e-01 5.120226479606697356e-02
0.000000000000000000e+00 -3.436114196895513032e+03 3.161040512091877641e+00 9.138389942612213934e-01 7.648466117898762207e+01 2.219818860674332983e-02 1.291814534271645276e-01 -5.036995686182068610e-01 3.557094588367140098e-01 4.258472946369188522e-02
0.000000000000000000e+00 -3.210502457048841734e+03 3.037669888711651112e+00 9.903155251995683361e-01 7.969178894028205207e+01 2.254069517743271731e-02 1.201523422021717330e-01 -5.870756085470749674e-01 1.268412258174196339e-01 7.355321735424708018e-02
0.000000000000000000e+00 -3.167942460489986388e+03 3.064186035740942504e+00 9.244724548228252514e-01 7.815318776006455437e+01 2.200965287434251613e-02 1.172735100928326002e-01 -5.542959154415381118e-01 4.968534354640690154e-01 1.602326517335591477e-02
0.000000000000000000e+00 -3.152695481964278315e+03 3.155581578227833806e+00 9.099332799662890325e-01 6.245374004415486979e+01 2.214050567743958836e-02 1.106844761811705685e-01 -1.995229667651704952e+00 -1.929504377148921535e+00 5.756876797789533401e-02
0.000000000000000000e+00 -2.923833754445235172e+03 3.023390832921588167e+00 9.068460175494446052e-01 7.614254829966380100e+01 2.200839963891453380e-02 1.123811670060236301e-01 -5.840218635532483660e-01 2.103305425012815810e-01 1.872681514351810794e-02
0.000000000000000000e+00 -2.839155259781226960e+03 2.882198659816042063e+00 9.521814725232344845e-01 6.261860104927031045e+01 2.254261104662194995e-02 1.115261291385312437e-01 -1.904926196129412386e+00 -1.151604985470135123e+00 1.368829790673504326e-02
0.000000000000000000e+00 -2.762837065357094616e+03 2.968635426940113398e+00 9.229737088954875768e-01 6.180299126301598278e+01 2.215989571829351731e-02 1.193859033013309479e-01 -1.827063940995891089e+00 -1.947567155827654606e+00 1.209889382703304220e-02
