weight logl logA n_s H0 omega_b omega_cdm w0_fld wa_fld tau_reio
0.000000000000000000e+00 -inf 4.460517671680486185e-01 1.291645550773088402e-01 2.543002196872088394e-01 7.999968527685535902e-01 1.627544344974350965e-01 4.339595622289590393e-01 9.502964866297005653e-01 7.297214307185865279e-01
0.000000000000000000e+00 -inf 4.915303670505926092e-01 2.915036291878249086e-01 2.196867507439895784e-01 1.054007027767879245e-01 8.254818894930170403e-01 3.841342856851549525e-01 9.490227921076636042e-01 6.287345323348836335e-01
0.000000000000000000e+00 -inf 4.948295643087031737e-01 1.947726847126299843e-01 2.006009873339785754e-01 6.981133326905955006e-01 8.359351670887150698e-01 2.471629328592385155e-01 9.912795966158653993e-01 6.981590890921773873e-02
0.000000000000000000e+00 -inf 2.971401581289735416e-01 6.608732427068457760e-01 2.978453979286209696e-01 3.481973257595677440e-01 4.205358491830165635e-01 7.003535408121112082e-01 9.820610003788774467e-01 9.495347868699560712e-01
0.000000000000000000e+00 -inf 5.832669697227810257e-01 5.538426663754025814e-02 7.299629855141004375e-01 3.472642023889170870e-01 1.663557412222953502e-01 8.599280637911337344e-01 8.873392349857325279e-01 3.785450167125747889e-01
0.000000000000000000e+00 -inf 3.633758430167177700e-01 2.947847057981481944e-01 3.056943555521846045e-01 4.890687644993104710e-01 1.432961497633941095e-01 7.097414381275906070e-01 9.221043476566813668e-01 4.864494861641668333e-01
0.000000000000000000e+00 -inf 3.033927392188864314e-01 1.758636067461240016e-01 4.803965589745968767e-01 7.447932394577223558e-01 5.827910555130632053e-01 9.600891510612419300e-01 7.794188833680740780e-01 8.399324856608991752e-02
0.000000000000000000e+00 -inf 5.535595389986501802e-01 4.419807947242315738e-02 5.928619510713893925e-01 8.917971759673402055e-01 9.518552712883331379e-01 7.628948351463866739e-01 8.548599951442624745e-01 3.868703402986761741e-01
0.000000000000000000e+00 -inf 1.064239520808255568e-01 9.330205228455002997e-01 5.204253112620615962e-02 8.250584482792144847e-03 2.041628139803209896e-01 5.820771990513461391e-01 9.101969465070295362e-01 3.759257743165178578e-02
0.000000000000000000e+00 -inf 7.274268571392011884e-01 2.320375655619947297e-01 1.162708162520245114e-01 2.099277828338497187e-02 3.561632764541842189e-01 7.168960167963037700e-01 8.861470375099849139e-01 6.735759600549474646e-01
0.000000000000000000e+00 -inf 2.135055425307452737e-02 8.406042396111679249e-01 2.515542969227063663e-01 5.846956376852791015e-01 9.375034957354867471e-01 6.399598520290024073e-01 8.339285291364844088e-01 3.567040346406598061e-01
0.000000000000000000e+00 -inf 6.560661912412454333e-01 7.483753993904862511e-01 2.640415237349263977e-01 5.982668275014819681e-01 5.813897940488020888e-01 5.543298148127893121e-01 9.488817088994103699e-01 4.084075537117021204e-01
0.000000000000000000e+00 -inf 5.340665494921966738e-01 1.763479678796922023e-01 6.957660672304650795e-01 9.887086771854665113e-01 4.733281414402239484e-01 9.802548550501368751e-01 7.769085862727600489e-01 4.772507283464016981e-01
0.000000000000000000e+00 -inf 6.277888988960032002e-01 7.972649424689445263e-01 4.495341871986715532e-01 1.409066540942042201e-01 9.472776309150628959e-01 7.952579050609981381e-01 9.662676222332531317e-01 9.102572004227517111e-01
0.000000000000000000e+00 -inf 5.551069009707637614e-01 8.332321571022510698e-01 1.701467500153022172e-01 4.992381923627324802e-01 4.720579529083727133e-01 7.667762455585376280e-01 7.951628209289762772e-01 9.322877239096314383e-01
0.000000000000000000e+00 -inf 2.097863974638546347e-01 8.497459145144939940e-01 3.819808625290249671e-01 4.106945921177329595e-01 1.988811510956115525e-01 3.795426810927671202e-01 9.703642097793934163e-01 1.179439378538658101e-01
0.000000000000000000e+00 -inf 4.824119023831051623e-01 1.893053832684018500e-01 3.093874644422258680e-01 3.640813461792687944e-01 4.727765506840062582e-01 9.969299671841092003e-01 9.277685684500557306e-01 3.157107398975308454e-01
0.000000000000000000e+00 -inf 9.556856943154486972e-01 7.636139772199059816e-01 1.836063799542151376e-01 1.876397401381916241e-01 7.863233072830987380e-01 9.441953960779975175e-01 8.759112557974118030e-01 8.135391227638351097e-01
0.000000000000000000e+00 -inf 5.512447541155292008e-01 7.079970031217032167e-01 7.667655887230762080e-01 1.598885079458718383e-01 7.978425905980119914e-01 9.409128802856735474e-01 9.924935549975352211e-01 1.389286626773887923e-01
0.000000000000000000e+00 -inf 8.375169907225595844e-01 6.639375100084814463e-01 1.880482922996352668e-01 4.696386702405520586e-01 4.738233800802943430e-01 2.771596848901914933e-01 9.796308861171002524e-01 6.495479586628405411e-01
0.000000000000000000e+00 -2.031694302332878578e+05 5.351681303992628091e-01 5.179896186536225855e-02 3.635190359090514356e-01 5.526493423151568329e-02 1.672473688865780961e-01 5.284232266446898807e-01 8.658970139606039229e-01 7.970064022510940926e-01
0.000000000000000000e+00 -1.318164895687241515e+05 5.967882873834762236e-03 2.270603981651361236e-01 4.649144806016357601e-01 6.597485807370863098e-01 9.262620767563685131e-01 9.216478925348543516e-01 6.981539988354970028e-01 1.451565301516666295e-02
0.000000000000000000e+00 -1.252263454293723626e+05 6.703035332560941528e-01 1.655423268942052273e-01 7.242032993574796240e-01 8.554966219995771004e-01 5.985905428974274134e-01 7.997360592453611750e-01 7.474246504958577120e-01 2.420969441669073019e-01
0.000000000000000000e+00 -2.468725017159697745e+04 2.957331313178988008e-01 8.813889944130203213e-01 2.941141704573475568e-01 9.506364895594687781e-02 2.186985701487477174e-01 2.615957854383509362e-01 9.615672520040889903e-01 9.869523717438811738e-01
0.000000000000000000e+00 -1.927424784155076486e+04 1.591346966227875637e-01 6.948710468309887700e-01 7.562282389268000227e-01 1.681330631745082682e-01 8.694180992099164174e-01 7.112916601061751720e-01 7.714844745934824610e-01 8.232132460485281911e-01
0.000000000000000000e+00 -1.205860086428957766e+04 1.573851023538933580e-01 6.793306425095444467e-01 2.812995015195919324e-01 1.687788301621476750e-01 6.374236918809874641e-01 2.781337786239640453e-01 9.495737619491517734e-01 4.187583095415539081e-01
0.000000000000000000e+00 -9.711797354222760987e+03 2.545820345569349552e-01 6.183602460352641828e-01 4.225988524501778087e-01 8.982694003048643516e-01 3.033653073519617660e-01 6.957385140054723749e-01 7.734693578858634622e-01 5.842791443191355238e-01
0.000000000000000000e+00 -3.988761123284216410e+03 6.914558132429592385e-01 1.348981305887775317e-02 6.491044785219904911e-01 5.056062534546607035e-01 4.030402187349767518e-01 2.676860679311817703e-01 9.439928947320711528e-01 5.394069101353278217e-01
