# logA n_s H0 omega_b omega_cdm m_ncdm tau_reio weight loglikelihood
2.52925249e+00 8.40667784e-01 7.47641073e+01 2.74349814e-02 7.20337018e-01 1.17824276e-01 1.12881519e-01 0.00000000e+00 -1.00000000e+300
2.25485264e+00 1.06726754e+00 5.75760295e+01 7.34092072e-02 3.59217720e-01 3.42870117e-01 2.40685524e-01 0.00000000e+00 -1.00000000e+300
1.71865529e+00 8.92479298e-01 5.70347845e+01 9.61506121e-03 4.55930815e-01 9.65591747e-01 3.50900861e-01 0.00000000e+00 -1.00000000e+300
2.34972486e+00 1.07933358e+00 6.64650771e+01 6.53267191e-02 6.36561024e-01 7.92457282e-01 6.65717922e-01 0.00000000e+00 -1.00000000e+300
2.54320089e+00 1.04255668e+00 3.01838319e+01 1.95375702e-02 8.89242885e-01 1.98359959e+00 6.01905962e-01 0.00000000e+00 -1.00000000e+300
1.84440141e+00 8.58692957e-01 3.09123724e+01 1.61042931e-02 8.93403249e-01 1.36779278e+00 6.44561923e-02 0.00000000e+00 -1.00000000e+300
3.68650375e+00 9.50131254e-01 5.92821934e+01 8.83465394e-02 5.03640773e-01 3.34367149e-01 5.24318033e-01 0.00000000e+00 -1.00000000e+300
3.79480359e+00 9.19760175e-01 2.88595739e+01 6.91980120e-02 1.40513161e-01 1.58641660e+00 7.33653108e-01 0.00000000e+00 -1.00000000e+300
2.80902125e+00 9.49904956e-01 6.83044688e+01 6.45127755e-02 6.76231011e-01 7.74012301e-02 4.81271770e-01 0.00000000e+00 -1.00000000e+300
2.60181315e+00 9.44434102e-01 5.21005225e+01 9.19174846e-02 7.30056699e-01 1.29762333e+00 3.33440087e-01 0.00000000e+00 -1.00000000e+300
1.86207035e+00 9.57742396e-01 6.53736048e+01 3.99640906e-02 6.29916947e-01 1.86749511e+00 5.24729937e-01 0.00000000e+00 -1.00000000e+300
2.26136462e+00 9.02672335e-01 4.86861974e+01 2.37005002e-02 7.57401442e-01 1.51448990e+00 3.95798543e-02 0.00000000e+00 -1.00000000e+300
2.72262748e+00 1.04136670e+00 8.30160550e+01 6.09658648e-03 1.27662731e-01 1.33066931e+00 3.76960912e-01 0.00000000e+00 -1.00000000e+300
3.09057170e+00 1.12644389e+00 9.20475251e+01 7.12477697e-02 1.81504967e-01 9.35620849e-01 2.98262021e-02 0.00000000e+00 -1.00000000e+300
1.96954100e+00 1.15729395e+00 7.82057611e+01 8.39170354e-02 8.89378691e-01 1.26203605e+00 5.80423033e-01 0.00000000e+00 -1.00000000e+300
3.42889304e+00 9.41102454e-01 9.64683857e+01 4.99445209e-02 8.37515720e-02 1.75128937e-01 5.52556008e-01 0.00000000e+00 -1.00000000e+300
3.26287798e+00 8.76406889e-01 8.87083176e+01 5.47444608e-02 5.66771335e-01 8.37843532e-01 2.14845445e-01 0.00000000e+00 -1.00000000e+300
2.76547602e+00 8.31390122e-01 6.57579223e+01 8.45328065e-02 1.08373000e-01 8.76076275e-01 5.47311378e-01 0.00000000e+00 -1.00000000e+300
3.65206107e+00 8.86006304e-01 8.62108942e+01 3.32050213e-02 3.23034820e-01 4.76438627e-01 3.42491806e-01 0.00000000e+00 -1.00000000e+300
2.40529113e+00 1.03413947e+00 5.04169844e+01 9.99148703e-02 2.72386427e-01 1.91050982e+00 7.47023964e-01 0.00000000e+00 -1.00000000e+300
3.22196050e+00 9.48729313e-01 5.70949658e+01 6.23187369e-02 2.49625531e-01 8.31505551e-01 3.69977982e-01 0.00000000e+00 -1.00000000e+300
3.05119979e+00 9.67225617e-01 3.15834219e+01 2.25828031e-02 3.79490710e-02 7.78011117e-01 4.05789739e-01 0.00000000e+00 -1.00000000e+300
2.79657551e+00 1.15567905e+00 2.69490769e+01 1.49210867e-02 3.23517901e-01 6.70564666e-01 3.70580175e-01 0.00000000e+00 -1.00000000e+300
3.56227518e+00 8.35272068e-01 6.99358597e+01 8.67397390e-02 2.58093502e-01 1.19749618e+00 7.75286217e-01 0.00000000e+00 -1.00000000e+300
2.05876823e+00 1.14827290e+00 2.09525559e+01 8.41738489e-02 3.09953326e-01 2.31117550e-01 4.31310955e-01 0.00000000e+00 -1.00000000e+300
3.24604911e+00 8.77233688e-01 3.04680627e+01 2.71140813e-02 5.24881118e-01 9.30759397e-01 4.91207408e-02 0.00000000e+00 -1.00000000e+300
2.57127803e+00 8.46606198e-01 6.27134955e+01 3.51518293e-02 2.33419896e-01 1.69102080e+00 5.41240733e-01 0.00000000e+00 -1.00000000e+300
2.89550370e+00 1.11383898e+00 9.64010635e+01 5.74618090e-02 2.40772730e-01 1.40914390e+00 1.49590153e-01 0.00000000e+00 -1.00000000e+300
3.32852724e+00 9.33978228e-01 2.40714772e+01 1.83749971e-02 5.67805524e-01 1.87958384e+00 7.49784708e-01 0.00000000e+00 -1.00000000e+300
2.60225184e+00 1.04658584e+00 3.23856088e+01 3.39135680e-02 6.82453529e-01 1.59778870e+00 4.04413881e-01 0.00000000e+00 -1.00000000e+300
2.20452950e+00 1.02631900e+00 3.87042924e+01 3.16389891e-02 5.48233158e-01 4.98942005e-01 7.18173336e-01 0.00000000e+00 -1.00000000e+300
2.70886975e+00 8.71700749e-01 8.28026276e+01 7.57599644e-02 7.01302435e-01 1.37105061e+00 7.29289361e-01 0.00000000e+00 -1.00000000e+300
3.24702495e+00 9.62421128e-01 7.07504661e+01 7.49226541e-02 7.04529235e-01 1.39222485e+00 2.77941058e-01 0.00000000e+00 -1.00000000e+300
3.10208411e+00 9.78397725e-01 4.03977831e+01 4.68265180e-02 5.44745045e-01 6.80085465e-01 4.85624789e-01 0.00000000e+00 -1.00000000e+300
2.46623590e+00 1.00177976e+00 7.52359873e+01 6.82289277e-02 8.51932255e-01 9.46006375e-01 6.50169456e-02 0.00000000e+00 -1.00000000e+300
3.04542109e+00 1.16301750e+00 4.70868968e+01 5.82930558e-02 6.04080400e-02 1.65605159e+00 4.31692666e-01 0.00000000e+00 -1.00000000e+300
3.90493438e+00 9.68839273e-01 5.73190659e+01 7.06052604e-02 9.61519747e-01 1.26856173e+00 2.42116957e-01 0.00000000e+00 -1.00000000e+300
2.67908182e+00 1.05998402e+00 2.53244139e+01 4.09996459e-02 7.52406301e-01 1.42370251e-02 3.59961969e-01 0.00000000e+00 -1.00000000e+300
2.97682082e+00 9.31172233e-01 4.91667491e+01 1.52532786e-02 8.55319171e-01 1.28990544e+00 7.57298427e-01 0.00000000e+00 -1.00000000e+300
2.52413554e+00 9.20117037e-01 5.11344850e+01 4.85444520e-02 5.20000816e-01 4.01417966e-01 5.34505274e-01 0.00000000e+00 -1.00000000e+300
2.13194999e+00 9.61339382e-01 6.78058476e+01 7.97925585e-02 6.45031100e-01 1.36239087e-01 1.14033453e-01 0.00000000e+00 -1.00000000e+300
