# logA n_s H0 omega_b omega_cdm m_ncdm tau_reio
1.87596715e+00 8.12085968e-01 6.78220747e+01 2.12688248e-02 1.18941703e-01 3.28883438e-01 3.16661104e-01
1.77433288e+00 8.47612154e-01 7.15302957e+01 2.78548597e-02 1.20367973e-01 9.14688204e-01 3.29762381e-01
2.20041004e+00 1.12183185e+00 5.91608181e+01 1.23800724e-02 8.55815555e-02 8.69184748e-01 3.68185659e-02
3.35505378e+00 9.59570570e-01 7.45883603e+01 3.25047740e-02 1.12802649e-01 1.79286769e+00 5.89039551e-01
2.06574067e+00 1.09712808e+00 7.02759376e+01 2.66674699e-02 1.10052719e-01 7.80041755e-01 6.85364552e-01
1.83909822e+00 9.28217409e-01 6.23883762e+01 1.51800797e-02 1.00879103e-01 2.19166069e-01 3.47653671e-01
1.81307796e+00 8.08642958e-01 6.83850772e+01 2.43392225e-02 9.65520528e-02 1.90374823e+00 7.74226055e-01
3.61665079e+00 1.11912814e+00 6.21609109e+01 1.55625999e-02 9.57477156e-02 4.58365101e-01 5.35455454e-01
3.18464026e+00 1.08523833e+00 7.07160066e+01 2.69181482e-02 1.09110137e-01 1.38085837e+00 3.40689502e-01
3.59959190e+00 1.15049866e+00 5.77086903e+01 1.11762223e-02 7.68431815e-02 1.18457302e+00 3.26680081e-01
3.61299523e+00 1.02818999e+00 7.43031002e+01 3.21667073e-02 1.17113359e-01 1.26023448e+00 9.09263353e-02
3.89859944e+00 9.10019478e-01 6.63027926e+01 1.96784972e-02 1.08160741e-01 1.92952161e-01 4.92117918e-01
1.96228202e+00 8.72048098e-01 7.57521580e+01 3.15232685e-02 1.43376810e-01 8.98564712e-02 1.19421811e-01
3.89021161e+00 8.66780707e-01 7.22544407e+01 2.92362327e-02 1.10770921e-01 1.42266967e+00 6.98787983e-01
2.05290307e+00 9.06955897e-01 7.31312282e+01 2.80046116e-02 1.35197008e-01 1.06825912e-01 1.82558479e-01
2.32735447e+00 1.04336129e+00 7.51132791e+01 3.09667214e-02 1.34206675e-01 9.06913696e-01 1.60158107e-01
2.58229603e+00 1.17729484e+00 7.13021740e+01 2.77726007e-02 1.09545306e-01 1.25740126e+00 6.04846941e-01
3.28905137e+00 1.14291230e+00 6.80679013e+01 2.38164147e-02 9.79590686e-02 1.20386971e+00 2.33678996e-01
3.47011570e+00 9.09731403e-01 7.13083099e+01 2.58550046e-02 1.30640606e-01 1.40855022e-01 6.26982715e-02
2.34143777e+00 8.38235296e-01 7.62151431e+01 3.10610191e-02 1.44083447e-01 1.51033951e-01 1.36497837e-01
2.36604943e+00 9.04063042e-01 7.22086398e+01 2.68287915e-02 1.27212566e-01 2.40276139e-01 5.95731745e-01
3.73439674e+00 9.28879954e-01 6.96987195e+01 2.61942719e-02 9.68586029e-02 1.55608367e+00 4.00311485e-01
3.78926916e+00 1.07250534e+00 7.45618180e+01 3.20382173e-02 1.10324330e-01 1.32487629e+00 6.10048838e-01
2.72604328e+00 1.02306531e+00 6.63039471e+01 2.06304522e-02 1.04113046e-01 7.96032713e-01 4.67184281e-01
1.92278501e+00 1.07250416e+00 6.58842461e+01 2.17381096e-02 9.56272064e-02 1.14621709e+00 1.94660040e-01
3.88890123e+00 9.18200881e-01 7.03005421e+01 2.49309199e-02 1.20005224e-01 3.86246281e-01 6.67855745e-01
3.50527290e+00 9.69631002e-01 7.36763869e+01 2.92266825e-02 1.28863646e-01 7.74266659e-02 4.99741996e-01
3.15235520e+00 1.01175269e+00 7.53753250e+01 3.23517669e-02 1.27355683e-01 5.18501682e-01 2.26598341e-01
2.46432687e+00 8.02563629e-01 5.94983230e+01 1.25586008e-02 8.15627153e-02 9.52366755e-01 5.32079886e-02
3.03795837e+00 9.22000752e-01 6.03799840e+01 1.41062570e-02 8.07778242e-02 1.09120687e+00 2.33047275e-01
1.83909822e+00 9.28217409e-01 6.23883762e+01 1.51800797e-02 1.00879103e-01 2.19166069e-01 3.47653671e-01
1.83909822e+00 9.28217409e-01 6.23883762e+01 1.51800797e-02 1.00879103e-01 2.19166069e-01 3.47653671e-01
3.64360754e+00 1.10260305e+00 6.47678851e+01 1.86823983e-02 1.05283754e-01 3.95803557e-01 4.90156872e-01
2.59219412e+00 1.17964639e+00 7.17020087e+01 2.84085216e-02 1.09414675e-01 1.97115488e+00 7.43288025e-02
2.15498973e+00 1.06229233e+00 6.35762403e+01 1.80954753e-02 9.52466117e-02 6.58332845e-01 3.72534498e-01
2.30933840e+00 8.49915082e-01 7.25274369e+01 2.80527722e-02 1.21327434e-01 3.35111494e-01 6.14848484e-01
2.66440166e+00 1.12433158e+00 7.24745156e+01 2.76203145e-02 1.28795789e-01 1.83897164e-01 3.48465351e-01
2.22518799e+00 9.21779160e-01 6.63136811e+01 2.22994816e-02 8.97154903e-02 1.78759239e+00 6.12667977e-01
2.42097658e+00 8.18508482e-01 6.58700676e+01 2.08669200e-02 9.78003598e-02 8.88560801e-01 1.53078943e-01
2.22267575e+00 1.19815527e+00 6.82885094e+01 2.45693829e-02 9.11852235e-02 1.25306585e+00 2.34515219e-01
1.94122111e+00 1.09936088e+00 7.54724870e+01 3.21371163e-02 1.32606650e-01 3.66158656e-01 6.85797680e-01
1.78116830e+00 9.45403208e-01 7.06374890e+01 2.71434745e-02 1.09789824e-01 1.84537832e+00 5.65603194e-01
2.60846841e+00 1.00363084e+00 6.11292593e+01 1.58551623e-02 7.61702109e-02 1.46695006e+00 2.19319209e-01
3.57805402e+00 1.16154363e+00 6.84180843e+01 2.30017101e-02 1.10356509e-01 2.52569220e-01 1.67873023e-01
3.14993656e+00 1.18181513e+00 5.43465077e+01 8.14016786e-03 6.09650320e-02 1.69172346e+00 1.25288979e-01
3.86808051e+00 1.04705759e+00 6.49403800e+01 1.99901148e-02 9.50509432e-02 8.69506598e-01 2.02838595e-01
1.93819926e+00 1.06569688e+00 7.48298302e+01 3.12251605e-02 1.29782431e-01 7.80707384e-01 6.62014420e-02
2.59219412e+00 1.17964639e+00 7.17020087e+01 2.84085216e-02 1.09414675e-01 1.97115488e+00 7.43288025e-02
3.47855257e+00 9.03137507e-01 6.51939465e+01 2.01917196e-02 9.34789764e-02 1.04279900e+00 3.79769906e-01
2.25457557e+00 9.30187343e-01 6.17770713e+01 1.60807769e-02 8.50188025e-02 9.01779926e-01 3.62358454e-01
2.07230881e+00 8.53589936e-01 7.12597001e+01 2.88550845e-02 1.06109933e-01 1.30251799e+00 6.19215019e-01
