11:17:13 [ultranest] [DEBUG] ReactiveNestedSampler: dims=9+0, resume=False, log_dir=ede_output/ede_real_run/run1, backend=hdf5, vectorized=False, nbootstraps=30, ndraw=128..65536
11:17:13 [ultranest] [INFO] Sampling 400 live points from prior ...
11:17:36 [ultranest] [DEBUG] run_iter dlogz=0.5, dKL=0.5, frac_remain=0.01, Lepsilon=0.0010, min_ess=400
11:17:36 [ultranest] [DEBUG] max_iters=-1, max_ncalls=1000000, max_num_improvement_loops=-1, min_num_live_points=400, cluster_num_live_points=40
11:17:36 [ultranest] [DEBUG] minimal_widths_sequence: [(-inf, 400.0), (inf, 400.0)]
11:17:41 [ultranest] [DEBUG] iteration=89, ncalls=498, regioncalls=3920, ndraw=40, logz=-2961.08, remainder_fraction=100.0000%, Lmin=-2941.36, Lmax=-712.16
11:17:41 [ultranest] [DEBUG] iteration=90, ncalls=499, regioncalls=3960, ndraw=40, logz=-2947.57, remainder_fraction=100.0000%, Lmin=-2929.65, Lmax=-712.16
11:17:42 [ultranest] [DEBUG] iteration=92, ncalls=504, regioncalls=4160, ndraw=40, logz=-2931.24, remainder_fraction=100.0000%, Lmin=-2907.41, Lmax=-712.16
11:17:42 [ultranest] [DEBUG] iteration=94, ncalls=506, regioncalls=4240, ndraw=40, logz=-2903.64, remainder_fraction=100.0000%, Lmin=-2894.49, Lmax=-712.16
11:17:42 [ultranest] [DEBUG] iteration=96, ncalls=508, regioncalls=4320, ndraw=40, logz=-2873.08, remainder_fraction=100.0000%, Lmin=-2848.39, Lmax=-712.16
11:17:42 [ultranest] [DEBUG] iteration=98, ncalls=510, regioncalls=4400, ndraw=40, logz=-2853.22, remainder_fraction=100.0000%, Lmin=-2846.46, Lmax=-712.16
11:17:42 [ultranest] [DEBUG] iteration=100, ncalls=512, regioncalls=4480, ndraw=40, logz=-2844.39, remainder_fraction=100.0000%, Lmin=-2836.48, Lmax=-712.16
11:17:42 [ultranest] [DEBUG] iteration=101, ncalls=515, regioncalls=4600, ndraw=40, logz=-2842.55, remainder_fraction=100.0000%, Lmin=-2799.84, Lmax=-712.16
11:17:42 [ultranest] [DEBUG] iteration=103, ncalls=519, regioncalls=4760, ndraw=40, logz=-2803.56, remainder_fraction=100.0000%, Lmin=-2795.69, Lmax=-712.16
11:17:43 [ultranest] [DEBUG] iteration=104, ncalls=521, regioncalls=4840, ndraw=40, logz=-2801.76, remainder_fraction=100.0000%, Lmin=-2784.85, Lmax=-712.16
11:17:43 [ultranest] [DEBUG] iteration=105, ncalls=523, regioncalls=4920, ndraw=40, logz=-2791.10, remainder_fraction=100.0000%, Lmin=-2775.29, Lmax=-712.16
11:17:43 [ultranest] [DEBUG] iteration=106, ncalls=525, regioncalls=5000, ndraw=40, logz=-2781.54, remainder_fraction=100.0000%, Lmin=-2765.36, Lmax=-712.16
11:17:43 [ultranest] [DEBUG] iteration=108, ncalls=527, regioncalls=5080, ndraw=40, logz=-2763.14, remainder_fraction=100.0000%, Lmin=-2714.07, Lmax=-712.16
11:17:43 [ultranest] [DEBUG] iteration=109, ncalls=529, regioncalls=5160, ndraw=40, logz=-2720.33, remainder_fraction=100.0000%, Lmin=-2693.99, Lmax=-712.16
11:17:43 [ultranest] [DEBUG] iteration=111, ncalls=531, regioncalls=5240, ndraw=40, logz=-2695.75, remainder_fraction=100.0000%, Lmin=-2676.28, Lmax=-712.16
11:17:43 [ultranest] [DEBUG] iteration=113, ncalls=533, regioncalls=5320, ndraw=40, logz=-2680.21, remainder_fraction=100.0000%, Lmin=-2671.46, Lmax=-712.16
11:17:43 [ultranest] [DEBUG] iteration=115, ncalls=535, regioncalls=5400, ndraw=40, logz=-2647.17, remainder_fraction=100.0000%, Lmin=-2633.48, Lmax=-712.16
11:17:43 [ultranest] [DEBUG] iteration=117, ncalls=537, regioncalls=5480, ndraw=40, logz=-2625.17, remainder_fraction=100.0000%, Lmin=-2615.08, Lmax=-712.16
11:17:44 [ultranest] [DEBUG] iteration=119, ncalls=540, regioncalls=5600, ndraw=40, logz=-2617.89, remainder_fraction=100.0000%, Lmin=-2608.98, Lmax=-712.16
11:17:44 [ultranest] [DEBUG] iteration=120, ncalls=541, regioncalls=5640, ndraw=40, logz=-2615.20, remainder_fraction=100.0000%, Lmin=-2604.64, Lmax=-712.16
11:17:44 [ultranest] [DEBUG] iteration=122, ncalls=543, regioncalls=5720, ndraw=40, logz=-2607.19, remainder_fraction=100.0000%, Lmin=-2593.62, Lmax=-712.16
11:17:44 [ultranest] [DEBUG] iteration=124, ncalls=545, regioncalls=5800, ndraw=40, logz=-2597.77, remainder_fraction=100.0000%, Lmin=-2587.93, Lmax=-712.16
11:17:44 [ultranest] [DEBUG] iteration=126, ncalls=549, regioncalls=5960, ndraw=40, logz=-2583.17, remainder_fraction=100.0000%, Lmin=-2574.85, Lmax=-712.16
11:17:44 [ultranest] [DEBUG] iteration=128, ncalls=551, regioncalls=6040, ndraw=40, logz=-2566.59, remainder_fraction=100.0000%, Lmin=-2556.67, Lmax=-712.16
11:17:44 [ultranest] [DEBUG] iteration=130, ncalls=553, regioncalls=6120, ndraw=40, logz=-2561.95, remainder_fraction=100.0000%, Lmin=-2543.47, Lmax=-712.16
11:17:45 [ultranest] [DEBUG] iteration=131, ncalls=555, regioncalls=6200, ndraw=40, logz=-2549.78, remainder_fraction=100.0000%, Lmin=-2528.98, Lmax=-712.16
11:17:45 [ultranest] [DEBUG] iteration=133, ncalls=557, regioncalls=6280, ndraw=40, logz=-2525.07, remainder_fraction=100.0000%, Lmin=-2517.57, Lmax=-712.16
11:17:45 [ultranest] [DEBUG] iteration=135, ncalls=561, regioncalls=6440, ndraw=40, logz=-2519.90, remainder_fraction=100.0000%, Lmin=-2508.97, Lmax=-712.16
11:17:45 [ultranest] [DEBUG] iteration=138, ncalls=564, regioncalls=6560, ndraw=40, logz=-2506.55, remainder_fraction=100.0000%, Lmin=-2498.62, Lmax=-712.16
11:17:45 [ultranest] [DEBUG] iteration=139, ncalls=566, regioncalls=6640, ndraw=40, logz=-2504.77, remainder_fraction=100.0000%, Lmin=-2479.75, Lmax=-712.16
11:17:45 [ultranest] [DEBUG] iteration=141, ncalls=569, regioncalls=6760, ndraw=40, logz=-2485.39, remainder_fraction=100.0000%, Lmin=-2477.21, Lmax=-712.16
11:17:45 [ultranest] [DEBUG] iteration=143, ncalls=572, regioncalls=6880, ndraw=40, logz=-2482.70, remainder_fraction=100.0000%, Lmin=-2466.94, Lmax=-712.16
11:17:46 [ultranest] [DEBUG] iteration=145, ncalls=574, regioncalls=6960, ndraw=40, logz=-2471.86, remainder_fraction=100.0000%, Lmin=-2463.35, Lmax=-712.16
11:17:46 [ultranest] [DEBUG] iteration=147, ncalls=576, regioncalls=7040, ndraw=40, logz=-2466.33, remainder_fraction=100.0000%, Lmin=-2446.29, Lmax=-712.16
11:17:46 [ultranest] [DEBUG] iteration=148, ncalls=578, regioncalls=7120, ndraw=40, logz=-2452.65, remainder_fraction=100.0000%, Lmin=-2444.08, Lmax=-712.16
11:17:46 [ultranest] [DEBUG] iteration=150, ncalls=580, regioncalls=7200, ndraw=40, logz=-2440.19, remainder_fraction=100.0000%, Lmin=-2431.81, Lmax=-712.16
11:17:46 [ultranest] [DEBUG] iteration=152, ncalls=582, regioncalls=7280, ndraw=40, logz=-2418.06, remainder_fraction=100.0000%, Lmin=-2411.44, Lmax=-712.16
11:17:46 [ultranest] [DEBUG] iteration=154, ncalls=584, regioncalls=7360, ndraw=40, logz=-2407.67, remainder_fraction=100.0000%, Lmin=-2395.01, Lmax=-712.16
11:17:46 [ultranest] [DEBUG] iteration=155, ncalls=587, regioncalls=7480, ndraw=40, logz=-2401.39, remainder_fraction=100.0000%, Lmin=-2384.20, Lmax=-712.16
11:17:46 [ultranest] [DEBUG] iteration=157, ncalls=589, regioncalls=7560, ndraw=40, logz=-2382.94, remainder_fraction=100.0000%, Lmin=-2357.88, Lmax=-712.16
11:17:47 [ultranest] [DEBUG] iteration=159, ncalls=591, regioncalls=7640, ndraw=40, logz=-2363.14, remainder_fraction=100.0000%, Lmin=-2356.63, Lmax=-712.16
11:17:47 [ultranest] [DEBUG] iteration=160, ncalls=593, regioncalls=7720, ndraw=40, logz=-2362.39, remainder_fraction=100.0000%, Lmin=-2355.46, Lmax=-712.16
11:17:47 [ultranest] [DEBUG] iteration=162, ncalls=595, regioncalls=7800, ndraw=40, logz=-2346.33, remainder_fraction=100.0000%, Lmin=-2331.55, Lmax=-712.16
11:17:47 [ultranest] [DEBUG] iteration=164, ncalls=597, regioncalls=7880, ndraw=40, logz=-2328.23, remainder_fraction=100.0000%, Lmin=-2304.76, Lmax=-712.16
11:17:47 [ultranest] [DEBUG] iteration=165, ncalls=599, regioncalls=7960, ndraw=40, logz=-2311.16, remainder_fraction=100.0000%, Lmin=-2280.41, Lmax=-712.16
11:17:47 [ultranest] [DEBUG] iteration=166, ncalls=601, regioncalls=8040, ndraw=40, logz=-2286.82, remainder_fraction=100.0000%, Lmin=-2279.98, Lmax=-712.16
11:17:47 [ultranest] [DEBUG] iteration=168, ncalls=604, regioncalls=8160, ndraw=40, logz=-2275.95, remainder_fraction=100.0000%, Lmin=-2253.77, Lmax=-712.16
11:17:47 [ultranest] [DEBUG] iteration=170, ncalls=607, regioncalls=8280, ndraw=40, logz=-2249.46, remainder_fraction=100.0000%, Lmin=-2234.70, Lmax=-712.16
11:17:48 [ultranest] [DEBUG] iteration=171, ncalls=609, regioncalls=8360, ndraw=40, logz=-2241.12, remainder_fraction=100.0000%, Lmin=-2219.69, Lmax=-712.16
11:17:48 [ultranest] [DEBUG] iteration=173, ncalls=611, regioncalls=8440, ndraw=40, logz=-2225.31, remainder_fraction=100.0000%, Lmin=-2216.81, Lmax=-712.16
11:17:48 [ultranest] [DEBUG] iteration=175, ncalls=615, regioncalls=8600, ndraw=40, logz=-2221.16, remainder_fraction=100.0000%, Lmin=-2198.63, Lmax=-712.16
11:17:48 [ultranest] [DEBUG] iteration=176, ncalls=621, regioncalls=8840, ndraw=40, logz=-2205.06, remainder_fraction=100.0000%, Lmin=-2197.61, Lmax=-712.16
11:17:48 [ultranest] [DEBUG] iteration=178, ncalls=623, regioncalls=8920, ndraw=40, logz=-2203.01, remainder_fraction=100.0000%, Lmin=-2192.85, Lmax=-712.16
11:17:48 [ultranest] [DEBUG] iteration=180, ncalls=625, regioncalls=9000, ndraw=40, logz=-2197.73, remainder_fraction=100.0000%, Lmin=-2184.62, Lmax=-712.16
11:17:49 [ultranest] [DEBUG] iteration=182, ncalls=627, regioncalls=9080, ndraw=40, logz=-2187.29, remainder_fraction=100.0000%, Lmin=-2178.32, Lmax=-712.16
11:17:49 [ultranest] [DEBUG] iteration=184, ncalls=629, regioncalls=9160, ndraw=40, logz=-2174.85, remainder_fraction=100.0000%, Lmin=-2167.01, Lmax=-712.16
11:17:49 [ultranest] [DEBUG] iteration=186, ncalls=631, regioncalls=9240, ndraw=40, logz=-2171.92, remainder_fraction=100.0000%, Lmin=-2164.08, Lmax=-712.16
11:17:49 [ultranest] [DEBUG] iteration=188, ncalls=633, regioncalls=9320, ndraw=40, logz=-2158.70, remainder_fraction=100.0000%, Lmin=-2150.97, Lmax=-712.16
11:17:49 [ultranest] [DEBUG] iteration=191, ncalls=636, regioncalls=9440, ndraw=40, logz=-2150.39, remainder_fraction=100.0000%, Lmin=-2139.08, Lmax=-712.16
11:17:49 [ultranest] [DEBUG] iteration=193, ncalls=639, regioncalls=9560, ndraw=40, logz=-2141.27, remainder_fraction=100.0000%, Lmin=-2129.90, Lmax=-712.16
11:17:49 [ultranest] [DEBUG] iteration=195, ncalls=642, regioncalls=9680, ndraw=40, logz=-2130.98, remainder_fraction=100.0000%, Lmin=-2117.61, Lmax=-712.16
11:17:50 [ultranest] [DEBUG] iteration=196, ncalls=647, regioncalls=9880, ndraw=40, logz=-2124.09, remainder_fraction=100.0000%, Lmin=-2113.63, Lmax=-712.16
11:17:50 [ultranest] [DEBUG] iteration=198, ncalls=650, regioncalls=10000, ndraw=40, logz=-2114.73, remainder_fraction=100.0000%, Lmin=-2098.56, Lmax=-712.16
