logA n_s H0 omega_b omega_cdm m_ncdm w0_fld wa_fld tau_reio
2.945158787808431988e+00 9.127840977988845861e-01 7.470178056648224185e+01 2.204883098706467148e-02 1.247587089143078615e-01 8.533335200952800459e-02 -1.063113586339499594e+00 6.466478173107046423e-01 2.231556459000776094e-02
3.183146873585505521e+00 9.169616709448299430e-01 7.319591745164140661e+01 2.217678620466231529e-02 1.242546714109273170e-01 5.341781636918553622e-02 -9.377844424425578751e-01 2.324740424635001190e-01 5.131720762777072786e-02
2.930161086187518915e+00 9.805335681340558995e-01 7.592095292731055167e+01 2.233356328009699493e-02 1.247547599888804148e-01 7.608491593039856671e-02 -1.191112327540236437e+00 9.977002494303119917e-01 1.547746524989161709e-02
2.890373957187100107e+00 9.375116747034160092e-01 7.440464597969670990e+01 2.248503698329316902e-02 1.107948596203757186e-01 2.281171819109637650e-02 -1.157502584633898657e+00 1.074229337729475375e+00 6.416034053379393587e-02
3.140023582022551274e+00 9.878098760986664395e-01 7.203741086856275899e+01 2.213980135928264592e-02 1.270819009575763214e-01 2.453965977173675622e-02 -8.626636758752750378e-01 2.356299742376131157e-01 1.910477623454388818e-02
2.899692609908042673e+00 9.989994349205217894e-01 7.362930667992952749e+01 2.245659653294139468e-02 1.137800777129564095e-01 7.922016854154595444e-02 -1.057489076002686712e+00 6.939386106809886101e-01 7.232880685104166318e-02
3.079254176289218048e+00 9.088176302521177030e-01 7.805270465633921617e+01 2.239126567152547112e-02 1.144930256333018814e-01 5.724261350109351165e-02 -1.034119321730807339e+00 1.070412573856669436e+00 7.389137508525545073e-02
3.070598586873050984e+00 9.173587550871680207e-01 7.297404068194296656e+01 2.248230450767475103e-02 1.297659983719182675e-01 7.403008197498002485e-02 -8.969380218490574652e-01 1.057567290958401074e-01 3.773922531875728570e-02
3.152986889661771208e+00 9.374795513209925879e-01 7.203090142498943749e+01 2.209596803912464852e-02 1.295793166553872722e-01 4.400103003538096552e-02 -7.969073793554224405e-01 -1.594176900093904337e-01 2.346880044869033288e-02
3.091336551600254445e+00 9.868787683326436522e-01 7.418039049263646234e+01 2.242308058585563285e-02 1.212885072643340584e-01 4.215692837847978547e-02 -1.002507867641626582e+00 3.874750368268427003e-01 7.655782694336625560e-02
2.872733530796290236e+00 9.686591051577086997e-01 7.578778955336153444e+01 2.237503206282611887e-02 1.296491627048191320e-01 6.563271772710761731e-02 -1.134014417089803661e+00 7.256410999355802360e-01 5.822806509201555042e-02
2.968350049345886976e+00 9.445111529419525365e-01 7.578292939195699773e+01 2.211738208680586251e-02 1.256975886606966353e-01 1.014765803536033005e-03 -1.154555566194948035e+00 9.822282500055310450e-01 1.582401894175246987e-02
3.149574512298847662e+00 9.806113335084732929e-01 7.119683255976082137e+01 2.252208105401312319e-02 1.290667695018298533e-01 1.270429158262154079e-02 -7.967278993817001886e-01 4.724165921671463764e-03 5.772700062539157934e-02
