weight logl logA n_s H0 omega_b omega_cdm m_ncdm w0_fld wa_fld tau_reio
0.000000000000000000e+00 -inf 9.275050688643179386e-01 1.917742815394372080e-01 5.962350310806702192e-01 2.841336391216332524e-01 2.174148005714067189e-01 9.332367292811768467e-01 9.311668379572692889e-01 8.139747716912557607e-01 3.676774180384838608e-01
0.000000000000000000e+00 -inf 1.878461153166437470e-01 7.510316641884982047e-01 5.360938977773822556e-01 2.176343138644412090e-01 5.123044582003583036e-01 3.653199054132656443e-01 8.016086202855119414e-01 8.602695872629997353e-01 2.149102626939445315e-01
0.000000000000000000e+00 -inf 5.029457942335483489e-01 3.067960205728491596e-01 5.224452501769517587e-01 1.167055705782216180e-01 1.220173021451511630e-01 1.133448492340727309e-02 9.727395759103083517e-01 6.982951697143388037e-01 3.896785126885722317e-01
0.000000000000000000e+00 -inf 1.733027367474512248e-01 5.729691180093152703e-01 2.726289333808804560e-01 7.820154450979637240e-01 9.050711402703979225e-01 1.277951860163140108e-02 4.892070605285275819e-01 8.993246188318093637e-01 6.010226040433478412e-01
0.000000000000000000e+00 -inf 7.060735111306568612e-01 8.159572196757569618e-01 7.770220729349844868e-01 6.803680483655746292e-01 4.841953133009337940e-01 8.390508540462826570e-02 9.364202336336902022e-01 9.679489271798370487e-01 9.918476792798118780e-01
0.000000000000000000e+00 -inf 3.154157224920167701e-01 4.566046226605331437e-01 8.711527508204061077e-01 4.793000286439118574e-01 7.252942145278927777e-01 9.231121757643893089e-01 7.105723104733928652e-01 8.153773386511369292e-01 6.504126211639673638e-01
0.000000000000000000e+00 -inf 5.778160866617735314e-01 7.207391708925510176e-01 2.664386117063138881e-01 5.823229965531406815e-02 2.186133353496545473e-01 1.749295887658717241e-01 8.445220188372117853e-01 9.288586858005776214e-01 2.888022418030576910e-01
0.000000000000000000e+00 -inf 2.505448886037470180e-01 2.389607364531387557e-02 6.539807836084587933e-01 6.839749706727963341e-01 9.521722803024940118e-01 4.366112497830068051e-01 8.708707891146979518e-01 9.140704409748300341e-01 2.372711904156173945e-01
0.000000000000000000e+00 -inf 2.056015508434455574e-01 1.035818636470342557e-02 2.503270965919863755e-01 3.753976967188021874e-02 5.197547969593702133e-01 7.854507180722003490e-01 9.134726775288565248e-01 8.232078417754158384e-01 2.866164867737164279e-01
0.000000000000000000e+00 -inf 8.568189546902751363e-01 5.170043190506046216e-02 3.772558228895813714e-01 1.230451373233037993e-01 8.075609836653080409e-01 3.091326055432634945e-01 8.986125077758773116e-01 9.385433319898568438e-01 8.032042395647023270e-01
