weight logl logA n_s H0 omega_b omega_cdm m_ncdm w0_fld wa_fld tau_reio
0.000000000000000000e+00 -inf 2.895052249052489479e+00 9.076345853970445576e-01 7.764986446198780357e+01 2.259229595177699931e-02 1.180468553157701939e-01 8.607117679129211441e-02 -7.580313845129977857e-01 1.243908328967858967e+00 7.884075103661816741e-02
0.000000000000000000e+00 -inf 3.137689685708102250e+00 9.211760626913313432e-01 6.285080706588856003e+01 2.228967708957877922e-02 1.247919789251341893e-01 5.986920252110534968e-02 -8.728777520318109495e-01 1.767723170532559340e+00 3.170559996751468046e-02
0.000000000000000000e+00 -inf 2.982936751546748422e+00 9.904950078822417625e-01 6.326663241894671330e+01 2.249775694132856441e-02 1.288948177792760830e-01 5.237135632554293374e-02 -8.165063174336189000e-01 1.554386815759390750e+00 7.955519929532423040e-02
0.000000000000000000e+00 -inf 2.870972304381831375e+00 9.750388180029155860e-01 7.681247831508589741e+01 2.215701979115110992e-02 1.287162557212457314e-01 8.442237929390777884e-02 -9.977877907947703129e-01 1.831709103071655687e+00 1.831650957658569057e-02
0.000000000000000000e+00 -inf 3.078681425574249175e+00 9.308178892813173677e-01 6.513210828093380655e+01 2.227154567747360522e-02 1.298803005482948858e-01 3.252557201971369161e-02 -5.224300194098299155e-01 1.864273441561205225e+00 2.905390902478085374e-02
0.000000000000000000e+00 -inf 2.888608390468975440e+00 9.370758497541451515e-01 7.151925833479602090e+01 2.248370992906099930e-02 1.236060953481588343e-01 8.646738311934104582e-02 -7.765269189361410085e-01 1.033174502976434539e+00 5.369639719561384444e-02
0.000000000000000000e+00 -inf 3.160970156278498866e+00 9.011752876630787501e-01 6.139011381653251931e+01 2.219459870661344425e-02 1.216280693286531794e-01 8.243240599550205605e-02 -8.261959713860078658e-01 1.629321980641533774e+00 5.844842125937529248e-02
0.000000000000000000e+00 -inf 2.811722368451165188e+00 9.612659443198097176e-01 6.457319442059933579e+01 2.220494284698432824e-02 1.186400343944302160e-01 8.742997505188609964e-02 -7.249315255602992725e-01 1.306628371330913030e+00 1.205532365093112124e-02
0.000000000000000000e+00 -inf 2.814685773998192087e+00 9.527720808611838121e-01 7.745588659845577695e+01 2.203638153892027371e-02 1.294179365509574575e-01 5.929361747262788113e-02 -5.505412429547349440e-01 1.012326355435914316e+00 6.813021569864304017e-02
0.000000000000000000e+00 -inf 2.892249501369818176e+00 9.769180102527270648e-01 7.310909886884634545e+01 2.229277601374153595e-02 1.220109209970752367e-01 2.213424908861971740e-02 -9.807650789019468629e-01 1.881469368744217441e+00 4.315047035958974320e-02
0.000000000000000000e+00 -inf 3.162924636051606786e+00 9.940323937070997262e-01 6.091647259620990695e+01 2.256589232065716807e-02 1.293416863120057658e-01 4.192917036241377432e-02 -7.588134095613829899e-01 1.950589338666305572e+00 4.348714047124092180e-02
0.000000000000000000e+00 -inf 2.800390874607784131e+00 9.705517969825510072e-01 7.732803521760891385e+01 2.205209324178798030e-02 1.140567545399660127e-01 3.187698143205044271e-02 -1.107287985425234655e+00 1.388050982473981065e+00 1.889841065344637430e-02
0.000000000000000000e+00 -inf 2.831585075058931977e+00 9.988288965259461971e-01 7.117067320329414315e+01 2.257823508182919825e-02 1.222019118770634877e-01 1.779850052347767969e-02 -7.204540089447482032e-01 1.677492055941436799e+00 2.331699389945661449e-02
0.000000000000000000e+00 -inf 3.020443029994174466e+00 9.411665867237140048e-01 7.055045018156182834e+01 2.250566058357689192e-02 1.132520040225887537e-01 5.766701812342384104e-02 -6.112513142747286743e-01 1.175859174474875868e+00 1.963666190010040363e-02
0.000000000000000000e+00 -inf 2.974319536473377212e+00 9.384395781805489056e-01 6.810775131052017173e+01 2.210900101957971250e-02 1.241417071399805033e-01 9.086517910521133001e-02 -1.243831619611023065e+00 1.845047992442257812e+00 3.932637310774825951e-02
0.000000000000000000e+00 -inf 2.929508181123016808e+00 9.362133937900423142e-01 6.695771548274763063e+01 2.204314750537910220e-02 1.173492741199377160e-01 6.587885793455128779e-03 -6.945693931590350978e-01 1.374416192382101887e+00 7.004872401001017990e-02
0.000000000000000000e+00 -inf 3.000836107781538864e+00 9.605372289531386443e-01 7.670497561651274054e+01 2.206027231963109819e-02 1.264005869861382081e-01 8.674363371518428734e-02 -8.969259186945350848e-01 1.232350420063972773e+00 4.714397533148637770e-02
0.000000000000000000e+00 -inf 2.920531077385716046e+00 9.555186175066388010e-01 7.058157202079294734e+01 2.219014335768937016e-02 1.182855880578106145e-01 8.783835459486816211e-02 -1.185957905484640973e+00 1.665778060597256527e+00 4.769851085672861118e-02
0.000000000000000000e+00 -inf 3.031993330727859259e+00 9.000657729441932098e-01 6.956445633722377409e+01 2.208769309814893542e-02 1.201896166808058830e-01 1.959362606658356099e-02 -5.399150305270539185e-01 8.279625765451799069e-01 6.595603738265674865e-02
0.000000000000000000e+00 -1.089096668805485824e+06 3.098791473031766053e+00 9.045805508623872004e-01 7.533406738435658667e+01 2.219378504638156585e-02 1.275670049008984785e-01 9.401251284839484690e-02 -5.687137267002240204e-01 8.051179972416404595e-01 2.156783554931274161e-02
0.000000000000000000e+00 -5.596526094174140599e+05 2.880919640661882664e+00 9.792143686793173263e-01 6.321225028117672906e+01 2.240804627618239037e-02 1.121805391549003383e-01 7.043045601404733513e-02 -7.239243930413872263e-01 9.611800380589019532e-01 6.274389079043131423e-02
0.000000000000000000e+00 -8.152658069142128807e+04 3.161246806880436022e+00 9.414801938123671388e-01 7.348963543679316501e+01 2.235497458920960787e-02 1.278335169670338223e-01 6.736116391598709341e-02 -1.355226039353737200e+00 1.596153693591132239e+00 7.566734007052969280e-02
0.000000000000000000e+00 -7.578486421724682441e+04 3.072810227356800983e+00 9.285350974945203451e-01 7.678960927999763442e+01 2.225696609723382818e-02 1.296620503613381825e-01 9.402365111739201253e-02 -9.420852132629713438e-01 1.131277554817609055e+00 7.665511404344536872e-02
0.000000000000000000e+00 -6.290265094003360718e+04 3.020392178779482073e+00 9.889671545206552006e-01 6.097598032221577569e+01 2.241034568458359286e-02 1.284119425088999789e-01 5.911287603993609779e-03 -1.365659140617167644e+00 1.612228911000107789e+00 6.909517630100160679e-02
0.000000000000000000e+00 -6.201608608040723630e+04 3.195653030989225929e+00 9.921944573702357051e-01 7.947644500296233616e+01 2.211494852767087113e-02 1.256534925375322742e-01 5.002697716823999857e-02 -1.297667375816678792e+00 1.518555875957225521e+00 4.569572776053685420e-02
0.000000000000000000e+00 -5.203716677165695000e+04 2.804107609580988925e+00 9.010458746712853850e-01 6.705769630369576362e+01 2.227585767000312550e-02 1.249076314012679406e-01 1.489820952267929648e-02 -1.632590040228662165e+00 1.897023708416512022e+00 1.855617119410276489e-02
0.000000000000000000e+00 -3.331739499259644799e+04 3.176912534239804575e+00 9.407414343197226803e-01 7.294371648734863811e+01 2.249225635074172600e-02 1.195161752472679306e-01 4.461173165624560122e-02 -5.935702315194664180e-01 7.210944282332194533e-01 4.431966640174478389e-02
0.000000000000000000e+00 -3.025910217149572418e+04 3.026656622606158642e+00 9.642422164035396870e-01 6.596197883549571372e+01 2.209267063653225921e-02 1.240043868537234750e-01 7.159212998994558819e-02 -6.778885138666155274e-01 8.156472564748558085e-01 3.578036441767363379e-02
0.000000000000000000e+00 -2.808468883435280441e+04 3.117389307883846161e+00 9.964316986270961296e-01 6.094434536133023528e+01 2.255866338972088714e-02 1.182638796383840424e-01 3.063420623699899745e-02 -1.536078806153764464e+00 1.771193678234410207e+00 1.534060931619009305e-02
0.000000000000000000e+00 -2.244659118556150861e+04 2.839577286905166087e+00 9.458377922362651846e-01 6.516838914563511764e+01 2.211000328434397852e-02 1.178068144695714609e-01 4.308410210000471197e-02 -1.602416963390075333e+00 1.833729668473955687e+00 5.470865452311244465e-02
0.000000000000000000e+00 -1.709934929203566571e+04 3.095316834757273927e+00 9.352676890031448309e-01 7.106374840409759486e+01 2.218103147450943557e-02 1.100289861964697247e-01 7.627663789959937546e-02 -1.472677661634311796e+00 1.674528580418422674e+00 4.840334939137321685e-02
