logA n_s H0 omega_b omega_cdm m_ncdm w0_fld wa_fld tau_reio
2.992878078376105755e+00 9.300159708813423576e-01 7.336238657612504710e+01 2.258992638014037033e-02 1.293341219877984782e-01 8.893389331674654563e-02 -8.876340428819395889e-01 9.058859891625777039e-02 2.809168025451775491e-02
2.925483037067960979e+00 9.763306401520377431e-01 7.078807106245520231e+01 2.256974089991682642e-02 1.185603126585641209e-01 8.699346879752523076e-02 -8.140877407202045113e-01 7.641204273973480066e-02 4.476835647360648263e-02
2.916795540081075888e+00 9.227780211379805753e-01 7.325763011882921205e+01 2.219602651770816171e-02 1.266750844583842683e-01 3.723834200629021901e-02 -8.767982116588226571e-01 2.232251480836882837e-02 1.497022509795537665e-02
3.007194089428132600e+00 9.219645445851416543e-01 7.203572382101913263e+01 2.236384423506317803e-02 1.289505595959538897e-01 3.663112062177387163e-02 -8.210842807680920341e-01 1.100014755760335763e-02 7.017327241297269258e-02
2.920147176346637341e+00 9.259415299429822888e-01 7.351833979037468225e+01 2.205288291360478839e-02 1.292204054903402233e-01 2.377388142800956547e-02 -9.004213734463812902e-01 5.178330377817406266e-02 4.766436628769094713e-02
2.914371306255965521e+00 9.100636747524817327e-01 7.356736055483693804e+01 2.211939150136628049e-02 1.256548365437564208e-01 9.941723993476039856e-02 -8.823170473726451579e-01 2.822771385924578019e-02 6.141981427298462415e-02
2.837554035062057611e+00 9.626287447896808569e-01 7.119279325525677393e+01 2.237586422113602494e-02 1.187089997111006878e-01 9.166413718718226245e-02 -8.178665158194604601e-01 3.767194436063413948e-02 6.021391979773813713e-02
3.180188536217441353e+00 9.382835520185253131e-01 7.344051926921056861e+01 2.258178319477981144e-02 1.236627721434120503e-01 6.756378456094593032e-02 -8.808065317742492795e-01 7.172154920419689106e-02 7.097797092205634928e-02
2.906974088932886335e+00 9.919639735801902836e-01 7.411910730590244611e+01 2.239391431886102179e-02 1.293143746092189073e-01 4.087082505090967183e-02 -9.066288809646039226e-01 8.374053977049888964e-02 2.893202795200729149e-02
3.143037949592120572e+00 9.321098614339086152e-01 7.346341665592500192e+01 2.212693971614617186e-02 1.245618958985815067e-01 7.994056249572341344e-02 -8.811905145446323750e-01 3.651611942312391751e-02 2.352865641237548294e-02
3.092081244538772200e+00 9.946872213291717557e-01 7.118868875654307260e+01 2.242807671035759037e-02 1.184113604972502759e-01 3.901505243937863909e-02 -8.142077405315866212e-01 5.896210204094481933e-02 3.370784913441245839e-02
