# Matter power spectrum P(k) at redshift z=0
# for k=1.04206e-05 to 5.30492 h/Mpc,
# number of wavenumbers equal to 556
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       2.633537423576e-02       9.713830653459e+10 
       2.647188456914e-02       9.893339879902e+10 
       2.660857840094e-02       1.007405948241e+11 
       2.674545984285e-02       1.025585536092e+11 
       2.688253311172e-02       1.043900663559e+11 
       2.701980253265e-02       1.062282564027e+11 
       2.715727254222e-02       1.080806683533e+11 
       2.729494769174e-02       1.099414769901e+11 
       2.743283265076e-02       1.118109360066e+11 
       2.757093221056e-02       1.136909722710e+11 
       2.770925128788e-02       1.155808115103e+11 
       2.784779492874e-02       1.174808064113e+11 
       2.798656831242e-02       1.193872719852e+11 
       2.812557675556e-02       1.213033145760e+11 
       2.826482571649e-02       1.232278240175e+11 
       2.840432079965e-02       1.251599613477e+11 
       2.854406776019e-02       1.271000579980e+11 
       2.868407250883e-02       1.290471431580e+11 
       2.882434111679e-02       1.310015164962e+11 
       2.896487982102e-02       1.329647607640e+11 
       2.910569502960e-02       1.349307865003e+11 
       2.924679332731e-02       1.369049142340e+11 
       2.938818148154e-02       1.388877273461e+11 
       2.952986644832e-02       1.408712209645e+11 
       2.967185537870e-02       1.428659555404e+11 
       2.981415562530e-02       1.448588318772e+11 
       2.995677474926e-02       1.468610835518e+11 
       3.009972052734e-02       1.488669641537e+11 
       3.024300095943e-02       1.508782269302e+11 
       3.038662427637e-02       1.528957941614e+11 
       3.053059894805e-02       1.549121414691e+11 
       3.067493369194e-02       1.569353117333e+11 
       3.081963748193e-02       1.589616016951e+11 
       3.096471955766e-02       1.609909350678e+11 
       3.111018943415e-02       1.630234910708e+11 
       3.125605691194e-02       1.650619698451e+11 
       3.140233208775e-02       1.670997846068e+11 
       3.154902536547e-02       1.691392360655e+11 
       3.169614746783e-02       1.711809313597e+11 
       3.184370944855e-02       1.732250966587e+11 
       3.199172270507e-02       1.752727829159e+11 
       3.214019899187e-02       1.773195168947e+11 
       3.228915043450e-02       1.793686334680e+11 
       3.243858954427e-02       1.814196255355e+11 
       3.258852923362e-02       1.834729603392e+11 
       3.273898283235e-02       1.855244892741e+11 
       3.288996410460e-02       1.875768043262e+11 
       3.304148726669e-02       1.896297963977e+11 
       3.319356700599e-02       1.916853353449e+11 
       3.334621850063e-02       1.937394626002e+11 
       3.349945744031e-02       1.957930600118e+11 
       3.365330004827e-02       1.978452079209e+11 
       3.380776310435e-02       1.998989618644e+11 
       3.396286396938e-02       2.019539065164e+11 
       3.411862061083e-02       2.040072671321e+11 
       3.427505162998e-02       2.060583277327e+11 
       3.443217629055e-02       2.081084189989e+11 
       3.459001454898e-02       2.101626992523e+11 
       3.474858708643e-02       2.122087956440e+11 
       3.490791534268e-02       2.142572443255e+11 
       3.506802155196e-02       2.163060443606e+11 
       3.522892878099e-02       2.183533791075e+11 
       3.539066096924e-02       2.203969787989e+11 
       3.555324297165e-02       2.224413066942e+11 
       3.571670060404e-02       2.244837417696e+11 
       3.588106069126e-02       2.265240583491e+11 
       3.604635111847e-02       2.285641340687e+11 
       3.621260088561e-02       2.306033689324e+11 
       3.637984016546e-02       2.326400762461e+11 
       3.654810036549e-02       2.346740361336e+11 
       3.671741419379e-02       2.367114687223e+11 
       3.688781572942e-02       2.387416596160e+11 
       3.705934049765e-02       2.407713713263e+11 
       3.723202555023e-02       2.428009409756e+11 
       3.740590955142e-02       2.448274384042e+11 
       3.758103287006e-02       2.468542752065e+11 
       3.775743767824e-02       2.488813342667e+11 
       3.793516805718e-02       2.509058192737e+11 
       3.811427011096e-02       2.529253141941e+11 
       3.829479208872e-02       2.549473636763e+11 
       3.847678451622e-02       2.569685741341e+11 
       3.866030033749e-02       2.589865163552e+11 
       3.884539506765e-02       2.610026283831e+11 
       3.903212695780e-02       2.630229990888e+11 
       3.922055717329e-02       2.650391006683e+11 
       3.941074998658e-02       2.670560199465e+11 
       3.960277298617e-02       2.690708314618e+11 
       3.979669730323e-02       2.710878642451e+11 
       3.999259785769e-02       2.731081184564e+11 
       4.019055362587e-02       2.751222309373e+11 
       4.039064793189e-02       2.771413066492e+11 
       4.059296876547e-02       2.791594417601e+11 
       4.079760912889e-02       2.811726387549e+11 
       4.100466741648e-02       2.831973787759e+11 
       4.121424783023e-02       2.852210867920e+11 
       4.142646083574e-02       2.872419682547e+11 
       4.164142366316e-02       2.892671670168e+11 
       4.185926085861e-02       2.912983042248e+11 
       4.208010489205e-02       2.933308390248e+11 
       4.230409682879e-02       2.953637979138e+11 
       4.253138707251e-02       2.974015118768e+11 
       4.276213618907e-02       2.994479215040e+11 
       4.299651582176e-02       3.014934108470e+11 
       4.323470971014e-02       3.035499600415e+11 
       4.347691482675e-02       3.056046130612e+11 
       4.372334264809e-02       3.076710741443e+11 
