# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 508, i.e. number of multipoles equal to 507
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:phiphi                 4:TPhi               
  265       7.771595430484e-03       1.647199034438e-05       1.626106983886e-06 
  266       7.806271808765e-03       1.629966728523e-05       1.609517621141e-06 
  267       7.840120190292e-03       1.612912101110e-05       1.593836681966e-06 
  268       7.873131059796e-03       1.596036226443e-05       1.579033570316e-06 
  269       7.905295024542e-03       1.579339995343e-05       1.565076197444e-06 
  270       7.936602816536e-03       1.562824112598e-05       1.551930966010e-06 
  271       7.967045294740e-03       1.546489094368e-05       1.539562754185e-06 
  272       7.996613447281e-03       1.530335265572e-05       1.527934899758e-06 
  273       8.025298393661e-03       1.514362757290e-05       1.517009184246e-06 
  274       8.053091386970e-03       1.498571504156e-05       1.506745816996e-06 
  275       8.079983816097e-03       1.482961241755e-05       1.497103419299e-06 
  276       8.105967207940e-03       1.467531504020e-05       1.488039008489e-06 
  277       8.131033229616e-03       1.452281620626e-05       1.479507982056e-06 
  278       8.155173690675e-03       1.437210714386e-05       1.471464101749e-06 
  279       8.178380545307e-03       1.422317698651e-05       1.463859477687e-06 
  280       8.200645894556e-03       1.407601274700e-05       1.456644552461e-06 
  281       8.221961988530e-03       1.393059929140e-05       1.449768085245e-06 
  282       8.242321228613e-03       1.378691931300e-05       1.443177135903e-06 
  283       8.261716169674e-03       1.364495330630e-05       1.436817049090e-06 
  284       8.280139522279e-03       1.350467954092e-05       1.430631438368e-06 
  285       8.297584154901e-03       1.336607403561e-05       1.424562170306e-06 
  286       8.314043096135e-03       1.322911053219e-05       1.418549348590e-06 
  287       8.329509536902e-03       1.309376046948e-05       1.412531298129e-06 
  288       8.343976832666e-03       1.295999295733e-05       1.406444549163e-06 
  289       8.357438505643e-03       1.282777475051e-05       1.400223821366e-06 
  290       8.369888247011e-03       1.269707022270e-05       1.393802007961e-06 
  291       8.381319919121e-03       1.256784134045e-05       1.387110159819e-06 
  292       8.391727557712e-03       1.244004763716e-05       1.380077469569e-06 
  293       8.401105374114e-03       1.231364618698e-05       1.372631255705e-06 
  294       8.409447757468e-03       1.218859157883e-05       1.364696946695e-06 
  295       8.416749276929e-03       1.206483589035e-05       1.356198065082e-06 
  296       8.423004683884e-03       1.194232866181e-05       1.347056211600e-06 
  297       8.428210999785e-03       1.182102716156e-05       1.337208748783e-06 
  298       8.432373887602e-03       1.170092778858e-05       1.326662837131e-06 
  299       8.435501595051e-03       1.158203614875e-05       1.315444000112e-06 
  300       8.437602901947e-03       1.146435688925e-05       1.303578669931e-06 
  301       8.438687125250e-03       1.134789368647e-05       1.291094195636e-06 
  302       8.438764124098e-03       1.123264923394e-05       1.278018851221e-06 
  303       8.437844304847e-03       1.111862523021e-05       1.264381843734e-06 
  304       8.435938626113e-03       1.100582236682e-05       1.250213321378e-06 
  305       8.433058603805e-03       1.089424031613e-05       1.235544381616e-06 
  306       8.429216316170e-03       1.078387771932e-05       1.220407079279e-06 
  307       8.424424408828e-03       1.067473217425e-05       1.204834434667e-06 
  308       8.418696099811e-03       1.056680022338e-05       1.188860441655e-06 
  309       8.412045184601e-03       1.046007734171e-05       1.172520075799e-06 
  310       8.404486041173e-03       1.035455792467e-05       1.155849302438e-06 
  311       8.396033635028e-03       1.025023527602e-05       1.138885084801e-06 
  312       8.386703524236e-03       1.014710159580e-05       1.121665392110e-06 
  313       8.376511864474e-03       1.004514796822e-05       1.104229207686e-06 
  314       8.365475414061e-03       9.944364349582e-06       1.086616537052e-06 
  315       8.353611539003e-03       9.844739556185e-06       1.068868416040e-06 
  316       8.340938218027e-03       9.746261252247e-06       1.051026918893e-06 
  317       8.327474047621e-03       9.648915937811e-06       1.033135166373e-06 
  318       8.313238247074e-03       9.552688936665e-06       1.015237333862e-06 
  319       8.298250663513e-03       9.457564384253e-06       9.973786594689e-07 
  320       8.282531776942e-03       9.363525215587e-06       9.796054521332e-07 
  321       8.266102705283e-03       9.270553153161e-06       9.619650997307e-07 
  322       8.248985209412e-03       9.178628694867e-06       9.445060771772e-07 
  323       8.231201698198e-03       9.087731101904e-06       9.272779545336e-07 
  324       8.212775233543e-03       8.997838386696e-06       9.103314051103e-07 
  325       8.193729535421e-03       8.908927300801e-06       8.937182135723e-07 
  326       8.174088986915e-03       8.820973322827e-06       8.774912840433e-07 
  327       8.153878639257e-03       8.733950646348e-06       8.617046482107e-07 
  328       8.133124216868e-03       8.647832167810e-06       8.464134734305e-07 
  329       8.111852122393e-03       8.562589474451e-06       8.316740708311e-07 
  330       8.090089441742e-03       8.478192832214e-06       8.175439034192e-07 
  331       8.067863949131e-03       8.394611173656e-06       8.040815941832e-07 
  332       8.045202007655e-03       8.311818229740e-06       7.913346720962e-07 
  333       8.022122159520e-03       8.229811245457e-06       7.793022029683e-07 
  334       7.998641265958e-03       8.148593057282e-06       7.679705437158e-07 
  335       7.974776589203e-03       8.068166017564e-06       7.573254521886e-07 
  336       7.950545795244e-03       7.988531989114e-06       7.473520819653e-07 
  337       7.925966956580e-03       7.909692339783e-06       7.380349771478e-07 
  338       7.901058554975e-03       7.831647937048e-06       7.293580671571e-07 
  339       7.875839484212e-03       7.754399142591e-06       7.213046615278e-07 
  340       7.850329052849e-03       7.677945806881e-06       7.138574447035e-07 
  341       7.824546986971e-03       7.602287263759e-06       7.069984708317e-07 
  342       7.798513432945e-03       7.527422325017e-06       7.007091585594e-07 
  343       7.772248960179e-03       7.453349274983e-06       6.949702858273e-07 
  344       7.745774563869e-03       7.380065865101e-06       6.897619846658e-07 
  345       7.719111667758e-03       7.307569308512e-06       6.850637359897e-07 
  346       7.692282126892e-03       7.235856274641e-06       6.808543643930e-07 
  347       7.665308230371e-03       7.164922883774e-06       6.771120329446e-07 
  348       7.638212704104e-03       7.094764701642e-06       6.738142379831e-07 
  349       7.611018713567e-03       7.025376734004e-06       6.709378039117e-07 
  350       7.583749866552e-03       6.956753421228e-06       6.684588779936e-07 
  351       7.556430215927e-03       6.888888632873e-06       6.663529251471e-07 
  352       7.529084262386e-03       6.821775662274e-06       6.645947227405e-07 
  353       7.501736957207e-03       6.755407221118e-06       6.631583553872e-07 
  354       7.474413705005e-03       6.689775434032e-06       6.620172097410e-07 
  355       7.447140366485e-03       6.624871833163e-06       6.611439692910e-07 
  356       7.419943261200e-03       6.560687352760e-06       6.605106091568e-07 
  357       7.392849170302e-03       6.497212323755e-06       6.600883908837e-07 
  358       7.365885339299e-03       6.434436468349e-06       6.598478572374e-07 
  359       7.339079480809e-03       6.372348894588e-06       6.597588269997e-07 
  360       7.312459777313e-03       6.310938090950e-06       6.597903897630e-07 
  361       7.286054883912e-03       6.250191920927e-06       6.599109007257e-07 
  362       7.259893931078e-03       6.190097617605e-06       6.600879754873e-07 
  363       7.234006527413e-03       6.130641778245e-06       6.602884848435e-07 
  364       7.208422762401e-03       6.071810358870e-06       6.604785495812e-07 
  365       7.183173209161e-03       6.013588668843e-06       6.606235352736e-07 
  366       7.158288927204e-03       5.955961365449e-06       6.606880470754e-07 
  367       7.133801465188e-03       5.898912448480e-06       6.606359245178e-07 
  368       7.109742863670e-03       5.842425254816e-06       6.604302363037e-07 
  369       7.086145657862e-03       5.786482453005e-06       6.600332751027e-07 
  370       7.063042880386e-03       5.731066037847e-06       6.594065523461e-07 
  371       7.040464478179e-03       5.676160704800e-06       6.585169283858e-07 
  372       7.018426403057e-03       5.621764129792e-06       6.573552779774e-07 
  373       6.996941099982e-03       5.567877080737e-06       6.559185444318e-07 
  374       6.976021054042e-03       5.514500071525e-06       6.542036702643e-07 
  375       6.955678790085e-03       5.461633359543e-06       6.522075973245e-07 
  376       6.935926872361e-03       5.409276943195e-06       6.499272669255e-07 
  377       6.916777904150e-03       5.357430559424e-06       6.473596199740e-07 
  378       6.898244527408e-03       5.306093681234e-06       6.445015971002e-07 
  379       6.880339422398e-03       5.255265515208e-06       6.413501387872e-07 
  380       6.863075307328e-03       5.204944999031e-06       6.379021855007e-07 
  381       6.846464937988e-03       5.155130799010e-06       6.341546778192e-07 
  382       6.830521107385e-03       5.105821307594e-06       6.301045565631e-07 
  383       6.815256645384e-03       5.057014640897e-06       6.257487629248e-07 
  384       6.800684418339e-03       5.008708636217e-06       6.210842385986e-07 
  385       6.786817328734e-03       4.960900849557e-06       6.161079259100e-07 
  386       6.773668314817e-03       4.913588553148e-06       6.108167679455e-07 
  387       6.761250350239e-03       4.866768732966e-06       6.052077086829e-07 
  388       6.749576443688e-03       4.820438086257e-06       5.992776931202e-07 
