# Table of selected background quantities
# All densities are multiplied by (8piG/3) (below, shortcut notation (.) for this factor) 
# Densities are in units [Mpc^-2] while all distances are in [Mpc]. 
#    1:z                      2:proper time [Gyr]      3:conf. time [Mpc]       4:H [1/Mpc]              5:comov. dist.           6:ang.diam.dist.         7:lum. dist.             8:comov.snd.hrz.         9:(.)rho_g              10:(.)rho_b              11:(.)rho_cdm            12:(.)rho_fld            13:(.)w_fld              14:(.)rho_ur             15:(.)rho_crit           16:(.)rho_tot            17:(.)p_tot              18:(.)p_tot_prime        19:gr.fac. D             20:gr.fac. f          
       1.229769489951e+05       4.938167732971e-08       3.732392036152e+00       3.317391076840e+04       1.559308196569e+04       1.267957556058e-01       1.917605238654e+09       2.151938786724e+00       6.293439399075e+08       4.631852759671e+06       2.485481062835e+07       6.603051120587e+06       3.243481974587e-01       4.350747012538e+08       1.100508355670e+09       1.100508355670e+09       3.569479014491e+08      -3.851227106116e+08       1.901937014108e-04       8.314050629965e-02 
       1.228778779274e+05       4.946097701964e-08       3.735380842802e+00       3.312084237400e+04       1.559307897688e+04       1.268979603321e-01       1.916060048113e+09       2.153659630267e+00       6.273183906583e+08       4.620667509984e+06       2.479478988131e+07       6.581942180836e+06       3.243411486202e-01       4.336744093330e+08       1.096990199563e+09       1.096990199563e+09       3.557990613509e+08      -3.835780769413e+08       1.902064477550e-04       8.316643340334e-02 
       1.227788866714e+05       4.954040376841e-08       3.738372026659e+00       3.306785915514e+04       1.559307598570e+04       1.270002474219e-01       1.914516102382e+09       2.155381838706e+00       6.252993606581e+08       4.609509271046e+06       2.473491407564e+07       6.560900834971e+06       3.243340944053e-01       4.322786242647e+08       1.093483309104e+09       1.093483309104e+09       3.546539188050e+08      -3.820396416599e+08       1.902191989297e-04       8.319238145921e-02 
       1.226799751627e+05       4.961995777893e-08       3.741365589589e+00       3.301496097488e+04       1.559307299214e+04       1.271026169417e-01       1.912973400458e+09       2.157105413105e+00       6.232868289244e+08       4.598377977630e+06       2.467518286131e+07       6.539926866268e+06       3.243270348101e-01       4.308873315433e+08       1.089987648173e+09       1.089987648173e+09       3.535124619110e+08      -3.805073798834e+08       1.902319549389e-04       8.321835048154e-02 
       1.225811433371e+05       4.969963925443e-08       3.744361533461e+00       3.296214769650e+04       1.559306999619e+04       1.272050689578e-01       1.911431941339e+09       2.158830354529e+00       6.212807745426e+08       4.587273564666e+06       2.461559588917e+07       6.519020058723e+06       3.243199698309e-01       4.295005167105e+08       1.086503180766e+09       1.086503180766e+09       3.523746788065e+08      -3.789812668281e+08       1.902447157869e-04       8.324434048461e-02 
       1.224823911305e+05       4.977944839845e-08       3.747359860141e+00       3.290941918348e+04       1.559306699787e+04       1.273076035366e-01       1.909891724024e+09       2.160556664047e+00       6.192811766653e+08       4.576195967241e+06       2.455615281088e+07       6.498180197027e+06       3.243128994637e-01       4.281181653538e+08       1.083029870994e+09       1.083029870994e+09       3.512405576673e+08      -3.774612778098e+08       1.902574814776e-04       8.327035148273e-02 
       1.223837184788e+05       4.985938541487e-08       3.750360571501e+00       3.285677529956e+04       1.559306399715e+04       1.274102207447e-01       1.908352747513e+09       2.162284342724e+00       6.172880145121e+08       4.565145120601e+06       2.449685327897e+07       6.477407066520e+06       3.243058237046e-01       4.267402631077e+08       1.079567683086e+09       1.079567683086e+09       3.501100867074e+08      -3.759473882432e+08       1.902702520151e-04       8.329638349019e-02 
       1.222851253177e+05       4.993945050788e-08       3.753363669408e+00       3.280421590867e+04       1.559306099406e+04       1.275129206486e-01       1.906815010805e+09       2.164013391628e+00       6.153012673695e+08       4.554120960145e+06       2.443769694679e+07       6.456700453251e+06       3.242987425498e-01       4.253667956527e+08       1.076116581382e+09       1.076116581382e+09       3.489832541787e+08      -3.744395736420e+08       1.902830274035e-04       8.332243652132e-02 
       1.221866115833e+05       5.001964388200e-08       3.756369155737e+00       3.275174087495e+04       1.559305798857e+04       1.276157033149e-01       1.905278512903e+09       2.165743811829e+00       6.133209145909e+08       4.543123421431e+06       2.437868346854e+07       6.436060143957e+06       3.242916559955e-01       4.239977487152e+08       1.072676530340e+09       1.072676530340e+09       3.478600483709e+08      -3.729378096180e+08       1.902958076469e-04       8.334851059043e-02 
       1.220881772116e+05       5.009996574207e-08       3.759377032362e+00       3.269935006280e+04       1.559305498069e+04       1.277185688103e-01       1.903743252808e+09       2.167475604396e+00       6.113469355959e+08       4.532152440171e+06       2.431981249923e+07       6.415485926056e+06       3.242845640377e-01       4.226331080679e+08       1.069247494529e+09       1.069247494529e+09       3.467404576112e+08      -3.714420718811e+08       1.903085927494e-04       8.337460571185e-02 
       1.219898221386e+05       5.018041629327e-08       3.762387301156e+00       3.264704333679e+04       1.559305197042e+04       1.278215172016e-01       1.902209229522e+09       2.169208770400e+00       6.093793098704e+08       4.521207952233e+06       2.426108369475e+07       6.394977587650e+06       3.242774666726e-01       4.212728595291e+08       1.065829438634e+09       1.065829438634e+09       3.456244702647e+08      -3.699523362387e+08       1.903213827151e-04       8.340072189992e-02 
       1.218915463005e+05       5.026099574109e-08       3.765399963999e+00       3.259482056174e+04       1.559304895776e+04       1.279245485554e-01       1.900676442051e+09       2.170943310911e+00       6.074180169664e+08       4.510289893638e+06       2.420249671177e+07       6.374534917519e+06       3.242703638962e-01       4.199169889626e+08       1.062422327452e+09       1.062422327452e+09       3.445120747337e+08      -3.684685785953e+08       1.903341775481e-04       8.342685916898e-02 
       1.217933496335e+05       5.034170429136e-08       3.768415022767e+00       3.254268160268e+04       1.559304594270e+04       1.280276629386e-01       1.899144889397e+09       2.172679227003e+00       6.054630365016e+08       4.499398200565e+06       2.414405120782e+07       6.354157705148e+06       3.242632557048e-01       4.185654822780e+08       1.059026125893e+09       1.059026125893e+09       3.434032594579e+08      -3.669907749523e+08       1.903469772524e-04       8.345301753338e-02 
       1.216952320737e+05       5.042254215022e-08       3.771432479340e+00       3.249062632485e+04       1.559304292525e+04       1.281308604181e-01       1.897614570566e+09       2.174416519747e+00       6.035143481594e+08       4.488532809344e+06       2.408574684125e+07       6.333845740683e+06       3.242561420944e-01       4.172183254301e+08       1.055640798981e+09       1.055640798981e+09       3.422980129143e+08      -3.655189014074e+08       1.903597818322e-04       8.347919700749e-02 
       1.215971935575e+05       5.050350952417e-08       3.774452335598e+00       3.243865459371e+04       1.559303990539e+04       1.282341410608e-01       1.896085484565e+09       2.176155190217e+00       6.015719316885e+08       4.477693656460e+06       2.402758327123e+07       6.313598814918e+06       3.242490230611e-01       4.158755044189e+08       1.052266311850e+09       1.052266311850e+09       3.411963236169e+08      -3.640529341543e+08       1.903725912917e-04       8.350539760566e-02 
       1.214992340211e+05       5.058460661999e-08       3.777474593424e+00       3.238676627494e+04       1.559303688313e+04       1.283375049338e-01       1.894557630400e+09       2.177895239488e+00       5.996357669028e+08       4.466880678551e+06       2.396956015776e+07       6.293416719334e+06       3.242418986011e-01       4.145370052895e+08       1.048902629748e+09       1.048902629748e+09       3.400981801165e+08      -3.625928494821e+08       1.903854056348e-04       8.353161934228e-02 
       1.214013534009e+05       5.066583364482e-08       3.780499254701e+00       3.233496123445e+04       1.559303385847e+04       1.284409521039e-01       1.893031007078e+09       2.179636668636e+00       5.977058336813e+08       4.456093812409e+06       2.391167716165e+07       6.273299246080e+06       3.242347687104e-01       4.132028141317e+08       1.045549718033e+09       1.045549718033e+09       3.390035710011e+08      -3.611386237755e+08       1.903982248657e-04       8.355786223173e-02 
