# Matter power spectrum P(k) at redshift z=0
# for k=9.45519e-06 to 4.88563 h/Mpc,
# number of wavenumbers equal to 541
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       2.724489500265e-02       1.705237526263e+11 
       2.738299937954e-02       1.734362272921e+11 
       2.752131435561e-02       1.763648718169e+11 
       2.765984474110e-02       1.793074855852e+11 
       2.779859547221e-02       1.822637180657e+11 
       2.793757161492e-02       1.852339405365e+11 
       2.807677836906e-02       1.882174355622e+11 
       2.821622107234e-02       1.912139769840e+11 
       2.835590520474e-02       1.942225220753e+11 
       2.849583639296e-02       1.972425336558e+11 
       2.863602041504e-02       2.002741474512e+11 
       2.877646320518e-02       2.033169052524e+11 
       2.891717085879e-02       2.063703581888e+11 
       2.905814963767e-02       2.094336773739e+11 
       2.919940597544e-02       2.125065059240e+11 
       2.934094648319e-02       2.155883501607e+11 
       2.948277795535e-02       2.186799579538e+11 
       2.962490737578e-02       2.217797735995e+11 
       2.976734192416e-02       2.248866880023e+11 
       2.991008898262e-02       2.280010013135e+11 
       3.005315614262e-02       2.311237559258e+11 
       3.019655121220e-02       2.342529971008e+11 
       3.034028222345e-02       2.373879896793e+11 
       3.048435744035e-02       2.405301279478e+11 
       3.062878536699e-02       2.436768439154e+11 
       3.077357475605e-02       2.468291690436e+11 
       3.091873461774e-02       2.499859614754e+11 
       3.106427422914e-02       2.531474588141e+11 
       3.121020314387e-02       2.563130380959e+11 
       3.135653120232e-02       2.594829843304e+11 
       3.150326854230e-02       2.626562696003e+11 
       3.165042561013e-02       2.658313709283e+11 
       3.179801317233e-02       2.690104182344e+11 
       3.194604232784e-02       2.721921520607e+11 
       3.209452452081e-02       2.753759114070e+11 
       3.224347155398e-02       2.785606447859e+11 
       3.239289560279e-02       2.817467123826e+11 
       3.254280923008e-02       2.849343572147e+11 
       3.269322540163e-02       2.881239802345e+11 
       3.284415750238e-02       2.913136655642e+11 
       3.299561935351e-02       2.945026726333e+11 
       3.314762523044e-02       2.976932664083e+11 
       3.330018988165e-02       3.008834423107e+11 
       3.345332854860e-02       3.040739062765e+11 
       3.360705698661e-02       3.072627075987e+11 
       3.376139148691e-02       3.104506021450e+11 
       3.391634889983e-02       3.136374653723e+11 
       3.407194665929e-02       3.168239687960e+11 
       3.422820280862e-02       3.200103043303e+11 
