# logA n_s H0 omega_b omega_cdm tau_reio
2.63349832e+00 1.14257862e+00 6.74397387e+01 2.15963166e-02 1.10732079e-01 6.48195842e-01
2.23650092e+00 1.18391012e+00 6.03891432e+01 1.33723820e-02 9.48881088e-02 2.46193396e-02
2.58698769e+00 9.41425357e-01 7.35748997e+01 2.86354162e-02 1.37303126e-01 6.50721621e-01
2.91234644e+00 9.05129686e-01 7.42828420e+01 2.96447904e-02 1.35397914e-01 5.17863453e-01
3.48644579e+00 8.19843203e-01 6.09630782e+01 1.29481723e-02 9.98455636e-02 4.14910989e-01
1.85497343e+00 8.19701425e-01 7.23748331e+01 2.70163291e-02 1.33147541e-01 6.72371019e-01
2.55691007e+00 1.19507943e+00 6.70103947e+01 1.98874732e-02 1.13433560e-01 2.40614942e-01
3.59339523e+00 1.16829383e+00 7.47799869e+01 3.00725358e-02 1.33629517e-01 6.20051963e-01
2.16669189e+00 1.11690506e+00 6.51607491e+01 1.83674206e-02 1.07836991e-01 4.50313188e-01
3.51022103e+00 1.13784959e+00 7.36187502e+01 2.87976846e-02 1.29586181e-01 5.67553700e-01
3.26684213e+00 8.31656580e-01 6.39838947e+01 1.69081020e-02 1.03901543e-01 3.06482437e-01
2.39415506e+00 1.12415143e+00 7.14570377e+01 2.65143509e-02 1.21666091e-01 4.92908328e-01
3.73253592e+00 1.18923588e+00 7.30929269e+01 2.84564445e-02 1.31751785e-01 1.03385796e-01
2.49283224e+00 1.04596668e+00 7.25316831e+01 2.71002524e-02 1.26399532e-01 9.21452770e-02
2.73506401e+00 8.74068191e-01 7.07255034e+01 2.44340962e-02 1.32201448e-01 1.31998702e-01
2.08920671e+00 9.93082020e-01 7.13194910e+01 2.61441602e-02 1.23333492e-01 4.94856622e-01
2.95123806e+00 9.54372442e-01 7.12811549e+01 2.53170867e-02 1.14466619e-01 1.14929992e-01
2.78579952e+00 1.14241516e+00 6.51701470e+01 1.81656600e-02 1.11239458e-01 4.81359476e-01
3.10085498e+00 9.20056793e-01 6.90306211e+01 2.31737246e-02 1.16321988e-01 5.28347148e-01
2.88247561e+00 9.38699307e-01 6.45200886e+01 1.77319754e-02 1.04041714e-01 4.44587110e-01
3.89281523e+00 1.09677497e+00 7.23217729e+01 2.68401859e-02 1.29071420e-01 5.79299459e-02
2.72257084e+00 1.00558661e+00 7.30823730e+01 2.83481785e-02 1.30653312e-01 2.75726506e-01
3.70753951e+00 8.98710804e-01 7.05479837e+01 2.48928516e-02 1.24300547e-01 1.95454026e-02
2.36550150e+00 1.04172754e+00 7.31184104e+01 2.81278708e-02 1.32726150e-01 2.27007889e-01
3.55857489e+00 9.31094961e-01 7.01063337e+01 2.47229459e-02 1.21483378e-01 7.09030179e-01
3.51322822e+00 1.08860144e+00 7.31125076e+01 2.70202807e-02 1.29959526e-01 1.89603753e-01
3.17272332e+00 9.15574284e-01 7.49670544e+01 3.06129108e-02 1.37694453e-01 2.50630416e-01
2.73145734e+00 8.47222558e-01 6.77186672e+01 2.06114529e-02 1.22262459e-01 1.39538576e-01
2.77463965e+00 9.85749064e-01 7.25463865e+01 2.79465082e-02 1.33569692e-01 4.62861958e-01
1.87742003e+00 1.14915632e+00 7.35832814e+01 2.85369716e-02 1.21689563e-01 7.81392420e-01
3.53630617e+00 1.18054061e+00 7.19734757e+01 2.63839341e-02 1.22874982e-01 6.64923095e-01
2.37012092e+00 8.57837711e-01 6.76531074e+01 2.13445209e-02 1.14001109e-01 4.52919567e-01
3.57751107e+00 1.13002545e+00 7.08989708e+01 2.48734173e-02 1.30981402e-01 5.19644438e-02
1.99448411e+00 1.04227468e+00 5.77391623e+01 9.92226504e-03 8.22373663e-02 3.59621966e-01
3.24721115e+00 8.08224558e-01 7.06718368e+01 2.48847836e-02 1.29753219e-01 3.89067580e-01
3.70414813e+00 1.09919091e+00 5.73909650e+01 9.35267691e-03 8.69378139e-02 1.55393160e-01
2.94393145e+00 1.16713514e+00 7.61165226e+01 3.13756352e-02 1.40469786e-01 4.90005712e-01
2.20411540e+00 9.56670870e-01 7.09033097e+01 2.47703360e-02 1.22384766e-01 6.53181507e-01
1.85052171e+00 1.05430044e+00 6.52857397e+01 1.86058176e-02 1.03059544e-01 4.23739278e-01
2.61171521e+00 1.18038232e+00 7.55701850e+01 3.15130135e-02 1.39088892e-01 2.58006002e-01
1.75159442e+00 9.34341569e-01 7.56867499e+01 2.99432567e-02 1.40331410e-01 1.61234405e-02
2.63974335e+00 1.17960074e+00 7.64295260e+01 3.28378700e-02 1.44749826e-01 5.61636968e-01
2.91234644e+00 9.05129686e-01 7.42828420e+01 2.96447904e-02 1.35397914e-01 5.17863453e-01
2.05299596e+00 8.21678751e-01 6.26878848e+01 1.50945977e-02 1.03909935e-01 3.66552385e-01
3.58004739e+00 1.13636750e+00 7.18482485e+01 2.63846643e-02 1.29574524e-01 5.58731038e-01
3.86670933e+00 1.17239765e+00 6.88822068e+01 2.26197205e-02 1.14026848e-01 5.12030884e-01
2.49638403e+00 8.19316325e-01 6.65421361e+01 1.96954058e-02 1.11796215e-01 7.74651885e-02
1.95784565e+00 1.06163495e+00 6.07124588e+01 1.31227869e-02 9.08721543e-02 3.07924656e-01
2.88212520e+00 1.03316517e+00 5.81888675e+01 1.04246190e-02 8.63833108e-02 1.63890317e-01
