# logA n_s H0 omega_b omega_cdm tau_reio weight loglikelihood
3.61908443e+00 1.10536602e+00 7.24477640e+01 3.37966044e-02 4.87450612e-01 4.57818931e-01 0.00000000e+00 -1.00000000e+300
3.10355197e+00 9.74681593e-01 9.28444767e+01 7.20685604e-02 4.37149561e-01 6.28222291e-01 0.00000000e+00 -1.00000000e+300
1.75118211e+00 1.14560176e+00 5.33818225e+01 5.32757330e-02 2.96646666e-01 6.01405069e-01 0.00000000e+00 -1.00000000e+300
3.54334948e+00 9.94468955e-01 3.64760294e+01 7.88705643e-02 9.61663319e-02 7.80951944e-01 0.00000000e+00 -1.00000000e+300
1.82858239e+00 1.11659050e+00 6.24713176e+01 8.25390739e-02 3.16648535e-01 5.38983118e-01 0.00000000e+00 -1.00000000e+300
2.80284916e+00 1.03856830e+00 7.47327957e+01 9.79906612e-02 8.48191039e-01 3.60712284e-01 0.00000000e+00 -1.00000000e+300
2.37836509e+00 1.00879451e+00 7.17521647e+01 7.82677707e-02 9.17119765e-01 6.48597227e-01 0.00000000e+00 -1.00000000e+300
2.73741463e+00 1.07341766e+00 6.88939130e+01 8.81922418e-02 4.53691198e-01 1.61191919e-01 0.00000000e+00 -1.00000000e+300
2.82251788e+00 8.49591295e-01 6.51873080e+01 4.08732587e-02 8.28655628e-01 1.40755076e-01 0.00000000e+00 -1.00000000e+300
3.03946413e+00 8.85409996e-01 4.71764474e+01 8.66685532e-03 7.94894077e-01 7.51709607e-01 0.00000000e+00 -1.00000000e+300
3.55297962e+00 1.17276183e+00 9.35311653e+01 5.33619466e-02 5.24162009e-01 5.90303835e-01 0.00000000e+00 -1.00000000e+300
3.51931669e+00 8.62656335e-01 6.48014427e+01 1.20720781e-02 2.56546815e-01 7.11167011e-01 0.00000000e+00 -1.00000000e+300
2.57538155e+00 1.06829778e+00 7.35194631e+01 6.12848274e-02 4.01624655e-01 2.81496678e-01 0.00000000e+00 -1.00000000e+300
2.28964340e+00 1.18608684e+00 9.17376316e+01 4.99562464e-02 7.40174007e-01 5.39898022e-01 0.00000000e+00 -1.00000000e+300
2.07421645e+00 9.50661458e-01 8.20326590e+01 5.77527106e-02 2.40180663e-02 3.58304995e-02 0.00000000e+00 -1.00000000e+300
2.09209564e+00 1.12214935e+00 2.06985588e+01 4.80182601e-02 4.24599753e-01 2.08061347e-01 0.00000000e+00 -1.00000000e+300
2.55102666e+00 1.06177269e+00 4.49601473e+01 4.07374455e-02 5.68670553e-01 7.70176324e-01 0.00000000e+00 -1.00000000e+300
2.96303409e+00 1.01857874e+00 5.22661078e+01 2.41424835e-02 9.60956785e-01 7.33035837e-01 0.00000000e+00 -1.00000000e+300
2.95335417e+00 8.32770369e-01 5.19119950e+01 5.66320039e-02 6.20139481e-02 4.22216528e-01 0.00000000e+00 -1.00000000e+300
2.39768393e+00 8.11735668e-01 9.81272491e+01 3.57370528e-02 5.09477906e-01 6.13009316e-01 0.00000000e+00 -1.00000000e+300
1.65467881e+00 8.28444148e-01 8.57358231e+01 3.25567545e-02 8.16388193e-01 5.12276678e-01 0.00000000e+00 -1.00000000e+300
3.52877320e+00 9.28391800e-01 9.67169981e+01 6.29778459e-02 4.37214802e-01 5.25082218e-01 0.00000000e+00 -1.00000000e+300
3.51157216e+00 8.92810777e-01 2.78308862e+01 3.81115612e-02 8.76637518e-02 6.71955847e-01 0.00000000e+00 -1.00000000e+300
3.59086161e+00 1.12144782e+00 7.36905524e+01 8.27270381e-02 4.28753311e-01 5.19656684e-02 0.00000000e+00 -1.00000000e+300
1.96535834e+00 8.48976130e-01 7.32518523e+01 9.71887717e-02 8.71282083e-01 7.61485473e-01 0.00000000e+00 -1.00000000e+300
3.48174386e+00 8.17948679e-01 2.00816753e+01 4.94875934e-02 3.97798738e-01 6.01861149e-01 0.00000000e+00 -1.00000000e+300
2.42643480e+00 9.60522118e-01 7.51664583e+01 8.61206107e-02 5.17414274e-01 5.34761143e-01 0.00000000e+00 -1.00000000e+300
2.93301340e+00 8.91033929e-01 6.00257295e+01 7.67006288e-02 9.53277264e-01 6.23338250e-02 0.00000000e+00 -1.00000000e+300
2.15675529e+00 8.28637034e-01 7.05533007e+01 7.72234549e-02 9.30867648e-01 7.96423498e-01 0.00000000e+00 -1.00000000e+300
2.95141007e+00 9.92574851e-01 8.93540671e+01 4.47754081e-02 4.51893656e-01 6.52155250e-01 0.00000000e+00 -1.00000000e+300
2.95502126e+00 9.30163573e-01 5.46906099e+01 3.41498524e-02 2.59094010e-01 6.22466321e-01 0.00000000e+00 -1.00000000e+300
3.40950329e+00 1.06552595e+00 2.66146149e+01 9.09911114e-02 1.06925031e-01 3.49140218e-01 0.00000000e+00 -1.00000000e+300
2.61774087e+00 1.16170774e+00 8.31294377e+01 5.89857229e-02 5.39720084e-01 6.41493553e-01 0.00000000e+00 -1.00000000e+300
3.18398230e+00 8.29741600e-01 6.04352199e+01 4.92220811e-02 2.50905605e-01 5.26983293e-01 0.00000000e+00 -1.00000000e+300
2.83545338e+00 9.51815252e-01 8.44266307e+01 9.57820531e-02 1.13457721e-01 6.20042377e-01 0.00000000e+00 -1.00000000e+300
1.86497343e+00 1.13575354e+00 2.53281036e+01 7.00957448e-02 9.35171030e-02 6.58436821e-01 0.00000000e+00 -1.00000000e+300
