logA n_s H0 omega_b omega_cdm m_ncdm w0_fld wa_fld tau_reio
3.179009501978439900e+00 9.064616613877928275e-01 7.708394131905492941e+01 2.258560130338871028e-02 1.288882991135372746e-01 5.699692446494425413e-02 -1.150568479819929379e+00 7.403953415494233248e-01 3.534330210464702027e-02
2.937088654543829058e+00 9.106720826881031794e-01 7.409065859095689177e+01 2.204904894909081800e-02 1.214667720488686042e-01 2.395609466740547186e-02 -1.063860088365320644e+00 7.122426367800414049e-01 1.075623933025546958e-02
2.830093278811598889e+00 9.248866264394679515e-01 7.206871513683142894e+01 2.238531174876334448e-02 1.181357763293949814e-01 9.943712244134228495e-02 -8.685736622327933087e-01 1.301461737448508238e-01 2.881934720909459097e-02
3.000989029354272919e+00 9.216250200311160157e-01 7.686219636394420718e+01 2.254565035972529510e-02 1.296802958394025762e-01 7.212455523584945793e-02 -1.105774676836007497e+00 5.434657203799924119e-01 3.042903283628917849e-02
3.170757038496068159e+00 9.730377900594633367e-01 7.227058688915219875e+01 2.243438331740765790e-02 1.258452383494604032e-01 3.622334146081181844e-02 -8.689646599705036500e-01 1.145829657362642529e-01 4.466234454042874308e-02
3.047391338588052445e+00 9.990264837396658493e-01 7.663545314608272463e+01 2.200800921614848304e-02 1.125086189714403495e-01 1.313876484142840854e-02 -1.190926679760206053e+00 1.166782113229743345e+00 5.582963532061357287e-02
2.989700756477772892e+00 9.048321988830275719e-01 7.529777914811683104e+01 2.257514771817320520e-02 1.146363428227728382e-01 8.124590941496509511e-02 -1.169295943886128120e+00 8.820848712902478184e-01 7.564183967006840592e-02
2.932585849814217660e+00 9.007474945357870633e-01 7.239669272324091764e+01 2.213857197957087505e-02 1.131826425053745339e-01 6.735969553640777652e-02 -1.023741437154832568e+00 6.493613638609980754e-01 4.092946965522258063e-02
3.082048756619498509e+00 9.143262623536694278e-01 7.468115727874346987e+01 2.259507086800215114e-02 1.283446386896152647e-01 6.139576671791322632e-02 -1.055614950506897465e+00 6.197930184647568730e-01 4.504948960345096787e-02
3.028475835542263184e+00 9.805265595940129142e-01 7.463633460982013901e+01 2.248081522889303421e-02 1.268722380297684083e-01 1.619123596105432814e-02 -1.051816710291375356e+00 5.739029792235359473e-01 7.002105125947220843e-02
3.173695919104761565e+00 9.093565359022560690e-01 7.064306689268674688e+01 2.208809172682702632e-02 1.225084387773123368e-01 9.989870541564850603e-02 -7.201123799607154208e-01 -2.715561438609142009e-01 5.099963995238744607e-02
3.039939974146039781e+00 9.697221429251891012e-01 7.892428126986905568e+01 2.228346753743404643e-02 1.131065443001118415e-01 6.812356151883952604e-02 -1.186156387337466533e+00 1.214539266898653658e+00 7.225871099153058363e-02
3.177853533035210898e+00 9.297855043001658215e-01 7.295644535743217318e+01 2.251177365689808682e-02 1.183607724613325446e-01 4.587940411685265119e-02 -1.005898000604877440e+00 6.278187532780226121e-01 6.947208273036643844e-02
2.864135689161507070e+00 9.231519750577964478e-01 7.311603612284964981e+01 2.200552185788604356e-02 1.284557894896007635e-01 7.975824742593429217e-02 -9.223803754161190582e-01 2.585447618276770498e-01 4.992765206409834761e-02
3.072411227868181882e+00 9.973044509170918559e-01 7.192464977627827238e+01 2.203919772284069351e-02 1.216405433214051701e-01 1.631513480525481272e-02 -9.062048740087267351e-01 3.311893019185623288e-01 4.619660268218429844e-02
2.982810253065952821e+00 9.689132839141403331e-01 7.142554879259542133e+01 2.228366937058751454e-02 1.243882036265605978e-01 3.285206153936581774e-02 -7.103525185569958822e-01 -4.688589008829624483e-01 4.396217875806698178e-02
